rank,document,verdict,Precision,Recall
1,dok253.txt,AC,1.0,0.2
2,dok402.txt,WA,0.5,0.2
3,dok24.txt,WA,0.3333333333333333,0.2
4,dok95.txt,WA,0.25,0.2
5,dok269.txt,WA,0.2,0.2
6,dok172.txt,WA,0.16666666666666666,0.2
7,dok385.txt,WA,0.14285714285714285,0.2
8,dok393.txt,WA,0.125,0.2
9,dok274.txt,WA,0.1111111111111111,0.2
10,dok186.txt,WA,0.1,0.2
11,dok400.txt,AC,0.18181818181818182,0.4
12,dok3.txt,WA,0.16666666666666666,0.4
13,dok74.txt,WA,0.15384615384615385,0.4
14,dok137.txt,WA,0.14285714285714285,0.4
15,dok66.txt,WA,0.13333333333333333,0.4
16,dok198.txt,WA,0.125,0.4
17,dok4.txt,WA,0.11764705882352941,0.4
18,dok75.txt,WA,0.1111111111111111,0.4
19,dok108.txt,WA,0.10526315789473684,0.4
20,dok37.txt,WA,0.1,0.4
21,dok257.txt,WA,0.09523809523809523,0.4
22,dok387.txt,WA,0.09090909090909091,0.4
23,dok201.txt,WA,0.08695652173913043,0.4
24,dok384.txt,WA,0.08333333333333333,0.4
25,dok213.txt,WA,0.08,0.4
26,dok264.txt,AC,0.11538461538461539,0.6
27,dok366.txt,AC,0.14814814814814814,0.8
28,dok357.txt,WA,0.14285714285714285,0.8
29,dok364.txt,WA,0.13793103448275862,0.8
30,dok231.txt,WA,0.13333333333333333,0.8
31,dok351.txt,WA,0.12903225806451613,0.8
32,dok242.txt,WA,0.125,0.8
33,dok256.txt,AC,0.15151515151515152,1.0
34,dok267.txt,WA,0.14705882352941177,1.0
35,dok308.txt,WA,0.14285714285714285,1.0
36,dok147.txt,WA,0.1388888888888889,1.0
37,dok153.txt,WA,0.13513513513513514,1.0
38,dok289.txt,WA,0.13157894736842105,1.0
39,dok126.txt,WA,0.1282051282051282,1.0
40,dok55.txt,WA,0.125,1.0
41,dok5.txt,WA,0.12195121951219512,1.0
42,dok76.txt,WA,0.11904761904761904,1.0
43,dok102.txt,WA,0.11627906976744186,1.0
44,dok31.txt,WA,0.11363636363636363,1.0
45,dok243.txt,WA,0.1111111111111111,1.0
46,dok262.txt,WA,0.10869565217391304,1.0
47,dok278.txt,WA,0.10638297872340426,1.0
48,dok363.txt,WA,0.10416666666666667,1.0
49,dok232.txt,WA,0.10204081632653061,1.0
50,dok255.txt,WA,0.1,1.0
average precision,0.15676370696547598
