rank,document,verdict,Precision,Recall
1,dok386.txt,WA,0.0,0.0
2,dok161.txt,WA,0.0,0.0
3,dok307.txt,WA,0.0,0.0
4,dok373.txt,WA,0.0,0.0
5,dok248.txt,WA,0.0,0.0
6,dok204.txt,WA,0.0,0.0
7,dok402.txt,WA,0.0,0.0
8,dok232.txt,WA,0.0,0.0
9,dok218.txt,WA,0.0,0.0
10,dok283.txt,WA,0.0,0.0
11,dok11.txt,WA,0.0,0.0
12,dok82.txt,WA,0.0,0.0
13,dok133.txt,WA,0.0,0.0
14,dok62.txt,WA,0.0,0.0
15,dok18.txt,WA,0.0,0.0
16,dok89.txt,WA,0.0,0.0
17,dok270.txt,WA,0.0,0.0
18,dok365.txt,WA,0.0,0.0
19,dok7.txt,WA,0.0,0.0
20,dok78.txt,WA,0.0,0.0
21,dok215.txt,WA,0.0,0.0
22,dok399.txt,WA,0.0,0.0
23,dok143.txt,WA,0.0,0.0
24,dok252.txt,WA,0.0,0.0
25,dok158.txt,WA,0.0,0.0
26,dok286.txt,WA,0.0,0.0
27,dok364.txt,WA,0.0,0.0
28,dok28.txt,AC,0.03571428571428571,0.25
29,dok99.txt,AC,0.06896551724137931,0.5
30,dok147.txt,WA,0.06666666666666667,0.5
31,dok153.txt,WA,0.06451612903225806,0.5
32,dok289.txt,WA,0.0625,0.5
33,dok249.txt,WA,0.06060606060606061,0.5
34,dok236.txt,WA,0.058823529411764705,0.5
35,dok400.txt,WA,0.05714285714285714,0.5
36,dok132.txt,WA,0.05555555555555555,0.5
37,dok61.txt,WA,0.05405405405405406,0.5
38,dok383.txt,WA,0.05263157894736842,0.5
39,dok80.txt,WA,0.05128205128205128,0.5
40,dok9.txt,WA,0.05,0.5
41,dok398.txt,WA,0.04878048780487805,0.5
42,dok359.txt,WA,0.047619047619047616,0.5
43,dok136.txt,AC,0.06976744186046512,0.75
44,dok65.txt,AC,0.09090909090909091,1.0
45,dok197.txt,WA,0.08888888888888889,1.0
46,dok174.txt,WA,0.08695652173913043,1.0
47,dok345.txt,WA,0.0851063829787234,1.0
48,dok182.txt,WA,0.08333333333333333,1.0
49,dok253.txt,WA,0.08163265306122448,1.0
50,dok393.txt,WA,0.08,1.0
51,dok225.txt,WA,0.0784313725490196,1.0
52,dok221.txt,WA,0.07692307692307693,1.0
53,dok139.txt,WA,0.07547169811320754,1.0
54,dok68.txt,WA,0.07407407407407407,1.0
55,dok195.txt,WA,0.07272727272727272,1.0
56,dok254.txt,WA,0.07142857142857142,1.0
57,dok244.txt,WA,0.07017543859649122,1.0
58,dok106.txt,WA,0.06896551724137931,1.0
59,dok35.txt,WA,0.06779661016949153,1.0
60,dok343.txt,WA,0.06666666666666667,1.0
61,dok230.txt,WA,0.06557377049180328,1.0
62,dok335.txt,WA,0.06451612903225806,1.0
63,dok369.txt,WA,0.06349206349206349,1.0
64,dok355.txt,WA,0.0625,1.0
65,dok108.txt,WA,0.06153846153846154,1.0
66,dok37.txt,WA,0.06060606060606061,1.0
67,dok203.txt,WA,0.05970149253731343,1.0
68,dok208.txt,WA,0.058823529411764705,1.0
69,dok187.txt,WA,0.057971014492753624,1.0
70,dok224.txt,WA,0.05714285714285714,1.0
71,dok238.txt,WA,0.056338028169014086,1.0
72,dok261.txt,WA,0.05555555555555555,1.0
73,dok394.txt,WA,0.0547945205479452,1.0
74,dok378.txt,WA,0.05405405405405406,1.0
75,dok256.txt,WA,0.05333333333333334,1.0
76,dok366.txt,WA,0.05263157894736842,1.0
77,dok370.txt,WA,0.05194805194805195,1.0
78,dok318.txt,WA,0.05128205128205128,1.0
79,dok113.txt,WA,0.05063291139240506,1.0
80,dok42.txt,WA,0.05,1.0
81,dok331.txt,WA,0.04938271604938271,1.0
82,dok178.txt,WA,0.04878048780487805,1.0
83,dok243.txt,WA,0.04819277108433735,1.0
84,dok263.txt,WA,0.047619047619047616,1.0
85,dok213.txt,WA,0.047058823529411764,1.0
86,dok140.txt,WA,0.046511627906976744,1.0
87,dok69.txt,WA,0.04597701149425287,1.0
88,dok144.txt,WA,0.045454545454545456,1.0
89,dok137.txt,WA,0.0449438202247191,1.0
90,dok66.txt,WA,0.044444444444444446,1.0
91,dok142.txt,WA,0.04395604395604396,1.0
92,dok71.txt,WA,0.043478260869565216,1.0
93,dok251.txt,WA,0.043010752688172046,1.0
94,dok250.txt,WA,0.0425531914893617,1.0
95,dok288.txt,WA,0.042105263157894736,1.0
96,dok207.txt,WA,0.041666666666666664,1.0
97,dok387.txt,WA,0.041237113402061855,1.0
98,dok210.txt,WA,0.04081632653061224,1.0
99,dok246.txt,WA,0.04040404040404041,1.0
100,dok12.txt,WA,0.04,1.0
average precision,0.042541408510898625
