rank,document,verdict,Precision,Recall
1,dok257.txt,AC,1.0,0.25
2,dok205.txt,WA,0.5,0.25
3,dok399.txt,WA,0.3333333333333333,0.25
4,dok210.txt,AC,0.5,0.5
5,dok253.txt,AC,0.6,0.75
6,dok400.txt,AC,0.6666666666666666,1.0
7,dok336.txt,WA,0.5714285714285714,1.0
8,dok275.txt,WA,0.5,1.0
9,dok149.txt,WA,0.4444444444444444,1.0
10,dok249.txt,WA,0.4,1.0
11,dok151.txt,WA,0.36363636363636365,1.0
12,dok216.txt,WA,0.3333333333333333,1.0
13,dok310.txt,WA,0.3076923076923077,1.0
14,dok340.txt,WA,0.2857142857142857,1.0
15,dok347.txt,WA,0.26666666666666666,1.0
16,dok219.txt,WA,0.25,1.0
17,dok377.txt,WA,0.23529411764705882,1.0
18,dok338.txt,WA,0.2222222222222222,1.0
19,dok370.txt,WA,0.21052631578947367,1.0
20,dok374.txt,WA,0.2,1.0
21,dok201.txt,WA,0.19047619047619047,1.0
22,dok204.txt,WA,0.18181818181818182,1.0
23,dok401.txt,WA,0.17391304347826086,1.0
24,dok293.txt,WA,0.16666666666666666,1.0
25,dok375.txt,WA,0.16,1.0
26,dok368.txt,WA,0.15384615384615385,1.0
27,dok314.txt,WA,0.14814814814814814,1.0
28,dok267.txt,WA,0.14285714285714285,1.0
29,dok308.txt,WA,0.13793103448275862,1.0
30,dok239.txt,WA,0.13333333333333333,1.0
31,dok298.txt,WA,0.12903225806451613,1.0
32,dok379.txt,WA,0.125,1.0
33,dok228.txt,WA,0.12121212121212122,1.0
34,dok242.txt,WA,0.11764705882352941,1.0
35,dok357.txt,WA,0.11428571428571428,1.0
36,dok341.txt,WA,0.1111111111111111,1.0
37,dok190.txt,WA,0.10810810810810811,1.0
38,dok301.txt,WA,0.10526315789473684,1.0
39,dok231.txt,WA,0.10256410256410256,1.0
40,dok351.txt,WA,0.1,1.0
41,dok227.txt,WA,0.0975609756097561,1.0
42,dok258.txt,WA,0.09523809523809523,1.0
43,dok376.txt,WA,0.09302325581395349,1.0
44,dok140.txt,WA,0.09090909090909091,1.0
45,dok169.txt,WA,0.08888888888888889,1.0
46,dok69.txt,WA,0.08695652173913043,1.0
47,dok353.txt,WA,0.0851063829787234,1.0
48,dok378.txt,WA,0.08333333333333333,1.0
49,dok274.txt,WA,0.08163265306122448,1.0
50,dok402.txt,WA,0.08,1.0
average precision,0.23593642706635393
