rank,document,verdict
1,dok284.txt,WA
2,dok144.txt,WA
3,dok277.txt,WA
4,dok245.txt,WA
5,dok386.txt,WA
6,dok312.txt,WA
7,dok164.txt,WA
8,dok287.txt,WA
9,dok389.txt,WA
10,dok367.txt,AC
11,dok24.txt,WA
12,dok95.txt,WA
13,dok146.txt,WA
14,dok193.txt,WA
15,dok148.txt,WA
16,dok285.txt,WA
17,dok370.txt,WA
18,dok307.txt,AC
19,dok359.txt,WA
20,dok360.txt,WA
21,dok350.txt,WA
22,dok187.txt,WA
23,dok282.txt,WA
24,dok226.txt,WA
25,dok320.txt,WA
26,dok321.txt,WA
27,dok375.txt,WA
28,dok143.txt,AC
29,dok306.txt,WA
30,dok295.txt,WA
31,dok158.txt,AC
32,dok286.txt,AC
33,dok381.txt,WA
34,dok197.txt,WA
35,dok161.txt,AC
36,dok172.txt,WA
37,dok379.txt,WA
38,dok378.txt,WA
39,dok242.txt,WA
40,dok357.txt,WA
41,dok390.txt,WA
42,dok20.txt,WA
43,dok91.txt,WA
44,dok222.txt,WA
45,dok298.txt,WA
46,dok377.txt,WA
47,dok253.txt,WA
48,dok383.txt,WA
49,dok399.txt,WA
50,dok205.txt,WA
51,dok288.txt,AC
52,dok156.txt,WA
53,dok387.txt,WA
54,dok259.txt,WA
55,dok314.txt,WA
56,dok220.txt,WA
57,dok202.txt,WA
58,dok265.txt,WA
59,dok322.txt,WA
60,dok283.txt,AC
61,dok340.txt,WA
62,dok274.txt,WA
63,dok233.txt,WA
64,dok353.txt,WA
65,dok203.txt,WA
66,dok149.txt,WA
67,dok23.txt,WA
68,dok94.txt,WA
69,dok347.txt,WA
70,dok376.txt,WA
71,dok302.txt,WA
72,dok113.txt,WA
73,dok42.txt,WA
74,dok22.txt,WA
75,dok93.txt,WA
76,dok184.txt,WA
77,dok183.txt,WA
78,dok339.txt,WA
79,dok188.txt,WA
80,dok196.txt,WA
81,dok373.txt,WA
82,dok192.txt,WA
83,dok116.txt,WA
84,dok45.txt,WA
85,dok27.txt,WA
86,dok368.txt,WA
87,dok98.txt,WA
88,dok189.txt,WA
89,dok319.txt,WA
90,dok210.txt,WA
91,dok110.txt,WA
92,dok351.txt,WA
93,dok39.txt,WA
94,dok111.txt,WA
95,dok40.txt,WA
96,dok393.txt,WA
97,dok211.txt,WA
98,dok354.txt,WA
99,dok237.txt,WA
100,dok195.txt,WA
