rank,document,verdict
1,dok24.txt,WA
2,dok95.txt,WA
3,dok214.txt,WA
4,dok383.txt,WA
5,dok385.txt,WA
6,dok133.txt,AC
7,dok62.txt,AC
8,dok394.txt,WA
9,dok365.txt,WA
10,dok7.txt,AC
11,dok78.txt,AC
12,dok268.txt,WA
13,dok325.txt,WA
14,dok270.txt,AC
15,dok402.txt,WA
16,dok142.txt,WA
17,dok71.txt,WA
18,dok343.txt,WA
19,dok80.txt,WA
20,dok9.txt,WA
21,dok20.txt,WA
22,dok91.txt,WA
23,dok23.txt,WA
24,dok94.txt,WA
25,dok141.txt,WA
26,dok70.txt,WA
27,dok129.txt,WA
28,dok58.txt,WA
29,dok140.txt,WA
30,dok69.txt,WA
31,dok230.txt,WA
32,dok110.txt,WA
33,dok39.txt,WA
34,dok195.txt,WA
35,dok132.txt,WA
36,dok61.txt,WA
37,dok15.txt,WA
38,dok86.txt,WA
39,dok137.txt,WA
40,dok66.txt,WA
41,dok18.txt,WA
42,dok89.txt,WA
43,dok304.txt,WA
44,dok10.txt,WA
45,dok81.txt,WA
46,dok165.txt,WA
47,dok192.txt,WA
48,dok173.txt,WA
49,dok323.txt,WA
50,dok179.txt,WA
