rank,document,verdict,Precision,Recall
1,dok201.txt,AC,1.0,0.2
2,dok248.txt,AC,1.0,0.4
3,dok236.txt,WA,0.6666666666666666,0.4
4,dok255.txt,AC,0.75,0.6
5,dok365.txt,AC,0.8,0.8
6,dok402.txt,AC,0.8333333333333334,1.0
7,dok349.txt,WA,0.7142857142857143,1.0
8,dok212.txt,WA,0.625,1.0
9,dok143.txt,WA,0.5555555555555556,1.0
10,dok170.txt,WA,0.5,1.0
11,dok164.txt,WA,0.45454545454545453,1.0
12,dok287.txt,WA,0.4166666666666667,1.0
13,dok240.txt,WA,0.38461538461538464,1.0
14,dok282.txt,WA,0.35714285714285715,1.0
15,dok226.txt,WA,0.3333333333333333,1.0
16,dok320.txt,WA,0.3125,1.0
17,dok321.txt,WA,0.29411764705882354,1.0
18,dok158.txt,WA,0.2777777777777778,1.0
19,dok234.txt,WA,0.2631578947368421,1.0
20,dok286.txt,WA,0.25,1.0
21,dok381.txt,WA,0.23809523809523808,1.0
22,dok114.txt,WA,0.22727272727272727,1.0
23,dok43.txt,WA,0.21739130434782608,1.0
24,dok224.txt,WA,0.20833333333333334,1.0
25,dok132.txt,WA,0.2,1.0
26,dok154.txt,WA,0.19230769230769232,1.0
27,dok61.txt,WA,0.18518518518518517,1.0
28,dok350.txt,WA,0.17857142857142858,1.0
29,dok295.txt,WA,0.1724137931034483,1.0
30,dok344.txt,WA,0.16666666666666666,1.0
31,dok262.txt,WA,0.16129032258064516,1.0
32,dok278.txt,WA,0.15625,1.0
33,dok342.txt,WA,0.15151515151515152,1.0
34,dok175.txt,WA,0.14705882352941177,1.0
35,dok220.txt,WA,0.14285714285714285,1.0
36,dok223.txt,WA,0.1388888888888889,1.0
37,dok324.txt,WA,0.13513513513513514,1.0
38,dok199.txt,WA,0.13157894736842105,1.0
39,dok238.txt,WA,0.1282051282051282,1.0
40,dok241.txt,WA,0.125,1.0
41,dok311.txt,WA,0.12195121951219512,1.0
42,dok100.txt,WA,0.11904761904761904,1.0
43,dok29.txt,WA,0.11627906976744186,1.0
44,dok333.txt,WA,0.11363636363636363,1.0
45,dok384.txt,WA,0.1111111111111111,1.0
46,dok359.txt,WA,0.10869565217391304,1.0
47,dok386.txt,WA,0.10638297872340426,1.0
48,dok165.txt,WA,0.10416666666666667,1.0
49,dok166.txt,WA,0.10204081632653061,1.0
50,dok183.txt,WA,0.1,1.0
average precision,0.3059205338329425
