rank,document,verdict,Precision,Recall
1,dok386.txt,WA,0.0,0.0
2,dok11.txt,WA,0.0,0.0
3,dok82.txt,WA,0.0,0.0
4,dok113.txt,WA,0.0,0.0
5,dok42.txt,WA,0.0,0.0
6,dok331.txt,WA,0.0,0.0
7,dok6.txt,WA,0.0,0.0
8,dok77.txt,WA,0.0,0.0
9,dok390.txt,WA,0.0,0.0
10,dok387.txt,WA,0.0,0.0
11,dok389.txt,WA,0.0,0.0
12,dok132.txt,AC,0.08333333333333333,0.25
13,dok61.txt,AC,0.15384615384615385,0.5
14,dok302.txt,WA,0.14285714285714285,0.5
15,dok24.txt,WA,0.13333333333333333,0.5
16,dok95.txt,WA,0.125,0.5
17,dok121.txt,WA,0.11764705882352941,0.5
18,dok50.txt,WA,0.1111111111111111,0.5
19,dok305.txt,WA,0.10526315789473684,0.5
20,dok213.txt,WA,0.1,0.5
21,dok261.txt,WA,0.09523809523809523,0.5
22,dok28.txt,WA,0.09090909090909091,0.5
23,dok99.txt,WA,0.08695652173913043,0.5
24,dok22.txt,WA,0.08333333333333333,0.5
25,dok93.txt,WA,0.08,0.5
26,dok292.txt,WA,0.07692307692307693,0.5
27,dok328.txt,WA,0.07407407407407407,0.5
28,dok179.txt,WA,0.07142857142857142,0.5
29,dok18.txt,WA,0.06896551724137931,0.5
30,dok89.txt,WA,0.06666666666666667,0.5
31,dok258.txt,WA,0.06451612903225806,0.5
32,dok300.txt,WA,0.0625,0.5
33,dok352.txt,WA,0.06060606060606061,0.5
34,dok3.txt,WA,0.058823529411764705,0.5
35,dok74.txt,WA,0.05714285714285714,0.5
36,dok23.txt,WA,0.05555555555555555,0.5
37,dok94.txt,WA,0.05405405405405406,0.5
38,dok116.txt,WA,0.05263157894736842,0.5
39,dok45.txt,WA,0.05128205128205128,0.5
40,dok1.txt,WA,0.05,0.5
41,dok72.txt,WA,0.04878048780487805,0.5
42,dok7.txt,WA,0.047619047619047616,0.5
43,dok78.txt,WA,0.046511627906976744,0.5
44,dok136.txt,WA,0.045454545454545456,0.5
45,dok65.txt,WA,0.044444444444444446,0.5
46,dok275.txt,WA,0.043478260869565216,0.5
47,dok25.txt,WA,0.0425531914893617,0.5
48,dok96.txt,WA,0.041666666666666664,0.5
49,dok270.txt,WA,0.04081632653061224,0.5
50,dok388.txt,WA,0.04,0.5
51,dok380.txt,WA,0.0392156862745098,0.5
52,dok329.txt,WA,0.038461538461538464,0.5
53,dok157.txt,WA,0.03773584905660377,0.5
54,dok21.txt,WA,0.037037037037037035,0.5
55,dok92.txt,WA,0.03636363636363636,0.5
56,dok133.txt,AC,0.05357142857142857,0.75
57,dok62.txt,AC,0.07017543859649122,1.0
58,dok26.txt,WA,0.06896551724137931,1.0
59,dok97.txt,WA,0.06779661016949153,1.0
60,dok332.txt,WA,0.06666666666666667,1.0
61,dok290.txt,WA,0.06557377049180328,1.0
62,dok160.txt,WA,0.06451612903225806,1.0
63,dok391.txt,WA,0.06349206349206349,1.0
64,dok263.txt,WA,0.0625,1.0
65,dok396.txt,WA,0.06153846153846154,1.0
66,dok112.txt,WA,0.06060606060606061,1.0
67,dok41.txt,WA,0.05970149253731343,1.0
68,dok334.txt,WA,0.058823529411764705,1.0
69,dok129.txt,WA,0.057971014492753624,1.0
70,dok58.txt,WA,0.05714285714285714,1.0
71,dok2.txt,WA,0.056338028169014086,1.0
72,dok73.txt,WA,0.05555555555555555,1.0
73,dok159.txt,WA,0.0547945205479452,1.0
74,dok279.txt,WA,0.05405405405405406,1.0
75,dok195.txt,WA,0.05333333333333334,1.0
76,dok392.txt,WA,0.05263157894736842,1.0
77,dok14.txt,WA,0.05194805194805195,1.0
78,dok167.txt,WA,0.05128205128205128,1.0
79,dok316.txt,WA,0.05063291139240506,1.0
80,dok85.txt,WA,0.05,1.0
81,dok10.txt,WA,0.04938271604938271,1.0
82,dok81.txt,WA,0.04878048780487805,1.0
83,dok186.txt,WA,0.04819277108433735,1.0
84,dok114.txt,WA,0.047619047619047616,1.0
85,dok43.txt,WA,0.047058823529411764,1.0
86,dok176.txt,WA,0.046511627906976744,1.0
87,dok173.txt,WA,0.04597701149425287,1.0
88,dok323.txt,WA,0.045454545454545456,1.0
89,dok291.txt,WA,0.0449438202247191,1.0
90,dok361.txt,WA,0.044444444444444446,1.0
91,dok333.txt,WA,0.04395604395604396,1.0
92,dok189.txt,WA,0.043478260869565216,1.0
93,dok319.txt,WA,0.043010752688172046,1.0
94,dok20.txt,WA,0.0425531914893617,1.0
95,dok91.txt,WA,0.042105263157894736,1.0
96,dok115.txt,WA,0.041666666666666664,1.0
97,dok44.txt,WA,0.041237113402061855,1.0
98,dok174.txt,WA,0.04081632653061224,1.0
99,dok345.txt,WA,0.04040404040404041,1.0
100,dok165.txt,WA,0.04,1.0
average precision,0.05421340480761138
