"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"2","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"3","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"4","Siapa presiden pada masa orde baru?","letjen soeharto","AC"
"5","Siapa presiden pada masa orde baru?","letjen soeharto","AC"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"7","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"8","Dimana konferensi asia afrika diselenggarakan?","jenewa","WA"
"9","Dimana konferensi asia afrika diselenggarakan?","dunia","WA"
"10","Dimana konferensi asia afrika diselenggarakan?","dunia","WA"
"11","Siapa presiden pertama Indonesia?","presiden pm","WA"
"12","Siapa presiden pertama Indonesia?","mr sjafruddin prawiranegara presiden republik indonesia","WA"
"13","Siapa presiden pertama Indonesia?","mr sjafruddin prawiranegara presiden republik indonesia","WA"
"14","Siapa presiden pertama Indonesia?","belanda","WA"
"15","Siapa presiden pertama Indonesia?","6.00 pagi belanda","WA"
"16","Kapan diponegoro wafat?","11 oktober 1862","WA"
"17","Kapan diponegoro wafat?","11 oktober 1862","WA"
"18","Kapan diponegoro wafat?","tanggal 8 januari 1855","AC"
"19","Kapan diponegoro wafat?","tanggal 8 januari 1855","AC"
"20","Kapan diponegoro wafat?","tahun 1518","WA"
"21","Kapan perjanjian saragosa terjadi?","tahun 1756 1763","WA"
"22","Kapan perjanjian saragosa terjadi?","NO ANSWER","WA"
"23","Kapan perjanjian saragosa terjadi?","NO ANSWER","WA"
"24","Kapan perjanjian saragosa terjadi?","NO ANSWER","WA"
"25","Kapan perjanjian saragosa terjadi?","NO ANSWER","WA"
"26","Kapan Budi Utomo didirikan?","tahun 1222","WA"
"27","Kapan Budi Utomo didirikan?","tahun 1222","WA"
"28","Kapan Budi Utomo didirikan?","tahun 1222","WA"
"29","Kapan Budi Utomo didirikan?","tahun 1222","WA"
"30","Kapan Budi Utomo didirikan?","tahun 1222 m","WA"
"31","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"32","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"33","Siapa pendiri Taman Siswa?","wanito susilo","WA"
"34","Siapa pendiri Taman Siswa?","wanito susilo","WA"
"35","Siapa pendiri Taman Siswa?","wanito utomo","WA"
"36","Dimana letak kerajaan sriwijaya?","provinsi sumatera","AC"
"37","Dimana letak kerajaan sriwijaya?","palembang","AC"
"38","Dimana letak kerajaan sriwijaya?","daerah","WA"
"39","Dimana letak kerajaan sriwijaya?","palembang","AC"
"40","Dimana letak kerajaan sriwijaya?","daerah","WA"
"41","Kapan taman siswa didirikan?","1922","AC"
"42","Kapan taman siswa didirikan?","1922","AC"
"43","Kapan taman siswa didirikan?","1922","AC"
"44","Kapan taman siswa didirikan?","1922","AC"
"45","Kapan taman siswa didirikan?","1919","WA"
"46","dimana budi utomo didirikan?","batavia","AC"
"47","dimana budi utomo didirikan?","batavia","AC"
"48","dimana budi utomo didirikan?","yogyakarta","WA"
"49","dimana budi utomo didirikan?","yogyakarta","WA"
"50","dimana budi utomo didirikan?","yogyakarta","WA"
"51","dimana taman siswa didirikan?","medan","WA"
"52","dimana taman siswa didirikan?","yogyakarta","AC"
"53","dimana taman siswa didirikan?","yogyakarta","AC"
"54","dimana taman siswa didirikan?","yogyakarta","AC"
"55","dimana taman siswa didirikan?","medan","WA"
"56","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"57","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"58","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"59","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"60","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"61","kapan hayam wuruk wafat?","1350 1389","AC"
"62","kapan hayam wuruk wafat?","tahun 1389","AC"
"63","kapan hayam wuruk wafat?","1350 1389","AC"
"64","kapan hayam wuruk wafat?","tahun 1350","WA"
"65","kapan hayam wuruk wafat?","tahun 1389","AC"
"71","siapa pemimpin kerajaan tidore?","bhatara parameswara","WA"
"72","siapa pemimpin kerajaan tidore?","warga negara","WA"
"73","siapa pemimpin kerajaan tidore?","warga negara","WA"
"74","siapa pemimpin kerajaan tidore?","laksamana nelson","WA"
"75","siapa pemimpin kerajaan tidore?","laksamana nelson","WA"
"76","kapan belanda datang ke maluku?","majapahit tahun 1413","WA"
"77","kapan belanda datang ke maluku?","majapahit tahun 1413","WA"
"78","kapan belanda datang ke maluku?","NO ANSWER","WA"
"79","kapan belanda datang ke maluku?","NO ANSWER","WA"
"80","kapan belanda datang ke maluku?","NO ANSWER","WA"
"81","kapan portugis datang ke maluku?","1512","AC"
"82","kapan portugis datang ke maluku?","1605","WA"
"83","kapan portugis datang ke maluku?","1512","AC"
"84","kapan portugis datang ke maluku?","1605","WA"
"85","kapan portugis datang ke maluku?","1512","AC"
"91","kapan perjanjian bongaya ditandatangani?","tahun 1802","WA"
"92","kapan perjanjian bongaya ditandatangani?","tahun 1809","WA"
"93","kapan perjanjian bongaya ditandatangani?","tahun 1805","WA"
"94","kapan perjanjian bongaya ditandatangani?","1797","WA"
"95","kapan perjanjian bongaya ditandatangani?","1797","WA"
"101","kapan voc didirikan?","1743","WA"
"102","kapan voc didirikan?","1744","WA"
"103","kapan voc didirikan?","NO ANSWER","WA"
"104","kapan voc didirikan?","NO ANSWER","WA"
"105","kapan voc didirikan?","NO ANSWER","WA"
"106","kapan voc dibubarkan?","1743","WA"
"107","kapan voc dibubarkan?","1703","WA"
"108","kapan voc dibubarkan?","1703","WA"
"109","kapan voc dibubarkan?","1749","WA"
"110","kapan voc dibubarkan?","1719 1723","WA"
"121","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"122","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"123","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"124","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"125","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"131","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"132","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"133","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"134","kapan ekspedisi pertama belanda di bali terjadi?","1848","WA"
"135","kapan ekspedisi pertama belanda di bali terjadi?","1849","WA"
"136","kapan perlawanan di aceh terjadi?","1792 1815","WA"
"137","kapan perlawanan di aceh terjadi?","tahun 1802","WA"
"138","kapan perlawanan di aceh terjadi?","1792 1815","WA"
"139","kapan perlawanan di aceh terjadi?","tahun 1802","WA"
"140","kapan perlawanan di aceh terjadi?","tahun 1949","WA"
"141","siapa pendiri budi utomo?","ken arok","WA"
"142","siapa pendiri budi utomo?","rajasa","WA"
"143","siapa pendiri budi utomo?","indische partij","WA"
"144","siapa pendiri budi utomo?","indische partij","WA"
"145","siapa pendiri budi utomo?","bangsa indonesia","WA"
"146","kapan sarekat islam didirikan?","abad 16","WA"
"147","kapan sarekat islam didirikan?","abad 16","WA"
"148","kapan sarekat islam didirikan?","abad 8","WA"
"149","kapan sarekat islam didirikan?","abad 10","WA"
"150","kapan sarekat islam didirikan?","tanggal 18 maret 1916","WA"
"151","siapa pendiri sarekat islam?","pedagang islam","AC"
"152","siapa pendiri sarekat islam?","pedagang islam","AC"
"153","siapa pendiri sarekat islam?","pedagang cina","WA"
"154","siapa pendiri sarekat islam?","pedagang cina","WA"
"155","siapa pendiri sarekat islam?","sarekat rakyat","WA"
"156","kapan indische partij didirikan?","abad 16","WA"
"157","kapan indische partij didirikan?","abad 8","WA"
"158","kapan indische partij didirikan?","tanggal 22 desember 1908","WA"
"159","kapan indische partij didirikan?","tanggal 22 desember 1908","WA"
"160","kapan indische partij didirikan?","abad 10","WA"
"161","dimana muhammadiyah didirikan?","wilayah yogyakarta","AC"
"162","dimana muhammadiyah didirikan?","wilayah yogyakarta","AC"
"163","dimana muhammadiyah didirikan?","wilayah kunjarakunja","WA"
"164","dimana muhammadiyah didirikan?","NO ANSWER","WA"
"165","dimana muhammadiyah didirikan?","NO ANSWER","WA"
"166","kapan muhammadiyah didirikan?","abad 16","WA"
"167","kapan muhammadiyah didirikan?","abad 8","WA"
"168","kapan muhammadiyah didirikan?","abad 10","WA"
"169","kapan muhammadiyah didirikan?","NO ANSWER","WA"
"170","kapan muhammadiyah didirikan?","NO ANSWER","WA"
"176","siapa yang membawa ajaran marxis?","petani","WA"
"177","siapa yang membawa ajaran marxis?","petani","WA"
"178","siapa yang membawa ajaran marxis?","petani","WA"
"179","siapa yang membawa ajaran marxis?","petani","WA"
"180","siapa yang membawa ajaran marxis?","NO ANSWER","WA"
"181","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"182","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"183","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tahun 1925","WA"
"184","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"185","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","AC"
"186","kapan sumpah pemuda terjadi?","pemuda 1928","WA"
"187","kapan sumpah pemuda terjadi?","tanggal 28 oktober 1928","AC"
"188","kapan sumpah pemuda terjadi?","tanggal 24 28 desember 1928","AC"
"189","kapan sumpah pemuda terjadi?","tanggal 31 desember 1936","WA"
"190","kapan sumpah pemuda terjadi?","tanggal 28 oktober 1928","AC"
"191","kapan partai nasional indonesia lahir?","1905","WA"
"192","kapan partai nasional indonesia lahir?","21 mei 1998","WA"
"193","kapan partai nasional indonesia lahir?","bulan mei 1998","WA"
"194","kapan partai nasional indonesia lahir?","tanggal 22 agustus 1945","WA"
"195","kapan partai nasional indonesia lahir?","tanggal 3 november 1945","WA"
"196","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"197","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"198","kapan sistem tanam paksa diterapkan?","tahun 1870","WA"
"199","kapan sistem tanam paksa diterapkan?","tahun 1831","WA"
"200","kapan sistem tanam paksa diterapkan?","NO ANSWER","WA"
"201","kapan sidang kabinet dwikora diadakan?","pukul 20.00","WA"
"202","kapan sidang kabinet dwikora diadakan?","tanggal 7","WA"
"203","kapan sidang kabinet dwikora diadakan?","masa orde","WA"
"204","kapan sidang kabinet dwikora diadakan?","12 maret 1967","WA"
"205","kapan sidang kabinet dwikora diadakan?","tanggal 7","WA"
"206","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"207","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"208","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"209","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"210","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"211","siapa pemimpin APRA?","gerrado machado","WA"
"212","siapa pemimpin APRA?","NO ANSWER","WA"
"213","siapa pemimpin APRA?","NO ANSWER","WA"
"214","siapa pemimpin APRA?","NO ANSWER","WA"
"215","siapa pemimpin APRA?","NO ANSWER","WA"
"216","siapa pemimpin RMS?","gerrado machado","WA"
"217","siapa pemimpin RMS?","NO ANSWER","WA"
"218","siapa pemimpin RMS?","NO ANSWER","WA"
"219","siapa pemimpin RMS?","NO ANSWER","WA"
"220","siapa pemimpin RMS?","NO ANSWER","WA"
"221","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"222","kapan gerakan non blok diselenggarakan?","tanggal 5 10 oktober 1964","AC"
"223","kapan gerakan non blok diselenggarakan?","tanggal 5 10 oktober 1964","AC"
"224","kapan gerakan non blok diselenggarakan?","tahun 1961","AC"
"225","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"226","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"227","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"228","kapan rengasdengklok terjadi?","61 tahun","WA"
"229","kapan rengasdengklok terjadi?","61 tahun","WA"
"230","kapan rengasdengklok terjadi?","17 boelan 8 tahun 05","WA"
"231","kapan seinendan didirikan?","abad 16","WA"
"232","kapan seinendan didirikan?","abad 8","WA"
"233","kapan seinendan didirikan?","abad 10","WA"
"234","kapan seinendan didirikan?","NO ANSWER","WA"
"235","kapan seinendan didirikan?","NO ANSWER","WA"
"236","kapan rakyat bali melawan belanda?","bulan maret 1949","WA"
"237","kapan rakyat bali melawan belanda?","1859 1905","WA"
"238","kapan rakyat bali melawan belanda?","1846 1905","AC"
"239","kapan rakyat bali melawan belanda?","1846 1905","AC"
"240","kapan rakyat bali melawan belanda?","tahun 1859","WA"
"241","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"242","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"243","siapa penulis konsep naskah proklamasi?","mr ahmad subardjo","WA"
"244","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"245","siapa penulis konsep naskah proklamasi?","mr ahmad subardjo","WA"
"251","dimana perjanjian renville dibuat?","wilayah indonesia","WA"
"252","dimana perjanjian renville dibuat?","wilayah indonesia","WA"
"253","dimana perjanjian renville dibuat?","NO ANSWER","WA"
"254","dimana perjanjian renville dibuat?","NO ANSWER","WA"
"255","dimana perjanjian renville dibuat?","NO ANSWER","WA"
"256","kapan perjanjian renville dilakukan?","1 oktober 1949","WA"
"257","kapan perjanjian renville dilakukan?","NO ANSWER","WA"
"258","kapan perjanjian renville dilakukan?","NO ANSWER","WA"
"259","kapan perjanjian renville dilakukan?","NO ANSWER","WA"
"260","kapan perjanjian renville dilakukan?","NO ANSWER","WA"
"266","kapan pancasila lahir?","uud 1945","WA"
"267","kapan pancasila lahir?","uud 1945","WA"
"268","kapan pancasila lahir?","tanggal 11 maret 1966","WA"
"269","kapan pancasila lahir?","NO ANSWER","WA"
"270","kapan pancasila lahir?","NO ANSWER","WA"
"271","siapa ketua ppki?","prof mr dr soepomo","WA"
"272","siapa ketua ppki?","mr.ahmad soerbadjo","WA"
"273","siapa ketua ppki?","prof mr dr soepomo","WA"
"274","siapa ketua ppki?","prof mr dr soepomo","WA"
"275","siapa ketua ppki?","drs moh","WA"
"276","kapan nagasaki dibom?","8 agustus 1945","WA"
"277","kapan nagasaki dibom?","10 agustus 1945","WA"
"278","kapan nagasaki dibom?","tanggal 9 agustus 1945","AC"
"279","kapan nagasaki dibom?","tanggal 9 agustus 1945","AC"
"280","kapan nagasaki dibom?","tanggal 9 agustus 1945","AC"
"281","kapan hiroshima dibom?","tanggal 9 agustus 1945","WA"
"282","kapan hiroshima dibom?","6 agustus 1945","AC"
"283","kapan hiroshima dibom?","tanggal 8 agustus 1945","WA"
"284","kapan hiroshima dibom?","tanggal 8 agustus 1945","WA"
"285","kapan hiroshima dibom?","tanggal 8 agustus 1945","WA"
"286","kapan reformasi terjadi?","61 tahun","WA"
"287","kapan reformasi terjadi?","61 tahun","WA"
"288","kapan reformasi terjadi?","tahun 1984","WA"
"289","kapan reformasi terjadi?","tahun 1980 an","WA"
"290","kapan reformasi terjadi?","agustus 1986","WA"
"296","kapan indonesia kembali menjadi anggota pbb?","tanggal 28 september 1966","AC"
"297","kapan indonesia kembali menjadi anggota pbb?","tanggal 7 januari 1965","WA"
"298","kapan indonesia kembali menjadi anggota pbb?","tanggal 7 januari 1965","WA"
"299","kapan indonesia kembali menjadi anggota pbb?","tanggal 28 september 1966","AC"
"300","kapan indonesia kembali menjadi anggota pbb?","tanggal 28 september 1966","AC"
