rank,document,verdict,Precision,Recall
1,dok296.txt,WA,0.0,0.0
2,dok147.txt,WA,0.0,0.0
3,dok153.txt,WA,0.0,0.0
4,dok289.txt,WA,0.0,0.0
5,dok276.txt,WA,0.0,0.0
6,dok365.txt,AC,0.16666666666666666,0.125
7,dok145.txt,WA,0.14285714285714285,0.125
8,dok368.txt,WA,0.125,0.125
9,dok230.txt,WA,0.1111111111111111,0.125
10,dok398.txt,WA,0.1,0.125
11,dok380.txt,WA,0.09090909090909091,0.125
12,dok212.txt,AC,0.16666666666666666,0.25
13,dok364.txt,WA,0.15384615384615385,0.25
14,dok367.txt,WA,0.14285714285714285,0.25
15,dok402.txt,AC,0.2,0.375
16,dok400.txt,WA,0.1875,0.375
17,dok247.txt,AC,0.23529411764705882,0.5
18,dok362.txt,WA,0.2222222222222222,0.5
19,dok192.txt,AC,0.2631578947368421,0.625
20,dok148.txt,WA,0.25,0.625
21,dok149.txt,WA,0.23809523809523808,0.625
22,dok244.txt,WA,0.22727272727272727,0.625
23,dok110.txt,AC,0.2608695652173913,0.75
24,dok228.txt,WA,0.25,0.75
25,dok39.txt,AC,0.28,0.875
26,dok139.txt,WA,0.2692307692307692,0.875
27,dok68.txt,WA,0.25925925925925924,0.875
28,dok240.txt,WA,0.25,0.875
29,dok285.txt,WA,0.2413793103448276,0.875
30,dok103.txt,WA,0.23333333333333334,0.875
31,dok32.txt,WA,0.22580645161290322,0.875
32,dok123.txt,WA,0.21875,0.875
33,dok52.txt,WA,0.21212121212121213,0.875
34,dok176.txt,WA,0.20588235294117646,0.875
35,dok299.txt,WA,0.2,0.875
36,dok226.txt,WA,0.19444444444444445,0.875
37,dok349.txt,WA,0.1891891891891892,0.875
38,dok271.txt,WA,0.18421052631578946,0.875
39,dok320.txt,WA,0.1794871794871795,0.875
40,dok321.txt,WA,0.175,0.875
41,dok248.txt,AC,0.1951219512195122,1.0
42,dok327.txt,WA,0.19047619047619047,1.0
43,dok173.txt,WA,0.18604651162790697,1.0
44,dok201.txt,WA,0.18181818181818182,1.0
45,dok323.txt,WA,0.17777777777777778,1.0
46,dok175.txt,WA,0.17391304347826086,1.0
47,dok220.txt,WA,0.1702127659574468,1.0
48,dok137.txt,WA,0.16666666666666666,1.0
49,dok236.txt,WA,0.16326530612244897,1.0
50,dok273.txt,WA,0.16,1.0
51,dok315.txt,WA,0.1568627450980392,1.0
52,dok66.txt,WA,0.15384615384615385,1.0
53,dok234.txt,WA,0.1509433962264151,1.0
54,dok376.txt,WA,0.14814814814814814,1.0
55,dok396.txt,WA,0.14545454545454545,1.0
56,dok238.txt,WA,0.14285714285714285,1.0
57,dok241.txt,WA,0.14035087719298245,1.0
58,dok246.txt,WA,0.13793103448275862,1.0
59,dok112.txt,WA,0.13559322033898305,1.0
60,dok384.txt,WA,0.13333333333333333,1.0
61,dok41.txt,WA,0.13114754098360656,1.0
62,dok163.txt,WA,0.12903225806451613,1.0
63,dok211.txt,WA,0.12698412698412698,1.0
64,dok300.txt,WA,0.125,1.0
65,dok344.txt,WA,0.12307692307692308,1.0
66,dok354.txt,WA,0.12121212121212122,1.0
67,dok372.txt,WA,0.11940298507462686,1.0
68,dok382.txt,WA,0.11764705882352941,1.0
69,dok395.txt,WA,0.11594202898550725,1.0
70,dok19.txt,WA,0.11428571428571428,1.0
71,dok2.txt,WA,0.11267605633802817,1.0
72,dok223.txt,WA,0.1111111111111111,1.0
73,dok229.txt,WA,0.1095890410958904,1.0
74,dok324.txt,WA,0.10810810810810811,1.0
75,dok348.txt,WA,0.10666666666666667,1.0
76,dok73.txt,WA,0.10526315789473684,1.0
77,dok90.txt,WA,0.1038961038961039,1.0
78,dok194.txt,WA,0.10256410256410256,1.0
79,dok172.txt,WA,0.10126582278481013,1.0
80,dok25.txt,WA,0.1,1.0
81,dok96.txt,WA,0.09876543209876543,1.0
82,dok168.txt,WA,0.0975609756097561,1.0
83,dok216.txt,WA,0.0963855421686747,1.0
84,dok232.txt,WA,0.09523809523809523,1.0
85,dok263.txt,WA,0.09411764705882353,1.0
86,dok303.txt,WA,0.09302325581395349,1.0
87,dok193.txt,WA,0.09195402298850575,1.0
88,dok3.txt,WA,0.09090909090909091,1.0
89,dok306.txt,WA,0.0898876404494382,1.0
90,dok335.txt,WA,0.08888888888888889,1.0
91,dok74.txt,WA,0.08791208791208792,1.0
92,dok157.txt,WA,0.08695652173913043,1.0
93,dok1.txt,WA,0.08602150537634409,1.0
94,dok100.txt,WA,0.0851063829787234,1.0
95,dok109.txt,WA,0.08421052631578947,1.0
96,dok118.txt,WA,0.08333333333333333,1.0
97,dok16.txt,WA,0.08247422680412371,1.0
98,dok165.txt,WA,0.08163265306122448,1.0
99,dok17.txt,WA,0.08080808080808081,1.0
100,dok181.txt,WA,0.08,1.0
average precision,0.14323095598011493
