rank,document,verdict
1,dok129.txt,AC
2,dok58.txt,AC
3,dok7.txt,AC
4,dok78.txt,AC
5,dok133.txt,WA
6,dok62.txt,WA
7,dok270.txt,WA
8,dok152.txt,WA
9,dok400.txt,WA
10,dok118.txt,WA
11,dok47.txt,WA
12,dok364.txt,WA
13,dok160.txt,WA
14,dok393.txt,WA
15,dok155.txt,WA
16,dok274.txt,WA
17,dok18.txt,WA
18,dok89.txt,WA
19,dok213.txt,WA
20,dok183.txt,WA
21,dok268.txt,WA
22,dok325.txt,WA
23,dok132.txt,WA
24,dok61.txt,WA
25,dok394.txt,WA
26,dok260.txt,WA
27,dok164.txt,WA
28,dok287.txt,WA
29,dok309.txt,WA
30,dok195.txt,WA
31,dok275.txt,WA
32,dok382.txt,WA
33,dok185.txt,WA
34,dok272.txt,WA
35,dok28.txt,WA
36,dok99.txt,WA
37,dok231.txt,WA
38,dok351.txt,WA
39,dok136.txt,WA
40,dok65.txt,WA
41,dok304.txt,WA
42,dok365.txt,WA
43,dok343.txt,WA
44,dok141.txt,WA
45,dok70.txt,WA
46,dok188.txt,WA
47,dok209.txt,WA
48,dok131.txt,WA
49,dok60.txt,WA
50,dok191.txt,WA
51,dok227.txt,WA
52,dok326.txt,WA
53,dok253.txt,WA
54,dok16.txt,WA
55,dok266.txt,WA
56,dok87.txt,WA
57,dok186.txt,WA
58,dok269.txt,WA
59,dok179.txt,WA
60,dok402.txt,WA
61,dok353.txt,WA
62,dok363.txt,WA
63,dok200.txt,WA
64,dok366.txt,WA
65,dok124.txt,WA
66,dok53.txt,WA
67,dok110.txt,WA
68,dok39.txt,WA
69,dok256.txt,WA
70,dok107.txt,WA
71,dok36.txt,WA
72,dok6.txt,WA
73,dok77.txt,WA
74,dok125.txt,WA
75,dok54.txt,WA
76,dok150.txt,WA
77,dok169.txt,WA
78,dok377.txt,WA
79,dok24.txt,WA
80,dok95.txt,WA
81,dok126.txt,WA
82,dok244.txt,WA
83,dok55.txt,WA
84,dok264.txt,WA
85,dok259.txt,WA
86,dok128.txt,WA
87,dok57.txt,WA
88,dok106.txt,WA
89,dok35.txt,WA
90,dok308.txt,WA
91,dok267.txt,WA
92,dok11.txt,WA
93,dok82.txt,WA
94,dok198.txt,WA
95,dok262.txt,WA
96,dok278.txt,WA
97,dok15.txt,WA
98,dok86.txt,WA
99,dok142.txt,WA
100,dok71.txt,WA
