rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok385.txt,WA,0.0,0.0
3,dok331.txt,WA,0.0,0.0
4,dok24.txt,WA,0.0,0.0
5,dok95.txt,WA,0.0,0.0
6,dok189.txt,WA,0.0,0.0
7,dok319.txt,WA,0.0,0.0
8,dok394.txt,WA,0.0,0.0
9,dok142.txt,AC,0.1111111111111111,0.3333333333333333
10,dok71.txt,AC,0.2,0.6666666666666666
11,dok113.txt,WA,0.18181818181818182,0.6666666666666666
12,dok42.txt,WA,0.16666666666666666,0.6666666666666666
13,dok111.txt,WA,0.15384615384615385,0.6666666666666666
14,dok40.txt,WA,0.14285714285714285,0.6666666666666666
15,dok365.txt,WA,0.13333333333333333,0.6666666666666666
16,dok157.txt,WA,0.125,0.6666666666666666
17,dok368.txt,WA,0.11764705882352941,0.6666666666666666
18,dok343.txt,AC,0.16666666666666666,1.0
19,dok6.txt,WA,0.15789473684210525,1.0
20,dok77.txt,WA,0.15,1.0
21,dok261.txt,WA,0.14285714285714285,1.0
22,dok230.txt,WA,0.13636363636363635,1.0
23,dok11.txt,WA,0.13043478260869565,1.0
24,dok82.txt,WA,0.125,1.0
25,dok269.txt,WA,0.12,1.0
26,dok115.txt,WA,0.11538461538461539,1.0
27,dok44.txt,WA,0.1111111111111111,1.0
28,dok275.txt,WA,0.10714285714285714,1.0
29,dok397.txt,WA,0.10344827586206896,1.0
30,dok353.txt,WA,0.1,1.0
31,dok149.txt,WA,0.0967741935483871,1.0
32,dok392.txt,WA,0.09375,1.0
33,dok159.txt,WA,0.09090909090909091,1.0
34,dok188.txt,WA,0.08823529411764706,1.0
35,dok280.txt,WA,0.08571428571428572,1.0
36,dok243.txt,WA,0.08333333333333333,1.0
37,dok162.txt,WA,0.08108108108108109,1.0
38,dok203.txt,WA,0.07894736842105263,1.0
39,dok183.txt,WA,0.07692307692307693,1.0
40,dok240.txt,WA,0.075,1.0
41,dok347.txt,WA,0.07317073170731707,1.0
42,dok193.txt,WA,0.07142857142857142,1.0
43,dok181.txt,WA,0.06976744186046512,1.0
44,dok337.txt,WA,0.06818181818181818,1.0
45,dok266.txt,WA,0.06666666666666667,1.0
46,dok16.txt,WA,0.06521739130434782,1.0
47,dok87.txt,WA,0.06382978723404255,1.0
48,dok272.txt,WA,0.0625,1.0
49,dok180.txt,WA,0.061224489795918366,1.0
average precision,0.09084159378616576
