rank,document,verdict
1,dok307.txt,AC
2,dok367.txt,AC
3,dok143.txt,AC
4,dok158.txt,AC
5,dok286.txt,AC
6,dok381.txt,WA
7,dok370.txt,WA
8,dok161.txt,AC
9,dok164.txt,WA
10,dok287.txt,WA
11,dok288.txt,AC
12,dok283.txt,AC
13,dok242.txt,WA
14,dok357.txt,WA
15,dok373.txt,WA
16,dok399.txt,WA
17,dok349.txt,WA
18,dok212.txt,WA
19,dok170.txt,WA
20,dok240.txt,WA
21,dok282.txt,WA
22,dok226.txt,WA
23,dok320.txt,WA
24,dok321.txt,WA
25,dok234.txt,WA
26,dok114.txt,WA
27,dok43.txt,WA
28,dok224.txt,WA
29,dok132.txt,WA
30,dok154.txt,WA
31,dok61.txt,WA
32,dok350.txt,WA
33,dok295.txt,WA
34,dok344.txt,WA
35,dok175.txt,WA
36,dok220.txt,WA
37,dok223.txt,WA
38,dok262.txt,WA
39,dok278.txt,WA
40,dok324.txt,WA
41,dok342.txt,WA
42,dok236.txt,WA
43,dok199.txt,WA
44,dok238.txt,WA
45,dok241.txt,WA
46,dok311.txt,WA
47,dok100.txt,WA
48,dok29.txt,WA
49,dok333.txt,WA
50,dok384.txt,WA
