urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,presiden ri,WA
2,Siapa presiden pada masa orde baru?,manipulatif,WA
3,Siapa presiden pada masa orde baru?,masyarakat,WA
4,Siapa presiden pada masa orde baru?,masyarakat,WA
5,Siapa presiden pada masa orde baru?,masyarakat,WA
6,Siapa presiden pada masa orde baru?,masyarakat,WA
7,Siapa presiden pada masa orde baru?,NO ANSWER,WA
8,Siapa presiden pada masa orde baru?,NO ANSWER,WA
9,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
10,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
11,Dimana konferensi asia afrika diselenggarakan?,jenewa,WA
12,Dimana konferensi asia afrika diselenggarakan?,dunia,WA
13,Dimana konferensi asia afrika diselenggarakan?,dunia,WA
14,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
15,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
16,Dimana konferensi asia afrika diselenggarakan?,asia,WA
17,Siapa presiden pertama Indonesia?,presiden pm,WA
18,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,WA
19,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,WA
20,Siapa presiden pertama Indonesia?,6.00 pagi belanda,WA
21,Siapa presiden pertama Indonesia?,6.00 pagi belanda,WA
22,Siapa presiden pertama Indonesia?,belanda bangsa indonesia,WA
23,Siapa presiden pertama Indonesia?,rakyat indonesia,WA
24,Siapa presiden pertama Indonesia?,indonesia,WA
25,Kapan diponegoro wafat?,tanggal 12 rabiul awal 822,WA
26,Kapan diponegoro wafat?,tahun 1560,WA
27,Kapan diponegoro wafat?,pertengahan abad 15,WA
28,Kapan diponegoro wafat?,tahun 1600,WA
29,Kapan diponegoro wafat?,9 april 1419,WA
30,Kapan diponegoro wafat?,NO ANSWER,WA
31,Kapan diponegoro wafat?,NO ANSWER,WA
32,Kapan diponegoro wafat?,NO ANSWER,WA
33,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
34,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
35,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
36,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
37,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
38,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
39,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
40,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
41,Kapan Budi Utomo didirikan?,tahun 1932,WA
42,Kapan Budi Utomo didirikan?,tanggal 7 maret 1915,WA
43,Kapan Budi Utomo didirikan?,tahun 1920,WA
44,Kapan Budi Utomo didirikan?,tahun 1913,WA
45,Kapan Budi Utomo didirikan?,tahun 1916,WA
46,Kapan Budi Utomo didirikan?,tahun 1911,WA
47,Kapan Budi Utomo didirikan?,tahun 1911,WA
48,Kapan Budi Utomo didirikan?,tahun 1917,WA
49,Siapa pendiri Taman Siswa?,kaum pribumi,WA
50,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
51,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
52,Siapa pendiri Taman Siswa?,wanito susilo,WA
53,Siapa pendiri Taman Siswa?,wanito susilo,WA
54,Siapa pendiri Taman Siswa?,wanito utomo,WA
55,Siapa pendiri Taman Siswa?,wanito utomo,WA
56,Siapa pendiri Taman Siswa?,wanito katolik,WA
57,Dimana letak kerajaan sriwijaya?,palembang,AC
58,Dimana letak kerajaan sriwijaya?,daerah,WA
59,Dimana letak kerajaan sriwijaya?,provinsi sumatera,AC
60,Dimana letak kerajaan sriwijaya?,india,WA
61,Dimana letak kerajaan sriwijaya?,daerah,WA
62,Dimana letak kerajaan sriwijaya?,indonesia,WA
63,Dimana letak kerajaan sriwijaya?,kadaram,WA
64,Dimana letak kerajaan sriwijaya?,india,WA
65,Kapan taman siswa didirikan?,tahun 1294,WA
66,Kapan taman siswa didirikan?,1922,AC
67,Kapan taman siswa didirikan?,1922,AC
68,Kapan taman siswa didirikan?,1922,AC
69,Kapan taman siswa didirikan?,1922,AC
70,Kapan taman siswa didirikan?,1919,WA
71,Kapan taman siswa didirikan?,1915,WA
72,Kapan taman siswa didirikan?,1919,WA
73,dimana budi utomo didirikan?,batavia,AC
74,dimana budi utomo didirikan?,batavia,AC
75,dimana budi utomo didirikan?,batavia,AC
76,dimana budi utomo didirikan?,batavia,AC
77,dimana budi utomo didirikan?,yogyakarta,WA
78,dimana budi utomo didirikan?,batavia,AC
79,dimana budi utomo didirikan?,batavia,AC
80,dimana budi utomo didirikan?,batavia,AC
81,dimana taman siswa didirikan?,yogyakarta,AC
82,dimana taman siswa didirikan?,yogyakarta,AC
83,dimana taman siswa didirikan?,medan,WA
84,dimana taman siswa didirikan?,yogyakarta,AC
85,dimana taman siswa didirikan?,yogyakarta,AC
86,dimana taman siswa didirikan?,medan,WA
87,dimana taman siswa didirikan?,negeri belanda,WA
88,dimana taman siswa didirikan?,yogyakarta,AC
89,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
90,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
91,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
92,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
93,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
94,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
95,kapan konferensi asia afrika diselenggarakan?,tanggal 28 29 desember 1954,WA
96,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
97,kapan hayam wuruk wafat?,1350 1389,AC
98,kapan hayam wuruk wafat?,tahun 1389,AC
99,kapan hayam wuruk wafat?,1350 1389,AC
100,kapan hayam wuruk wafat?,tahun 1389,AC
101,kapan hayam wuruk wafat?,1350 1389,AC
102,kapan hayam wuruk wafat?,tahun 1350,WA
103,kapan hayam wuruk wafat?,tahun 1389,AC
104,kapan hayam wuruk wafat?,1350 1389,AC
105,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
106,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
107,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,WA
108,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,WA
109,siapa wali songo yang menggunakan media pertunjukan wayang?,masyarakat,WA
110,siapa wali songo yang menggunakan media pertunjukan wayang?,masyarakat,WA
111,siapa wali songo yang menggunakan media pertunjukan wayang?,masyarakat luas,WA
112,siapa wali songo yang menggunakan media pertunjukan wayang?,masyarakat luas,WA
113,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
114,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
115,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
116,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
117,siapa pemimpin kerajaan tidore?,rakyat indonesia,WA
118,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
119,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
120,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
121,kapan belanda datang ke maluku?,NO ANSWER,WA
122,kapan belanda datang ke maluku?,NO ANSWER,WA
123,kapan belanda datang ke maluku?,NO ANSWER,WA
124,kapan belanda datang ke maluku?,NO ANSWER,WA
125,kapan belanda datang ke maluku?,NO ANSWER,WA
126,kapan belanda datang ke maluku?,NO ANSWER,WA
127,kapan belanda datang ke maluku?,NO ANSWER,WA
128,kapan belanda datang ke maluku?,NO ANSWER,WA
129,kapan portugis datang ke maluku?,1521,WA
130,kapan portugis datang ke maluku?,1521,WA
131,kapan portugis datang ke maluku?,1498,WA
132,kapan portugis datang ke maluku?,1498,WA
133,kapan portugis datang ke maluku?,NO ANSWER,WA
134,kapan portugis datang ke maluku?,NO ANSWER,WA
135,kapan portugis datang ke maluku?,NO ANSWER,WA
136,kapan portugis datang ke maluku?,NO ANSWER,WA
137,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
138,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
139,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
140,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
141,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
142,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
143,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
144,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
145,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
146,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
147,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,WA
148,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,WA
149,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
150,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
151,kapan perjanjian bongaya ditandatangani?,1667 1669,WA
152,kapan perjanjian bongaya ditandatangani?,1667 1669,WA
153,siapa penulis kitab negara kertagama?,masyarakat,WA
154,siapa penulis kitab negara kertagama?,masyarakat,WA
155,siapa penulis kitab negara kertagama?,NO ANSWER,WA
156,siapa penulis kitab negara kertagama?,NO ANSWER,WA
157,siapa penulis kitab negara kertagama?,NO ANSWER,WA
158,siapa penulis kitab negara kertagama?,NO ANSWER,WA
159,siapa penulis kitab negara kertagama?,NO ANSWER,WA
160,siapa penulis kitab negara kertagama?,NO ANSWER,WA
161,kapan voc didirikan?,NO ANSWER,WA
162,kapan voc didirikan?,NO ANSWER,WA
163,kapan voc didirikan?,NO ANSWER,WA
164,kapan voc didirikan?,NO ANSWER,WA
165,kapan voc didirikan?,NO ANSWER,WA
166,kapan voc didirikan?,NO ANSWER,WA
167,kapan voc didirikan?,NO ANSWER,WA
168,kapan voc didirikan?,NO ANSWER,WA
169,kapan voc dibubarkan?,masa paku buwono,WA
170,kapan voc dibubarkan?,1670,WA
171,kapan voc dibubarkan?,NO ANSWER,WA
172,kapan voc dibubarkan?,NO ANSWER,WA
173,kapan voc dibubarkan?,NO ANSWER,WA
174,kapan voc dibubarkan?,NO ANSWER,WA
175,kapan voc dibubarkan?,NO ANSWER,WA
176,kapan voc dibubarkan?,NO ANSWER,WA
177,siapa multatuli?,NO ANSWER,WA
178,siapa multatuli?,NO ANSWER,WA
179,siapa multatuli?,NO ANSWER,WA
180,siapa multatuli?,NO ANSWER,WA
181,siapa multatuli?,NO ANSWER,WA
182,siapa multatuli?,NO ANSWER,WA
183,siapa multatuli?,NO ANSWER,WA
184,siapa multatuli?,NO ANSWER,WA
185,dimana pattimura dilahirkan?,NO ANSWER,WA
186,dimana pattimura dilahirkan?,NO ANSWER,WA
187,dimana pattimura dilahirkan?,NO ANSWER,WA
188,dimana pattimura dilahirkan?,NO ANSWER,WA
189,dimana pattimura dilahirkan?,NO ANSWER,WA
190,dimana pattimura dilahirkan?,NO ANSWER,WA
191,dimana pattimura dilahirkan?,NO ANSWER,WA
192,dimana pattimura dilahirkan?,NO ANSWER,WA
193,kapan pangeran antasari wafat?,11 oktober 1862,AC
194,kapan pangeran antasari wafat?,11 oktober 1862,AC
195,kapan pangeran antasari wafat?,11 oktober 1862,AC
196,kapan pangeran antasari wafat?,11 oktober 1862,AC
197,kapan pangeran antasari wafat?,1645 1660,WA
198,kapan pangeran antasari wafat?,1645 1660,WA
199,kapan pangeran antasari wafat?,NO ANSWER,WA
200,kapan pangeran antasari wafat?,NO ANSWER,WA
201,dimana pangeran antasari wafat?,kampung,WA
202,dimana pangeran antasari wafat?,kampung,WA
203,dimana pangeran antasari wafat?,jawa,WA
204,dimana pangeran antasari wafat?,jawa,WA
205,dimana pangeran antasari wafat?,martapura,WA
206,dimana pangeran antasari wafat?,martapura,WA
207,dimana pangeran antasari wafat?,kampung,WA
208,dimana pangeran antasari wafat?,kampung,WA
209,kapan ekspedisi pertama belanda di bali terjadi?,1846,AC
210,kapan ekspedisi pertama belanda di bali terjadi?,1846,AC
211,kapan ekspedisi pertama belanda di bali terjadi?,masa kabineg natsir tahun 1950,WA
212,kapan ekspedisi pertama belanda di bali terjadi?,masa kabineg natsir tahun 1950,WA
213,kapan ekspedisi pertama belanda di bali terjadi?,masa kabineg natsir tahun 1950,WA
214,kapan ekspedisi pertama belanda di bali terjadi?,1846,AC
215,kapan ekspedisi pertama belanda di bali terjadi?,1848,WA
216,kapan ekspedisi pertama belanda di bali terjadi?,1849,WA
217,kapan perlawanan di aceh terjadi?,tanggal 19 september 1945,WA
218,kapan perlawanan di aceh terjadi?,tahun 1879,AC
219,kapan perlawanan di aceh terjadi?,tahun 1879,AC
220,kapan perlawanan di aceh terjadi?,NO ANSWER,WA
221,kapan perlawanan di aceh terjadi?,NO ANSWER,WA
222,kapan perlawanan di aceh terjadi?,NO ANSWER,WA
223,kapan perlawanan di aceh terjadi?,NO ANSWER,WA
224,kapan perlawanan di aceh terjadi?,NO ANSWER,WA
225,siapa pendiri budi utomo?,utomo,WA
226,siapa pendiri budi utomo?,parindra partindo,WA
227,siapa pendiri budi utomo?,parindra partindo,WA
228,siapa pendiri budi utomo?,mahasiswa,AC
229,siapa pendiri budi utomo?,indische partij,WA
230,siapa pendiri budi utomo?,indische partij,WA
231,siapa pendiri budi utomo?,organisasi pemuda,AC
232,siapa pendiri budi utomo?,indische partij muhammadiyah,WA
233,kapan sarekat islam didirikan?,tahun 1926,WA
234,kapan sarekat islam didirikan?,tahun 1911,AC
235,kapan sarekat islam didirikan?,tahun 1911,AC
236,kapan sarekat islam didirikan?,tahun 1911,AC
237,kapan sarekat islam didirikan?,tahun 1911,AC
238,kapan sarekat islam didirikan?,tahun 1911,AC
239,kapan sarekat islam didirikan?,tahun 1911,AC
240,kapan sarekat islam didirikan?,NO ANSWER,WA
241,siapa pendiri sarekat islam?,indische partij,WA
242,siapa pendiri sarekat islam?,indische partij,WA
243,siapa pendiri sarekat islam?,indische partij muhammadiyah,WA
244,siapa pendiri sarekat islam?,indische partij muhammadiyah,WA
245,siapa pendiri sarekat islam?,indische partij,WA
246,siapa pendiri sarekat islam?,indische partij,WA
247,siapa pendiri sarekat islam?,parindra partindo,WA
248,siapa pendiri sarekat islam?,indische partij muhammadiyah,WA
249,kapan indische partij didirikan?,tanggal 23 mei 1920,WA
250,kapan indische partij didirikan?,tanggal 22 desember 1908,WA
251,kapan indische partij didirikan?,tanggal 22 desember 1908,WA
252,kapan indische partij didirikan?,tanggal 4 mei 1914,WA
253,kapan indische partij didirikan?,tanggal 4 mei 1914,WA
254,kapan indische partij didirikan?,NO ANSWER,WA
255,kapan indische partij didirikan?,NO ANSWER,WA
256,kapan indische partij didirikan?,NO ANSWER,WA
257,dimana muhammadiyah didirikan?,yogyakarta,AC
258,dimana muhammadiyah didirikan?,yogyakarta,AC
259,dimana muhammadiyah didirikan?,jakarta,WA
260,dimana muhammadiyah didirikan?,bandung,WA
261,dimana muhammadiyah didirikan?,yogyakarta,AC
262,dimana muhammadiyah didirikan?,sumedang cianjur,WA
263,dimana muhammadiyah didirikan?,pulau jawa,WA
264,dimana muhammadiyah didirikan?,pulau jawa,WA
265,kapan muhammadiyah didirikan?,tanggal 1 januari 1925,WA
266,kapan muhammadiyah didirikan?,tanggal 31 januari 1926,WA
267,kapan muhammadiyah didirikan?,tahun 1932,WA
268,kapan muhammadiyah didirikan?,tahun 1920,WA
269,kapan muhammadiyah didirikan?,tahun 1913,WA
270,kapan muhammadiyah didirikan?,tanggal 12 17 maret 1925,WA
271,kapan muhammadiyah didirikan?,tanggal 12 17 maret 1925,WA
272,kapan muhammadiyah didirikan?,1912,AC
273,kapan partai komunis indonesia berdiri?,tanggal 23 mei 1920,WA
274,kapan partai komunis indonesia berdiri?,tanggal 23 mei 1920,WA
275,kapan partai komunis indonesia berdiri?,tahun 1926,WA
276,kapan partai komunis indonesia berdiri?,tahun 1926,WA
277,kapan partai komunis indonesia berdiri?,tahun 1956,WA
278,kapan partai komunis indonesia berdiri?,tanggal 1 juni 1949,WA
279,kapan partai komunis indonesia berdiri?,tahun 1926,WA
280,kapan partai komunis indonesia berdiri?,tahun 1956,WA
281,siapa yang membawa ajaran marxis?,belanda,WA
282,siapa yang membawa ajaran marxis?,belanda,WA
283,siapa yang membawa ajaran marxis?,belanda,WA
284,siapa yang membawa ajaran marxis?,belanda,WA
285,siapa yang membawa ajaran marxis?,NO ANSWER,WA
286,siapa yang membawa ajaran marxis?,NO ANSWER,WA
287,siapa yang membawa ajaran marxis?,NO ANSWER,WA
288,siapa yang membawa ajaran marxis?,NO ANSWER,WA
289,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tahun 1925,WA
290,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 15 juli 1936,WA
291,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tahun 1926,WA
292,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tahun 1926,WA
293,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 4 juli 1927,WA
294,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 4 juli 1927,WA
295,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 23 mei 1920,WA
296,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 23 mei 1920,WA
297,kapan sumpah pemuda terjadi?,tahun 1321,WA
298,kapan sumpah pemuda terjadi?,tahun 1331,WA
299,kapan sumpah pemuda terjadi?,NO ANSWER,WA
300,kapan sumpah pemuda terjadi?,NO ANSWER,WA
301,kapan sumpah pemuda terjadi?,NO ANSWER,WA
302,kapan sumpah pemuda terjadi?,NO ANSWER,WA
303,kapan sumpah pemuda terjadi?,NO ANSWER,WA
304,kapan sumpah pemuda terjadi?,NO ANSWER,WA
305,kapan partai nasional indonesia lahir?,1945,WA
306,kapan partai nasional indonesia lahir?,tanggal 4 juli 1927,AC
307,kapan partai nasional indonesia lahir?,uud 1945,WA
308,kapan partai nasional indonesia lahir?,tanggal 4 juli 1927,AC
309,kapan partai nasional indonesia lahir?,tanggal 27 30 mei 1928,WA
310,kapan partai nasional indonesia lahir?,tanggal 27 30 mei 1928,WA
311,kapan partai nasional indonesia lahir?,tanggal 29 agustus 1945,WA
312,kapan partai nasional indonesia lahir?,tanggal 29 agustus 1945,WA
313,kapan sistem tanam paksa diterapkan?,66 hari,WA
314,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
315,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
316,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
317,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
318,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
319,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
320,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
321,kapan sidang kabinet dwikora diadakan?,tanggal 20 nopember 1956,WA
322,kapan sidang kabinet dwikora diadakan?,29 mei,WA
323,kapan sidang kabinet dwikora diadakan?,1 juni 1945,WA
324,kapan sidang kabinet dwikora diadakan?,masa orde,WA
325,kapan sidang kabinet dwikora diadakan?,uud 1945,WA
326,kapan sidang kabinet dwikora diadakan?,tanggal 11 maret 1966,AC
327,kapan sidang kabinet dwikora diadakan?,tanggal 11 maret 1966,AC
328,kapan sidang kabinet dwikora diadakan?,tanggal 11 maret 1966,AC
329,kapan supersemar dikeluarkan?,tanggal 11 maret 1966,AC
330,kapan supersemar dikeluarkan?,tanggal 11 maret 1966,AC
331,kapan supersemar dikeluarkan?,11 maret 1966,AC
332,kapan supersemar dikeluarkan?,11 maret 1966,AC
333,kapan supersemar dikeluarkan?,11 maret 1966,AC
334,kapan supersemar dikeluarkan?,uud 1945,WA
335,kapan supersemar dikeluarkan?,5 tanggal 18 maret 1966,WA
336,kapan supersemar dikeluarkan?,uud 1945,WA
337,siapa pemimpin APRA?,partai masyumi,WA
338,siapa pemimpin APRA?,partai masyumi,WA
339,siapa pemimpin APRA?,muhammad natsir,WA
340,siapa pemimpin APRA?,sukiman wiryosanjoyo,WA
341,siapa pemimpin APRA?,mr wilopo,WA
342,siapa pemimpin APRA?,dr,WA
343,siapa pemimpin APRA?,perdana menteri,WA
344,siapa pemimpin APRA?,presiden,WA
345,siapa pemimpin RMS?,laksamana mountbatten,WA
346,siapa pemimpin RMS?,laksamana mountbatten,WA
347,siapa pemimpin RMS?,perdana menteri syahrir,WA
348,siapa pemimpin RMS?,perdana menteri syahrir,WA
349,siapa pemimpin RMS?,kawan kawan tan malaka,WA
350,siapa pemimpin RMS?,dr,WA
351,siapa pemimpin RMS?,kolonel kawilarang,WA
352,siapa pemimpin RMS?,mayor achmad wiranata,WA
353,kapan gerakan non blok diselenggarakan?,1961,AC
354,kapan gerakan non blok diselenggarakan?,tanggal 1 6 september 1961,AC
355,kapan gerakan non blok diselenggarakan?,tanggal 5 10 oktober 1964,AC
356,kapan gerakan non blok diselenggarakan?,tanggal 5 10 oktober 1964,AC
357,kapan gerakan non blok diselenggarakan?,1961,AC
358,kapan gerakan non blok diselenggarakan?,tahun 1961,AC
359,kapan gerakan non blok diselenggarakan?,tanggal 1 6 september 1961,AC
360,kapan gerakan non blok diselenggarakan?,tanggal 5 10 oktober 1964,AC
361,kapan rengasdengklok terjadi?,tanggal 16 agustus 1945 pukul 04.30,AC
362,kapan rengasdengklok terjadi?,tanggal 14 agustus 1945,WA
363,kapan rengasdengklok terjadi?,1945,AC
364,kapan rengasdengklok terjadi?,tanggal 22 juni 1945,WA
365,kapan rengasdengklok terjadi?,22 agustus 1945,WA
366,kapan rengasdengklok terjadi?,NO ANSWER,WA
367,kapan rengasdengklok terjadi?,NO ANSWER,WA
368,kapan rengasdengklok terjadi?,NO ANSWER,WA
369,kapan seinendan didirikan?,tanggal 29 april 1943,AC
370,kapan seinendan didirikan?,tanggal 29 april 1943,AC
371,kapan seinendan didirikan?,tanggal 29 april 1943,AC
372,kapan seinendan didirikan?,tanggal 29 april 1943,AC
373,kapan seinendan didirikan?,tanggal 29 april 1943,AC
374,kapan seinendan didirikan?,tanggal 29 april 1943,AC
375,kapan seinendan didirikan?,tanggal 29 april 1943,AC
376,kapan seinendan didirikan?,tanggal 29 april 1943,AC
