rank,document,verdict
1,dok356.txt,AC
2,dok115.txt,AC
3,dok44.txt,AC
4,dok390.txt,AC
5,dok20.txt,AC
6,dok91.txt,AC
7,dok263.txt,AC
8,dok17.txt,AC
9,dok88.txt,AC
10,dok165.txt,AC
11,dok388.txt,WA
12,dok157.txt,AC
13,dok16.txt,AC
14,dok266.txt,AC
15,dok87.txt,AC
16,dok258.txt,WA
17,dok159.txt,WA
18,dok355.txt,WA
19,dok102.txt,WA
20,dok31.txt,WA
21,dok304.txt,WA
22,dok26.txt,WA
23,dok97.txt,WA
24,dok79.txt,WA
25,dok8.txt,WA
26,dok332.txt,WA
27,dok261.txt,WA
28,dok14.txt,WA
29,dok167.txt,WA
30,dok316.txt,WA
31,dok85.txt,WA
32,dok25.txt,AC
33,dok96.txt,AC
34,dok27.txt,WA
35,dok98.txt,WA
36,dok19.txt,WA
37,dok90.txt,WA
38,dok385.txt,WA
39,dok325.txt,WA
40,dok268.txt,WA
41,dok265.txt,AC
42,dok322.txt,AC
43,dok380.txt,WA
44,dok371.txt,AC
45,dok302.txt,AC
46,dok384.txt,WA
47,dok392.txt,WA
48,dok162.txt,WA
49,dok23.txt,WA
50,dok94.txt,WA
51,dok333.txt,WA
52,dok12.txt,WA
53,dok83.txt,WA
54,dok21.txt,WA
55,dok92.txt,WA
56,dok387.txt,AC
57,dok397.txt,WA
58,dok166.txt,WA
59,dok391.txt,WA
60,dok18.txt,WA
61,dok89.txt,WA
62,dok119.txt,WA
63,dok48.txt,WA
64,dok383.txt,WA
65,dok80.txt,WA
66,dok9.txt,WA
67,dok22.txt,WA
68,dok93.txt,WA
69,dok113.txt,WA
70,dok42.txt,WA
71,dok381.txt,WA
72,dok341.txt,WA
73,dok331.txt,WA
74,dok10.txt,WA
75,dok81.txt,WA
76,dok120.txt,WA
77,dok49.txt,WA
78,dok328.txt,WA
79,dok290.txt,WA
80,dok121.txt,WA
81,dok50.txt,WA
82,dok368.txt,WA
83,dok7.txt,WA
84,dok78.txt,WA
85,dok267.txt,WA
86,dok308.txt,WA
87,dok11.txt,WA
88,dok82.txt,WA
89,dok219.txt,WA
90,dok6.txt,WA
91,dok77.txt,WA
92,dok224.txt,WA
93,dok376.txt,WA
94,dok2.txt,WA
95,dok73.txt,WA
96,dok330.txt,WA
97,dok214.txt,WA
98,dok13.txt,WA
99,dok84.txt,WA
100,dok173.txt,WA
