rank,document,verdict
1,dok107.txt,WA
2,dok36.txt,WA
3,dok161.txt,WA
4,dok360.txt,WA
5,dok378.txt,WA
6,dok307.txt,WA
7,dok181.txt,WA
8,dok288.txt,WA
9,dok187.txt,WA
10,dok337.txt,WA
11,dok233.txt,WA
12,dok370.txt,WA
13,dok143.txt,WA
14,dok197.txt,WA
15,dok283.txt,WA
16,dok389.txt,WA
17,dok158.txt,WA
18,dok286.txt,WA
19,dok350.txt,WA
20,dok108.txt,WA
21,dok37.txt,WA
22,dok335.txt,WA
23,dok125.txt,AC
24,dok54.txt,WA
25,dok217.txt,WA
26,dok104.txt,WA
27,dok33.txt,WA
28,dok359.txt,WA
29,dok172.txt,WA
30,dok12.txt,WA
31,dok83.txt,WA
32,dok206.txt,AC
33,dok367.txt,WA
34,dok282.txt,WA
35,dok116.txt,WA
36,dok45.txt,WA
37,dok186.txt,AC
38,dok136.txt,WA
39,dok65.txt,WA
40,dok393.txt,WA
41,dok123.txt,WA
42,dok52.txt,WA
43,dok376.txt,WA
44,dok373.txt,WA
45,dok147.txt,WA
46,dok153.txt,WA
47,dok289.txt,WA
48,dok381.txt,WA
49,dok364.txt,WA
50,dok270.txt,WA
51,dok134.txt,WA
52,dok63.txt,WA
53,dok268.txt,WA
54,dok353.txt,WA
55,dok219.txt,WA
56,dok333.txt,WA
57,dok102.txt,WA
58,dok31.txt,WA
59,dok139.txt,WA
60,dok68.txt,WA
61,dok325.txt,WA
62,dok382.txt,WA
63,dok151.txt,WA
64,dok310.txt,WA
65,dok164.txt,WA
66,dok287.txt,WA
67,dok103.txt,WA
68,dok32.txt,WA
69,dok210.txt,WA
70,dok388.txt,WA
71,dok138.txt,WA
72,dok67.txt,WA
73,dok27.txt,WA
74,dok98.txt,WA
75,dok166.txt,WA
76,dok222.txt,WA
77,dok117.txt,AC
78,dok46.txt,WA
79,dok394.txt,WA
80,dok400.txt,WA
81,dok339.txt,WA
82,dok178.txt,WA
83,dok148.txt,WA
84,dok285.txt,WA
85,dok155.txt,AC
86,dok245.txt,WA
87,dok213.txt,WA
88,dok28.txt,WA
89,dok99.txt,WA
90,dok129.txt,WA
91,dok58.txt,WA
92,dok20.txt,WA
93,dok91.txt,WA
94,dok312.txt,WA
95,dok281.txt,WA
96,dok4.txt,WA
97,dok75.txt,WA
98,dok240.txt,WA
99,dok215.txt,WA
100,dok224.txt,WA
