rank,document,verdict,Precision,Recall
1,dok284.txt,WA,0.0,0.0
2,dok144.txt,WA,0.0,0.0
3,dok277.txt,WA,0.0,0.0
4,dok245.txt,WA,0.0,0.0
5,dok386.txt,WA,0.0,0.0
6,dok312.txt,WA,0.0,0.0
7,dok164.txt,WA,0.0,0.0
8,dok287.txt,WA,0.0,0.0
9,dok389.txt,WA,0.0,0.0
10,dok367.txt,AC,0.1,0.125
11,dok24.txt,WA,0.09090909090909091,0.125
12,dok95.txt,WA,0.08333333333333333,0.125
13,dok146.txt,WA,0.07692307692307693,0.125
14,dok193.txt,WA,0.07142857142857142,0.125
15,dok148.txt,WA,0.06666666666666667,0.125
16,dok285.txt,WA,0.0625,0.125
17,dok370.txt,WA,0.058823529411764705,0.125
18,dok307.txt,AC,0.1111111111111111,0.25
19,dok359.txt,WA,0.10526315789473684,0.25
20,dok360.txt,WA,0.1,0.25
21,dok350.txt,WA,0.09523809523809523,0.25
22,dok187.txt,WA,0.09090909090909091,0.25
23,dok282.txt,WA,0.08695652173913043,0.25
24,dok226.txt,WA,0.08333333333333333,0.25
25,dok320.txt,WA,0.08,0.25
26,dok321.txt,WA,0.07692307692307693,0.25
27,dok375.txt,WA,0.07407407407407407,0.25
28,dok143.txt,AC,0.10714285714285714,0.375
29,dok306.txt,WA,0.10344827586206896,0.375
30,dok295.txt,WA,0.1,0.375
31,dok158.txt,AC,0.12903225806451613,0.5
32,dok286.txt,AC,0.15625,0.625
33,dok381.txt,WA,0.15151515151515152,0.625
34,dok197.txt,WA,0.14705882352941177,0.625
35,dok161.txt,AC,0.17142857142857143,0.75
36,dok172.txt,WA,0.16666666666666666,0.75
37,dok379.txt,WA,0.16216216216216217,0.75
38,dok378.txt,WA,0.15789473684210525,0.75
39,dok242.txt,WA,0.15384615384615385,0.75
40,dok357.txt,WA,0.15,0.75
41,dok390.txt,WA,0.14634146341463414,0.75
42,dok20.txt,WA,0.14285714285714285,0.75
43,dok91.txt,WA,0.13953488372093023,0.75
44,dok222.txt,WA,0.13636363636363635,0.75
45,dok298.txt,WA,0.13333333333333333,0.75
46,dok377.txt,WA,0.13043478260869565,0.75
47,dok253.txt,WA,0.1276595744680851,0.75
48,dok383.txt,WA,0.125,0.75
49,dok399.txt,WA,0.12244897959183673,0.75
50,dok205.txt,WA,0.12,0.75
51,dok288.txt,AC,0.13725490196078433,0.875
52,dok156.txt,WA,0.1346153846153846,0.875
53,dok387.txt,WA,0.1320754716981132,0.875
54,dok259.txt,WA,0.12962962962962962,0.875
55,dok314.txt,WA,0.12727272727272726,0.875
56,dok220.txt,WA,0.125,0.875
57,dok202.txt,WA,0.12280701754385964,0.875
58,dok265.txt,WA,0.1206896551724138,0.875
59,dok322.txt,WA,0.11864406779661017,0.875
60,dok283.txt,AC,0.13333333333333333,1.0
61,dok340.txt,WA,0.13114754098360656,1.0
62,dok274.txt,WA,0.12903225806451613,1.0
63,dok233.txt,WA,0.12698412698412698,1.0
64,dok353.txt,WA,0.125,1.0
65,dok203.txt,WA,0.12307692307692308,1.0
66,dok149.txt,WA,0.12121212121212122,1.0
67,dok23.txt,WA,0.11940298507462686,1.0
68,dok94.txt,WA,0.11764705882352941,1.0
69,dok347.txt,WA,0.11594202898550725,1.0
70,dok376.txt,WA,0.11428571428571428,1.0
71,dok302.txt,WA,0.11267605633802817,1.0
72,dok113.txt,WA,0.1111111111111111,1.0
73,dok42.txt,WA,0.1095890410958904,1.0
74,dok22.txt,WA,0.10810810810810811,1.0
75,dok93.txt,WA,0.10666666666666667,1.0
76,dok184.txt,WA,0.10526315789473684,1.0
77,dok183.txt,WA,0.1038961038961039,1.0
78,dok339.txt,WA,0.10256410256410256,1.0
79,dok188.txt,WA,0.10126582278481013,1.0
80,dok196.txt,WA,0.1,1.0
81,dok373.txt,WA,0.09876543209876543,1.0
82,dok192.txt,WA,0.0975609756097561,1.0
83,dok116.txt,WA,0.0963855421686747,1.0
84,dok45.txt,WA,0.09523809523809523,1.0
85,dok27.txt,WA,0.09411764705882353,1.0
86,dok368.txt,WA,0.09302325581395349,1.0
87,dok98.txt,WA,0.09195402298850575,1.0
88,dok189.txt,WA,0.09090909090909091,1.0
89,dok319.txt,WA,0.0898876404494382,1.0
90,dok210.txt,WA,0.08888888888888889,1.0
91,dok110.txt,WA,0.08791208791208792,1.0
92,dok351.txt,WA,0.08695652173913043,1.0
93,dok39.txt,WA,0.08602150537634409,1.0
94,dok111.txt,WA,0.0851063829787234,1.0
95,dok40.txt,WA,0.08421052631578947,1.0
96,dok393.txt,WA,0.08333333333333333,1.0
97,dok211.txt,WA,0.08247422680412371,1.0
98,dok354.txt,WA,0.08163265306122448,1.0
99,dok237.txt,WA,0.08080808080808081,1.0
100,dok195.txt,WA,0.08,1.0
average precision,0.10036191209839025
