rank,document,verdict
1,dok353.txt,WA
2,dok132.txt,WA
3,dok61.txt,WA
4,dok386.txt,WA
5,dok11.txt,WA
6,dok82.txt,WA
7,dok18.txt,WA
8,dok89.txt,WA
9,dok129.txt,WA
10,dok58.txt,WA
11,dok7.txt,WA
12,dok78.txt,WA
13,dok270.txt,WA
14,dok133.txt,WA
15,dok62.txt,WA
16,dok136.txt,AC
17,dok65.txt,AC
18,dok6.txt,WA
19,dok77.txt,WA
20,dok28.txt,AC
21,dok99.txt,AC
22,dok359.txt,WA
23,dok10.txt,WA
24,dok81.txt,WA
25,dok159.txt,WA
26,dok343.txt,WA
27,dok165.txt,WA
28,dok17.txt,WA
29,dok88.txt,WA
30,dok115.txt,WA
31,dok44.txt,WA
32,dok111.txt,WA
33,dok40.txt,WA
34,dok187.txt,WA
35,dok101.txt,WA
36,dok30.txt,WA
37,dok131.txt,WA
38,dok60.txt,WA
39,dok275.txt,WA
40,dok189.txt,WA
41,dok319.txt,WA
42,dok240.txt,WA
43,dok243.txt,WA
44,dok269.txt,WA
45,dok203.txt,WA
46,dok191.txt,WA
47,dok326.txt,WA
48,dok381.txt,WA
49,dok266.txt,WA
50,dok16.txt,WA
51,dok87.txt,WA
52,dok252.txt,WA
53,dok392.txt,WA
54,dok365.txt,WA
55,dok209.txt,WA
56,dok202.txt,WA
57,dok279.txt,WA
58,dok176.txt,WA
59,dok194.txt,WA
60,dok385.txt,WA
61,dok371.txt,WA
62,dok331.txt,WA
63,dok248.txt,WA
64,dok24.txt,WA
65,dok95.txt,WA
66,dok261.txt,WA
67,dok272.txt,WA
68,dok401.txt,WA
69,dok227.txt,WA
70,dok340.txt,WA
71,dok253.txt,WA
72,dok374.txt,WA
73,dok124.txt,WA
74,dok53.txt,WA
75,dok206.txt,WA
76,dok217.txt,WA
77,dok126.txt,WA
78,dok55.txt,WA
79,dok113.txt,WA
80,dok42.txt,WA
81,dok226.txt,WA
82,dok320.txt,WA
83,dok321.txt,WA
84,dok180.txt,WA
85,dok402.txt,WA
86,dok188.txt,WA
87,dok204.txt,WA
88,dok380.txt,WA
89,dok295.txt,WA
90,dok230.txt,WA
91,dok162.txt,WA
92,dok334.txt,WA
93,dok193.txt,WA
94,dok183.txt,WA
95,dok224.txt,WA
96,dok196.txt,WA
97,dok376.txt,WA
98,dok177.txt,WA
99,dok207.txt,WA
100,dok250.txt,WA
