rank,document,verdict,Precision,Recall
1,dok386.txt,WA,0.0,0.0
2,dok190.txt,WA,0.0,0.0
3,dok301.txt,WA,0.0,0.0
4,dok18.txt,AC,0.25,0.5
5,dok89.txt,AC,0.4,1.0
6,dok242.txt,WA,0.3333333333333333,1.0
7,dok357.txt,WA,0.2857142857142857,1.0
8,dok132.txt,WA,0.25,1.0
9,dok61.txt,WA,0.2222222222222222,1.0
10,dok360.txt,WA,0.2,1.0
11,dok172.txt,WA,0.18181818181818182,1.0
12,dok350.txt,WA,0.16666666666666666,1.0
13,dok187.txt,WA,0.15384615384615385,1.0
14,dok318.txt,WA,0.14285714285714285,1.0
15,dok378.txt,WA,0.13333333333333333,1.0
16,dok373.txt,WA,0.125,1.0
17,dok298.txt,WA,0.11764705882352941,1.0
18,dok233.txt,WA,0.1111111111111111,1.0
19,dok197.txt,WA,0.10526315789473684,1.0
20,dok183.txt,WA,0.1,1.0
21,dok178.txt,WA,0.09523809523809523,1.0
22,dok11.txt,WA,0.09090909090909091,1.0
23,dok82.txt,WA,0.08695652173913043,1.0
24,dok202.txt,WA,0.08333333333333333,1.0
25,dok237.txt,WA,0.08,1.0
26,dok270.txt,WA,0.07692307692307693,1.0
27,dok248.txt,WA,0.07407407407407407,1.0
28,dok359.txt,WA,0.07142857142857142,1.0
29,dok7.txt,WA,0.06896551724137931,1.0
30,dok78.txt,WA,0.06666666666666667,1.0
31,dok353.txt,WA,0.06451612903225806,1.0
32,dok136.txt,WA,0.0625,1.0
33,dok65.txt,WA,0.06060606060606061,1.0
34,dok184.txt,WA,0.058823529411764705,1.0
35,dok339.txt,WA,0.05714285714285714,1.0
36,dok198.txt,WA,0.05555555555555555,1.0
37,dok133.txt,WA,0.05405405405405406,1.0
38,dok62.txt,WA,0.05263157894736842,1.0
39,dok347.txt,WA,0.05128205128205128,1.0
40,dok149.txt,WA,0.05,1.0
41,dok352.txt,WA,0.04878048780487805,1.0
42,dok282.txt,WA,0.047619047619047616,1.0
43,dok192.txt,WA,0.046511627906976744,1.0
44,dok148.txt,WA,0.045454545454545456,1.0
45,dok285.txt,WA,0.044444444444444446,1.0
46,dok203.txt,WA,0.043478260869565216,1.0
47,dok269.txt,WA,0.0425531914893617,1.0
48,dok267.txt,WA,0.041666666666666664,1.0
49,dok308.txt,WA,0.04081632653061224,1.0
50,dok370.txt,WA,0.04,1.0
average precision,0.10163488019984365
