rank,document,verdict
1,dok248.txt,AC
2,dok402.txt,WA
3,dok365.txt,AC
4,dok212.txt,WA
5,dok218.txt,WA
6,dok253.txt,AC
7,dok215.txt,WA
8,dok110.txt,WA
9,dok39.txt,WA
10,dok247.txt,WA
11,dok377.txt,WA
12,dok145.txt,WA
13,dok149.txt,WA
14,dok276.txt,WA
15,dok362.txt,WA
16,dok225.txt,WA
17,dok228.txt,WA
18,dok161.txt,WA
19,dok192.txt,WA
20,dok335.txt,WA
21,dok227.txt,WA
22,dok369.txt,WA
23,dok307.txt,WA
24,dok399.txt,WA
25,dok148.txt,WA
26,dok153.txt,WA
27,dok289.txt,WA
28,dok204.txt,WA
29,dok147.txt,WA
30,dok256.txt,WA
31,dok366.txt,WA
32,dok252.txt,WA
33,dok285.txt,WA
34,dok108.txt,WA
35,dok37.txt,WA
36,dok198.txt,AC
37,dok251.txt,WA
38,dok205.txt,WA
39,dok398.txt,WA
40,dok249.txt,WA
41,dok367.txt,WA
42,dok105.txt,WA
43,dok34.txt,WA
44,dok232.txt,WA
45,dok400.txt,WA
46,dok208.txt,WA
47,dok368.txt,WA
48,dok347.txt,WA
49,dok357.txt,WA
50,dok338.txt,WA
