rank,document,verdict,Precision,Recall
1,dok402.txt,AC,1.0,0.2
2,dok365.txt,AC,1.0,0.4
3,dok248.txt,AC,1.0,0.6
4,dok269.txt,WA,0.75,0.6
5,dok368.txt,WA,0.6,0.6
6,dok319.txt,WA,0.5,0.6
7,dok189.txt,WA,0.42857142857142855,0.6
8,dok390.txt,WA,0.375,0.6
9,dok202.txt,WA,0.3333333333333333,0.6
10,dok400.txt,WA,0.3,0.6
11,dok111.txt,WA,0.2727272727272727,0.6
12,dok40.txt,WA,0.25,0.6
13,dok275.txt,WA,0.23076923076923078,0.6
14,dok11.txt,WA,0.21428571428571427,0.6
15,dok82.txt,WA,0.2,0.6
16,dok101.txt,WA,0.1875,0.6
17,dok30.txt,WA,0.17647058823529413,0.6
18,dok203.txt,WA,0.16666666666666666,0.6
19,dok209.txt,WA,0.15789473684210525,0.6
20,dok227.txt,WA,0.15,0.6
21,dok188.txt,WA,0.14285714285714285,0.6
22,dok115.txt,WA,0.13636363636363635,0.6
23,dok44.txt,WA,0.13043478260869565,0.6
24,dok177.txt,WA,0.125,0.6
25,dok196.txt,WA,0.12,0.6
26,dok190.txt,WA,0.11538461538461539,0.6
27,dok351.txt,WA,0.1111111111111111,0.6
28,dok231.txt,WA,0.10714285714285714,0.6
29,dok308.txt,WA,0.10344827586206896,0.6
30,dok272.txt,WA,0.1,0.6
31,dok267.txt,WA,0.0967741935483871,0.6
32,dok353.txt,WA,0.09375,0.6
33,dok374.txt,WA,0.09090909090909091,0.6
34,dok159.txt,WA,0.08823529411764706,0.6
35,dok17.txt,WA,0.08571428571428572,0.6
36,dok88.txt,WA,0.08333333333333333,0.6
37,dok165.txt,WA,0.08108108108108109,0.6
38,dok201.txt,AC,0.10526315789473684,0.8
39,dok27.txt,WA,0.10256410256410256,0.8
40,dok98.txt,WA,0.1,0.8
41,dok346.txt,WA,0.0975609756097561,0.8
42,dok171.txt,WA,0.09523809523809523,0.8
43,dok2.txt,WA,0.09302325581395349,0.8
44,dok73.txt,WA,0.09090909090909091,0.8
45,dok240.txt,WA,0.08888888888888889,0.8
46,dok130.txt,WA,0.08695652173913043,0.8
47,dok59.txt,WA,0.0851063829787234,0.8
48,dok236.txt,WA,0.08333333333333333,0.8
49,dok243.txt,WA,0.08163265306122448,0.8
50,dok255.txt,AC,0.1,1.0
average precision,0.22630470258992066
