rank,document,verdict
1,dok149.txt,AC
2,dok338.txt,WA
3,dok336.txt,AC
4,dok347.txt,AC
5,dok340.txt,AC
6,dok216.txt,AC
7,dok275.txt,WA
8,dok293.txt,WA
9,dok214.txt,WA
10,dok298.txt,WA
11,dok151.txt,WA
12,dok310.txt,WA
13,dok134.txt,WA
14,dok63.txt,WA
15,dok358.txt,WA
16,dok399.txt,WA
17,dok379.txt,WA
18,dok377.txt,WA
19,dok219.txt,WA
20,dok204.txt,WA
21,dok169.txt,WA
22,dok402.txt,WA
23,dok269.txt,WA
24,dok123.txt,WA
25,dok52.txt,WA
26,dok373.txt,WA
27,dok307.txt,WA
28,dok363.txt,WA
29,dok248.txt,WA
30,dok234.txt,WA
31,dok227.txt,WA
32,dok231.txt,WA
33,dok351.txt,WA
34,dok205.txt,WA
35,dok375.txt,WA
36,dok253.txt,WA
37,dok215.txt,WA
38,dok314.txt,WA
39,dok79.txt,WA
40,dok8.txt,WA
41,dok239.txt,WA
42,dok360.txt,WA
43,dok249.txt,WA
44,dok187.txt,WA
45,dok150.txt,WA
46,dok376.txt,WA
47,dok172.txt,WA
48,dok385.txt,WA
49,dok374.txt,WA
50,dok190.txt,AC
51,dok301.txt,WA
52,dok161.txt,WA
53,dok218.txt,WA
54,dok401.txt,WA
55,dok304.txt,WA
56,dok228.txt,WA
57,dok107.txt,WA
58,dok36.txt,WA
59,dok20.txt,WA
60,dok91.txt,WA
61,dok140.txt,WA
62,dok69.txt,WA
63,dok263.txt,WA
64,dok383.txt,WA
65,dok237.txt,WA
66,dok232.txt,WA
67,dok400.txt,WA
68,dok13.txt,WA
69,dok84.txt,WA
70,dok271.txt,WA
71,dok327.txt,WA
72,dok222.txt,WA
73,dok356.txt,WA
74,dok132.txt,WA
75,dok61.txt,WA
76,dok103.txt,WA
77,dok32.txt,WA
78,dok139.txt,WA
79,dok68.txt,WA
80,dok210.txt,WA
81,dok344.txt,WA
82,dok270.txt,WA
83,dok24.txt,WA
84,dok95.txt,WA
85,dok382.txt,WA
86,dok133.txt,WA
87,dok62.txt,WA
88,dok194.txt,WA
89,dok359.txt,WA
90,dok265.txt,WA
91,dok322.txt,WA
92,dok117.txt,WA
93,dok46.txt,WA
94,dok141.txt,WA
95,dok70.txt,WA
96,dok25.txt,WA
97,dok96.txt,WA
98,dok14.txt,WA
99,dok167.txt,WA
100,dok316.txt,WA
