rank,document,verdict,Precision,Recall
1,dok365.txt,WA,0.0,0.0
2,dok386.txt,WA,0.0,0.0
3,dok181.txt,WA,0.0,0.0
4,dok337.txt,WA,0.0,0.0
5,dok247.txt,WA,0.0,0.0
6,dok110.txt,WA,0.0,0.0
7,dok39.txt,WA,0.0,0.0
8,dok212.txt,WA,0.0,0.0
9,dok343.txt,AC,0.1111111111111111,0.3333333333333333
10,dok240.txt,WA,0.1,0.3333333333333333
11,dok142.txt,AC,0.18181818181818182,0.6666666666666666
12,dok71.txt,AC,0.25,1.0
13,dok387.txt,WA,0.23076923076923078,1.0
14,dok253.txt,WA,0.21428571428571427,1.0
15,dok192.txt,WA,0.2,1.0
16,dok11.txt,WA,0.1875,1.0
17,dok82.txt,WA,0.17647058823529413,1.0
18,dok10.txt,WA,0.16666666666666666,1.0
19,dok81.txt,WA,0.15789473684210525,1.0
20,dok394.txt,WA,0.15,1.0
21,dok248.txt,WA,0.14285714285714285,1.0
22,dok132.txt,WA,0.13636363636363635,1.0
23,dok61.txt,WA,0.13043478260869565,1.0
24,dok133.txt,WA,0.125,1.0
25,dok62.txt,WA,0.12,1.0
26,dok113.txt,WA,0.11538461538461539,1.0
27,dok42.txt,WA,0.1111111111111111,1.0
28,dok367.txt,WA,0.10714285714285714,1.0
29,dok383.txt,WA,0.10344827586206896,1.0
30,dok105.txt,WA,0.1,1.0
31,dok34.txt,WA,0.0967741935483871,1.0
32,dok210.txt,WA,0.09375,1.0
33,dok331.txt,WA,0.09090909090909091,1.0
34,dok80.txt,WA,0.08823529411764706,1.0
35,dok9.txt,WA,0.08571428571428572,1.0
36,dok15.txt,WA,0.08333333333333333,1.0
37,dok86.txt,WA,0.08108108108108109,1.0
38,dok28.txt,WA,0.07894736842105263,1.0
39,dok99.txt,WA,0.07692307692307693,1.0
40,dok179.txt,WA,0.075,1.0
41,dok140.txt,WA,0.07317073170731707,1.0
42,dok69.txt,WA,0.07142857142857142,1.0
43,dok378.txt,WA,0.06976744186046512,1.0
44,dok402.txt,WA,0.06818181818181818,1.0
45,dok24.txt,WA,0.06666666666666667,1.0
46,dok95.txt,WA,0.06521739130434782,1.0
47,dok18.txt,WA,0.06382978723404255,1.0
48,dok89.txt,WA,0.0625,1.0
49,dok116.txt,WA,0.061224489795918366,1.0
50,dok45.txt,WA,0.06,1.0
average precision,0.09661826546571067
