rank,document,verdict
1,dok124.txt,AC
2,dok53.txt,AC
3,dok129.txt,WA
4,dok58.txt,WA
5,dok126.txt,WA
6,dok55.txt,WA
7,dok393.txt,WA
8,dok186.txt,WA
9,dok125.txt,WA
10,dok54.txt,WA
11,dok259.txt,WA
12,dok22.txt,WA
13,dok93.txt,WA
14,dok127.txt,WA
15,dok56.txt,WA
16,dok131.txt,WA
17,dok60.txt,WA
18,dok363.txt,WA
19,dok382.txt,WA
20,dok224.txt,WA
21,dok394.txt,WA
22,dok272.txt,WA
23,dok328.txt,WA
24,dok128.txt,WA
25,dok57.txt,WA
26,dok130.txt,WA
27,dok59.txt,WA
28,dok133.txt,WA
29,dok62.txt,WA
30,dok7.txt,WA
31,dok78.txt,WA
32,dok270.txt,WA
33,dok117.txt,WA
34,dok46.txt,WA
35,dok132.txt,WA
36,dok61.txt,WA
37,dok231.txt,WA
38,dok351.txt,WA
39,dok28.txt,WA
40,dok99.txt,WA
41,dok209.txt,WA
42,dok232.txt,WA
43,dok230.txt,WA
44,dok343.txt,WA
45,dok136.txt,WA
46,dok65.txt,WA
47,dok102.txt,WA
48,dok31.txt,WA
49,dok206.txt,WA
50,dok18.txt,WA
51,dok89.txt,WA
52,dok174.txt,WA
53,dok345.txt,WA
54,dok274.txt,WA
55,dok197.txt,WA
56,dok150.txt,WA
57,dok169.txt,WA
58,dok11.txt,WA
59,dok82.txt,WA
60,dok271.txt,WA
61,dok327.txt,WA
62,dok253.txt,WA
63,dok366.txt,WA
64,dok107.txt,WA
65,dok36.txt,WA
66,dok256.txt,WA
67,dok269.txt,WA
68,dok108.txt,WA
69,dok37.txt,WA
70,dok385.txt,WA
71,dok217.txt,WA
72,dok6.txt,WA
73,dok77.txt,WA
74,dok105.txt,WA
75,dok34.txt,WA
76,dok260.txt,WA
77,dok159.txt,WA
78,dok308.txt,WA
79,dok267.txt,WA
80,dok142.txt,WA
81,dok71.txt,WA
82,dok309.txt,WA
83,dok155.txt,WA
84,dok188.txt,WA
85,dok198.txt,WA
86,dok374.txt,WA
87,dok400.txt,WA
88,dok389.txt,WA
89,dok111.txt,WA
90,dok40.txt,WA
91,dok213.txt,WA
92,dok152.txt,WA
93,dok185.txt,WA
94,dok123.txt,WA
95,dok52.txt,WA
96,dok333.txt,WA
97,dok257.txt,WA
98,dok157.txt,WA
99,dok180.txt,WA
100,dok118.txt,WA
