rank,document,verdict
1,dok274.txt,WA
2,dok180.txt,WA
3,dok240.txt,WA
4,dok365.txt,WA
5,dok142.txt,AC
6,dok71.txt,AC
7,dok27.txt,WA
8,dok98.txt,WA
9,dok152.txt,WA
10,dok198.txt,WA
11,dok227.txt,WA
12,dok213.txt,WA
13,dok343.txt,WA
14,dok394.txt,WA
15,dok399.txt,WA
16,dok262.txt,WA
17,dok278.txt,WA
18,dok181.txt,WA
19,dok337.txt,WA
20,dok200.txt,WA
21,dok210.txt,WA
22,dok209.txt,WA
23,dok10.txt,WA
24,dok81.txt,WA
25,dok253.txt,WA
26,dok179.txt,WA
27,dok205.txt,WA
28,dok249.txt,WA
29,dok281.txt,WA
30,dok17.txt,WA
31,dok88.txt,WA
32,dok363.txt,WA
33,dok300.txt,WA
34,dok257.txt,WA
35,dok401.txt,WA
36,dok206.txt,WA
37,dok174.txt,WA
38,dok345.txt,WA
39,dok377.txt,WA
40,dok369.txt,WA
41,dok118.txt,WA
42,dok160.txt,WA
43,dok47.txt,WA
44,dok122.txt,WA
45,dok51.txt,WA
46,dok268.txt,WA
47,dok325.txt,WA
48,dok133.txt,WA
49,dok62.txt,WA
50,dok393.txt,WA
51,dok283.txt,WA
52,dok192.txt,WA
53,dok117.txt,WA
54,dok46.txt,WA
55,dok163.txt,WA
56,dok384.txt,WA
57,dok145.txt,WA
58,dok168.txt,WA
59,dok186.txt,WA
60,dok276.txt,WA
61,dok148.txt,WA
62,dok285.txt,WA
63,dok208.txt,WA
64,dok177.txt,WA
65,dok234.txt,WA
66,dok362.txt,WA
67,dok111.txt,WA
68,dok40.txt,WA
69,dok319.txt,WA
70,dok189.txt,WA
71,dok346.txt,WA
72,dok252.txt,WA
73,dok391.txt,WA
74,dok224.txt,WA
75,dok155.txt,WA
76,dok171.txt,WA
77,dok203.txt,WA
78,dok166.txt,WA
79,dok389.txt,WA
80,dok23.txt,WA
81,dok80.txt,WA
82,dok9.txt,WA
83,dok94.txt,WA
84,dok225.txt,WA
85,dok296.txt,WA
86,dok368.txt,WA
87,dok170.txt,WA
88,dok303.txt,WA
89,dok333.txt,WA
90,dok183.txt,WA
91,dok254.txt,WA
92,dok359.txt,WA
93,dok12.txt,WA
94,dok132.txt,WA
95,dok61.txt,WA
96,dok83.txt,WA
97,dok251.txt,WA
98,dok379.txt,WA
99,dok204.txt,WA
100,dok197.txt,WA
