rank,document,verdict
1,dok264.txt,AC
2,dok400.txt,AC
3,dok232.txt,WA
4,dok256.txt,AC
5,dok366.txt,AC
6,dok364.txt,WA
7,dok363.txt,WA
8,dok253.txt,AC
9,dok262.txt,WA
10,dok278.txt,WA
11,dok267.txt,AC
12,dok308.txt,AC
13,dok269.txt,AC
14,dok151.txt,WA
15,dok310.txt,WA
16,dok166.txt,WA
17,dok190.txt,WA
18,dok301.txt,WA
19,dok127.txt,WA
20,dok56.txt,WA
21,dok270.txt,WA
22,dok213.txt,WA
23,dok192.txt,WA
24,dok132.txt,WA
25,dok61.txt,WA
26,dok242.txt,WA
27,dok357.txt,WA
28,dok18.txt,WA
29,dok360.txt,WA
30,dok89.txt,WA
31,dok197.txt,WA
32,dok350.txt,WA
33,dok186.txt,WA
34,dok386.txt,WA
35,dok203.txt,WA
36,dok217.txt,WA
37,dok122.txt,WA
38,dok51.txt,WA
39,dok138.txt,WA
40,dok67.txt,WA
41,dok352.txt,WA
42,dok183.txt,WA
43,dok133.txt,WA
44,dok187.txt,WA
45,dok62.txt,WA
46,dok11.txt,WA
47,dok82.txt,WA
48,dok184.txt,WA
49,dok339.txt,WA
50,dok383.txt,WA
51,dok214.txt,WA
52,dok318.txt,WA
53,dok379.txt,WA
54,dok220.txt,WA
55,dok165.txt,WA
56,dok181.txt,WA
57,dok337.txt,WA
58,dok370.txt,WA
59,dok373.txt,WA
60,dok393.txt,WA
61,dok136.txt,WA
62,dok65.txt,WA
63,dok100.txt,WA
64,dok17.txt,WA
65,dok29.txt,WA
66,dok88.txt,WA
67,dok210.txt,WA
68,dok200.txt,WA
69,dok150.txt,WA
70,dok399.txt,WA
71,dok248.txt,WA
72,dok401.txt,WA
73,dok106.txt,WA
74,dok35.txt,WA
75,dok178.txt,WA
76,dok7.txt,WA
77,dok78.txt,WA
78,dok169.txt,WA
79,dok135.txt,WA
80,dok64.txt,WA
81,dok233.txt,WA
82,dok365.txt,WA
83,dok402.txt,WA
84,dok107.txt,WA
85,dok36.txt,WA
86,dok123.txt,WA
87,dok52.txt,WA
88,dok109.txt,WA
89,dok275.txt,WA
90,dok38.txt,WA
91,dok12.txt,WA
92,dok124.txt,WA
93,dok53.txt,WA
94,dok83.txt,WA
95,dok201.txt,WA
96,dok182.txt,WA
97,dok173.txt,WA
98,dok323.txt,WA
99,dok294.txt,WA
100,dok176.txt,WA
