"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden ri","WA"
"2","Siapa presiden pada masa orde baru?","presiden k.h abdurrahman wahid","WA"
"3","Siapa presiden pada masa orde baru?","presiden k.h abdurrahman wahid","WA"
"4","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"5","Dimana konferensi asia afrika diselenggarakan?","jenewa","WA"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"7","Siapa presiden pertama Indonesia?","presiden pm","WA"
"8","Siapa presiden pertama Indonesia?","mr sjafruddin prawiranegara presiden republik indonesia","WA"
"9","Siapa presiden pertama Indonesia?","mr sjafruddin prawiranegara presiden republik indonesia","WA"
"10","Kapan diponegoro wafat?","tanggal 12 rabiul awal 822","WA"
"11","Kapan diponegoro wafat?","tahun 1560","WA"
"12","Kapan diponegoro wafat?","pertengahan abad 15","WA"
"13","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"14","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"15","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"16","Kapan Budi Utomo didirikan?","tahun 1932","WA"
"17","Kapan Budi Utomo didirikan?","tanggal 7 maret 1915","WA"
"18","Kapan Budi Utomo didirikan?","tahun 1920","WA"
"19","Siapa pendiri Taman Siswa?","kaum pribumi","WA"
"20","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"21","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"22","Dimana letak kerajaan sriwijaya?","palembang","AC"
"23","Dimana letak kerajaan sriwijaya?","daerah","WA"
"24","Dimana letak kerajaan sriwijaya?","provinsi sumatera","AC"
"25","Kapan taman siswa didirikan?","tahun 1294","WA"
"26","Kapan taman siswa didirikan?","1922","AC"
"27","Kapan taman siswa didirikan?","1922","AC"
"28","dimana budi utomo didirikan?","batavia","AC"
"29","dimana budi utomo didirikan?","batavia","AC"
"30","dimana budi utomo didirikan?","batavia","AC"
"31","dimana taman siswa didirikan?","yogyakarta","AC"
"32","dimana taman siswa didirikan?","yogyakarta","AC"
"33","dimana taman siswa didirikan?","medan","WA"
"34","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"35","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"36","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"37","kapan hayam wuruk wafat?","tahun 1350","WA"
"38","kapan hayam wuruk wafat?","1350 1389","AC"
"39","kapan hayam wuruk wafat?","tahun 1389","AC"
"40","siapa wali songo yang menggunakan media pertunjukan wayang?","walisongo","WA"
"41","siapa wali songo yang menggunakan media pertunjukan wayang?","mubalig keliling","WA"
"42","siapa wali songo yang menggunakan media pertunjukan wayang?","walisongo","WA"
"43","siapa pemimpin kerajaan tidore?","sultan kaicil buko","WA"
"44","siapa pemimpin kerajaan tidore?","sultan kaicil buko","WA"
"45","siapa pemimpin kerajaan tidore?","kabinet sastroamijoyo","WA"
"46","kapan belanda datang ke maluku?","tahun 1914","WA"
"47","kapan belanda datang ke maluku?","bulan mei 1949","WA"
"48","kapan belanda datang ke maluku?","tahun 1913","WA"
"49","kapan portugis datang ke maluku?","1521","WA"
"50","kapan portugis datang ke maluku?","1521","WA"
"51","kapan portugis datang ke maluku?","tahun 1522","WA"
"52","siapa yang menandatangani perjanjian bongaya?","sekutu","WA"
"53","siapa yang menandatangani perjanjian bongaya?","wikana","WA"
"54","siapa yang menandatangani perjanjian bongaya?","tokoh tokoh pemuda","WA"
"55","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"56","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"57","kapan perjanjian bongaya ditandatangani?","15 agustus 1950","WA"
"58","siapa penulis kitab negara kertagama?","masyarakat","WA"
"59","siapa penulis kitab negara kertagama?","masyarakat","WA"
"60","siapa penulis kitab negara kertagama?","dharmadhyaksa ring kasaiwan","WA"
"61","kapan voc didirikan?","32 tahun","WA"
"62","kapan voc didirikan?","32 tahun","WA"
"63","kapan voc didirikan?","tanggal 25 desember 1679","WA"
"64","kapan voc dibubarkan?","masa paku buwono","WA"
"65","kapan voc dibubarkan?","32 tahun","WA"
"66","kapan voc dibubarkan?","32 tahun","WA"
"67","siapa multatuli?","nurani rakyat belanda","WA"
"68","siapa multatuli?","rakyat indonesia","WA"
"69","siapa multatuli?","pemerintah belanda","WA"
"70","dimana pattimura dilahirkan?","kepulauan maluku","AC"
"71","dimana pattimura dilahirkan?","kepulauan maluku","AC"
"72","dimana pattimura dilahirkan?","eropa","WA"
"73","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"74","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"75","kapan pangeran antasari wafat?","tahun 1595","WA"
"76","dimana pangeran antasari wafat?","kampung","WA"
"77","dimana pangeran antasari wafat?","kampung","WA"
"78","dimana pangeran antasari wafat?","jawa","WA"
"79","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"80","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"81","kapan ekspedisi pertama belanda di bali terjadi?","masa kabineg natsir tahun 1950","WA"
"82","kapan perlawanan di aceh terjadi?","tanggal 19 september 1945","WA"
"83","kapan perlawanan di aceh terjadi?","tanggal 14 april 1873","AC"
"84","kapan perlawanan di aceh terjadi?","tahun 1879","AC"
"85","siapa pendiri budi utomo?","utomo","WA"
"86","siapa pendiri budi utomo?","parindra partindo","WA"
"87","siapa pendiri budi utomo?","parindra partindo","WA"
"88","kapan sarekat islam didirikan?","tahun 1911","AC"
"89","kapan sarekat islam didirikan?","tahun 1926","WA"
"90","kapan sarekat islam didirikan?","tahun 1911","AC"
"91","siapa pendiri sarekat islam?","indische partij","WA"
"92","siapa pendiri sarekat islam?","indische partij","WA"
"93","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"94","kapan indische partij didirikan?","tanggal 23 mei 1920","WA"
"95","kapan indische partij didirikan?","tahun 1926","WA"
"96","kapan indische partij didirikan?","tahun 1913","WA"
"97","dimana muhammadiyah didirikan?","yogyakarta","AC"
"98","dimana muhammadiyah didirikan?","yogyakarta","AC"
"99","dimana muhammadiyah didirikan?","jakarta","WA"
"100","kapan muhammadiyah didirikan?","tanggal 1 januari 1925","WA"
"101","kapan muhammadiyah didirikan?","tanggal 31 januari 1926","WA"
"102","kapan muhammadiyah didirikan?","tahun 1932","WA"
"103","kapan partai komunis indonesia berdiri?","tanggal 23 mei 1920","WA"
"104","kapan partai komunis indonesia berdiri?","tanggal 23 mei 1920","WA"
"105","kapan partai komunis indonesia berdiri?","tahun 1926","WA"
"106","siapa yang membawa ajaran marxis?","belanda","WA"
"107","siapa yang membawa ajaran marxis?","belanda","WA"
"108","siapa yang membawa ajaran marxis?","belanda","WA"
"109","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tahun 1925","WA"
"110","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 15 juli 1936","WA"
"111","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 13 november 1926","WA"
"112","kapan sumpah pemuda terjadi?","tahun 1321","WA"
"113","kapan sumpah pemuda terjadi?","tahun 1331","WA"
"114","kapan sumpah pemuda terjadi?","1328 1350","WA"
"115","kapan partai nasional indonesia lahir?","tanggal 11 november 1945","WA"
"116","kapan partai nasional indonesia lahir?","1945","WA"
"117","kapan partai nasional indonesia lahir?","tanggal 4 juli 1927","AC"
"118","kapan sistem tanam paksa diterapkan?","tahun 1850","WA"
"119","kapan sistem tanam paksa diterapkan?","tahun 1850","WA"
"120","kapan sistem tanam paksa diterapkan?","1830","AC"
"121","kapan sidang kabinet dwikora diadakan?","tanggal 20 nopember 1956","WA"
"122","kapan sidang kabinet dwikora diadakan?","29 mei","WA"
"123","kapan sidang kabinet dwikora diadakan?","1 juni 1945","WA"
"124","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"125","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"126","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"127","siapa pemimpin APRA?","partai masyumi","WA"
"128","siapa pemimpin APRA?","partai masyumi","WA"
"129","siapa pemimpin APRA?","muhammad natsir","WA"
"130","siapa pemimpin RMS?","laksamana mountbatten","WA"
"131","siapa pemimpin RMS?","laksamana mountbatten","WA"
"132","siapa pemimpin RMS?","perdana menteri syahrir","WA"
"133","kapan gerakan non blok diselenggarakan?","1961","AC"
"134","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"135","kapan gerakan non blok diselenggarakan?","tanggal 5 10 oktober 1964","AC"
"136","kapan rengasdengklok terjadi?","tanggal 16 agustus 1945 pukul 04.30","AC"
"137","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"138","kapan rengasdengklok terjadi?","tanggal 18 agustus 1945","WA"
"139","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"140","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"141","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"142","kapan rakyat bali melawan belanda?","1846 1905","AC"
"143","kapan rakyat bali melawan belanda?","1846 1905","AC"
"144","kapan rakyat bali melawan belanda?","tanggal 10 november","WA"
"145","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"146","siapa penulis konsep naskah proklamasi?","mr ahmad subardjo","WA"
"147","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"148","dimana konferensi meja bundar dilaksanakan?","jakara","WA"
