rank,document,verdict,Precision,Recall
1,dok218.txt,WA,0.0,0.0
2,dok274.txt,WA,0.0,0.0
3,dok365.txt,WA,0.0,0.0
4,dok208.txt,WA,0.0,0.0
5,dok394.txt,AC,0.2,0.3333333333333333
6,dok140.txt,AC,0.3333333333333333,0.6666666666666666
7,dok69.txt,AC,0.42857142857142855,1.0
8,dok402.txt,WA,0.375,1.0
9,dok111.txt,WA,0.3333333333333333,1.0
10,dok40.txt,WA,0.3,1.0
11,dok142.txt,WA,0.2727272727272727,1.0
12,dok71.txt,WA,0.25,1.0
13,dok399.txt,WA,0.23076923076923078,1.0
14,dok269.txt,WA,0.21428571428571427,1.0
15,dok204.txt,WA,0.2,1.0
16,dok249.txt,WA,0.1875,1.0
17,dok253.txt,WA,0.17647058823529413,1.0
18,dok343.txt,WA,0.16666666666666666,1.0
19,dok210.txt,WA,0.15789473684210525,1.0
20,dok236.txt,WA,0.15,1.0
21,dok189.txt,WA,0.14285714285714285,1.0
22,dok319.txt,WA,0.13636363636363635,1.0
23,dok385.txt,WA,0.13043478260869565,1.0
24,dok161.txt,WA,0.125,1.0
25,dok393.txt,WA,0.12,1.0
26,dok238.txt,WA,0.11538461538461539,1.0
27,dok353.txt,WA,0.1111111111111111,1.0
28,dok147.txt,WA,0.10714285714285714,1.0
29,dok153.txt,WA,0.10344827586206896,1.0
30,dok289.txt,WA,0.1,1.0
31,dok197.txt,WA,0.0967741935483871,1.0
32,dok401.txt,WA,0.09375,1.0
33,dok113.txt,WA,0.09090909090909091,1.0
34,dok42.txt,WA,0.08823529411764706,1.0
35,dok159.txt,WA,0.08571428571428572,1.0
36,dok221.txt,WA,0.08333333333333333,1.0
37,dok166.txt,WA,0.08108108108108109,1.0
38,dok369.txt,WA,0.07894736842105263,1.0
39,dok214.txt,WA,0.07692307692307693,1.0
40,dok203.txt,WA,0.075,1.0
41,dok251.txt,WA,0.07317073170731707,1.0
42,dok228.txt,WA,0.07142857142857142,1.0
43,dok374.txt,WA,0.06976744186046512,1.0
44,dok139.txt,WA,0.06818181818181818,1.0
45,dok68.txt,WA,0.06666666666666667,1.0
46,dok331.txt,WA,0.06521739130434782,1.0
47,dok200.txt,WA,0.06382978723404255,1.0
48,dok234.txt,WA,0.0625,1.0
49,dok217.txt,WA,0.061224489795918366,1.0
50,dok215.txt,WA,0.06,1.0
51,dok129.txt,WA,0.058823529411764705,1.0
52,dok58.txt,WA,0.057692307692307696,1.0
53,dok188.txt,WA,0.05660377358490566,1.0
54,dok125.txt,WA,0.05555555555555555,1.0
55,dok54.txt,WA,0.05454545454545454,1.0
56,dok232.txt,WA,0.05357142857142857,1.0
57,dok334.txt,WA,0.05263157894736842,1.0
58,dok248.txt,WA,0.05172413793103448,1.0
59,dok24.txt,WA,0.05084745762711865,1.0
60,dok95.txt,WA,0.05,1.0
61,dok284.txt,WA,0.04918032786885246,1.0
62,dok108.txt,WA,0.04838709677419355,1.0
63,dok37.txt,WA,0.047619047619047616,1.0
64,dok227.txt,WA,0.046875,1.0
65,dok283.txt,WA,0.046153846153846156,1.0
66,dok261.txt,WA,0.045454545454545456,1.0
67,dok178.txt,WA,0.04477611940298507,1.0
68,dok280.txt,WA,0.04411764705882353,1.0
69,dok1.txt,WA,0.043478260869565216,1.0
70,dok72.txt,WA,0.04285714285714286,1.0
71,dok143.txt,WA,0.04225352112676056,1.0
72,dok195.txt,WA,0.041666666666666664,1.0
73,dok250.txt,WA,0.0410958904109589,1.0
74,dok266.txt,WA,0.04054054054054054,1.0
75,dok16.txt,WA,0.04,1.0
76,dok87.txt,WA,0.039473684210526314,1.0
77,dok144.txt,WA,0.03896103896103896,1.0
78,dok117.txt,WA,0.038461538461538464,1.0
79,dok46.txt,WA,0.0379746835443038,1.0
80,dok115.txt,WA,0.0375,1.0
81,dok44.txt,WA,0.037037037037037035,1.0
82,dok372.txt,WA,0.036585365853658534,1.0
83,dok20.txt,WA,0.03614457831325301,1.0
84,dok91.txt,WA,0.03571428571428571,1.0
85,dok165.txt,WA,0.03529411764705882,1.0
86,dok318.txt,WA,0.03488372093023256,1.0
87,dok211.txt,WA,0.034482758620689655,1.0
88,dok354.txt,WA,0.03409090909090909,1.0
89,dok17.txt,WA,0.033707865168539325,1.0
90,dok88.txt,WA,0.03333333333333333,1.0
91,dok390.txt,WA,0.03296703296703297,1.0
92,dok286.txt,WA,0.03260869565217391,1.0
93,dok146.txt,WA,0.03225806451612903,1.0
94,dok158.txt,WA,0.031914893617021274,1.0
95,dok233.txt,WA,0.031578947368421054,1.0
96,dok231.txt,WA,0.03125,1.0
97,dok351.txt,WA,0.030927835051546393,1.0
98,dok105.txt,WA,0.030612244897959183,1.0
99,dok34.txt,WA,0.030303030303030304,1.0
100,dok119.txt,WA,0.03,1.0
average precision,0.08745465886252193
