rank,document,verdict
1,dok253.txt,WA
2,dok394.txt,WA
3,dok385.txt,WA
4,dok101.txt,WA
5,dok30.txt,WA
6,dok402.txt,WA
7,dok331.txt,WA
8,dok319.txt,WA
9,dok189.txt,WA
10,dok376.txt,WA
11,dok111.txt,WA
12,dok40.txt,WA
13,dok365.txt,WA
14,dok400.txt,WA
15,dok269.txt,WA
16,dok113.txt,WA
17,dok42.txt,WA
18,dok19.txt,WA
19,dok90.txt,WA
20,dok157.txt,WA
21,dok366.txt,WA
22,dok390.txt,WA
23,dok338.txt,WA
24,dok261.txt,WA
25,dok374.txt,WA
26,dok256.txt,WA
27,dok373.txt,WA
28,dok275.txt,WA
29,dok372.txt,WA
30,dok227.txt,WA
31,dok209.txt,WA
32,dok198.txt,WA
33,dok213.txt,WA
34,dok6.txt,WA
35,dok77.txt,WA
36,dok148.txt,WA
37,dok350.txt,WA
38,dok3.txt,WA
39,dok74.txt,WA
40,dok270.txt,WA
41,dok334.txt,WA
42,dok357.txt,WA
43,dok308.txt,WA
44,dok267.txt,WA
45,dok301.txt,WA
46,dok190.txt,WA
47,dok230.txt,WA
48,dok370.txt,WA
49,dok249.txt,WA
50,dok27.txt,WA
51,dok98.txt,WA
52,dok105.txt,WA
53,dok34.txt,WA
54,dok188.txt,WA
55,dok115.txt,WA
56,dok44.txt,WA
57,dok242.txt,WA
58,dok202.txt,WA
59,dok125.txt,WA
60,dok54.txt,WA
61,dok284.txt,WA
62,dok196.txt,WA
63,dok203.txt,WA
64,dok392.txt,WA
65,dok11.txt,WA
66,dok82.txt,WA
67,dok176.txt,WA
68,dok23.txt,WA
69,dok94.txt,WA
70,dok264.txt,WA
71,dok18.txt,AC
72,dok89.txt,AC
73,dok279.txt,WA
74,dok204.txt,WA
75,dok387.txt,WA
76,dok353.txt,WA
77,dok152.txt,WA
78,dok107.txt,WA
79,dok36.txt,WA
80,dok255.txt,WA
81,dok159.txt,WA
82,dok252.txt,WA
83,dok129.txt,WA
84,dok58.txt,WA
85,dok20.txt,WA
86,dok91.txt,WA
87,dok243.txt,WA
88,dok165.txt,WA
89,dok371.txt,WA
90,dok17.txt,WA
91,dok88.txt,WA
92,dok240.txt,WA
93,dok300.txt,WA
94,dok396.txt,WA
95,dok183.txt,WA
96,dok266.txt,WA
97,dok16.txt,WA
98,dok87.txt,WA
99,dok355.txt,WA
100,dok180.txt,WA
