rank,document,verdict
1,dok253.txt,WA
2,dok365.txt,WA
3,dok24.txt,WA
4,dok95.txt,WA
5,dok402.txt,WA
6,dok248.txt,WA
7,dok385.txt,WA
8,dok269.txt,WA
9,dok274.txt,WA
10,dok319.txt,WA
11,dok189.txt,WA
12,dok400.txt,WA
13,dok202.txt,WA
14,dok380.txt,WA
15,dok258.txt,WA
16,dok111.txt,WA
17,dok40.txt,WA
18,dok188.txt,WA
19,dok133.txt,WA
20,dok62.txt,WA
21,dok11.txt,WA
22,dok82.txt,WA
23,dok203.txt,WA
24,dok390.txt,WA
25,dok16.txt,WA
26,dok87.txt,WA
27,dok101.txt,WA
28,dok30.txt,WA
29,dok213.txt,WA
30,dok364.txt,WA
31,dok275.txt,WA
32,dok266.txt,WA
33,dok149.txt,WA
34,dok351.txt,WA
35,dok115.txt,WA
36,dok44.txt,WA
37,dok17.txt,WA
38,dok88.txt,WA
39,dok165.txt,WA
40,dok353.txt,WA
41,dok196.txt,WA
42,dok272.txt,WA
43,dok308.txt,WA
44,dok177.txt,WA
45,dok159.txt,WA
46,dok2.txt,WA
47,dok73.txt,WA
48,dok267.txt,WA
49,dok192.txt,WA
50,dok243.txt,WA
