rank,document,verdict
1,dok386.txt,WA
2,dok161.txt,WA
3,dok307.txt,WA
4,dok373.txt,WA
5,dok248.txt,WA
6,dok204.txt,WA
7,dok402.txt,WA
8,dok232.txt,WA
9,dok218.txt,WA
10,dok283.txt,WA
11,dok11.txt,WA
12,dok82.txt,WA
13,dok133.txt,WA
14,dok62.txt,WA
15,dok18.txt,WA
16,dok89.txt,WA
17,dok270.txt,WA
18,dok365.txt,WA
19,dok7.txt,WA
20,dok78.txt,WA
21,dok215.txt,WA
22,dok399.txt,WA
23,dok143.txt,WA
24,dok252.txt,WA
25,dok158.txt,WA
26,dok286.txt,WA
27,dok364.txt,WA
28,dok28.txt,AC
29,dok99.txt,AC
30,dok147.txt,WA
31,dok153.txt,WA
32,dok289.txt,WA
33,dok249.txt,WA
34,dok236.txt,WA
35,dok400.txt,WA
36,dok132.txt,WA
37,dok61.txt,WA
38,dok383.txt,WA
39,dok80.txt,WA
40,dok9.txt,WA
41,dok398.txt,WA
42,dok359.txt,WA
43,dok136.txt,AC
44,dok65.txt,AC
45,dok197.txt,WA
46,dok174.txt,WA
47,dok345.txt,WA
48,dok182.txt,WA
49,dok253.txt,WA
50,dok393.txt,WA
51,dok225.txt,WA
52,dok221.txt,WA
53,dok139.txt,WA
54,dok68.txt,WA
55,dok195.txt,WA
56,dok254.txt,WA
57,dok244.txt,WA
58,dok106.txt,WA
59,dok35.txt,WA
60,dok343.txt,WA
61,dok230.txt,WA
62,dok335.txt,WA
63,dok369.txt,WA
64,dok355.txt,WA
65,dok108.txt,WA
66,dok37.txt,WA
67,dok203.txt,WA
68,dok208.txt,WA
69,dok187.txt,WA
70,dok224.txt,WA
71,dok238.txt,WA
72,dok261.txt,WA
73,dok394.txt,WA
74,dok378.txt,WA
75,dok256.txt,WA
76,dok366.txt,WA
77,dok370.txt,WA
78,dok318.txt,WA
79,dok113.txt,WA
80,dok42.txt,WA
81,dok331.txt,WA
82,dok178.txt,WA
83,dok243.txt,WA
84,dok263.txt,WA
85,dok213.txt,WA
86,dok140.txt,WA
87,dok69.txt,WA
88,dok144.txt,WA
89,dok137.txt,WA
90,dok66.txt,WA
91,dok142.txt,WA
92,dok71.txt,WA
93,dok251.txt,WA
94,dok250.txt,WA
95,dok288.txt,WA
96,dok207.txt,WA
97,dok387.txt,WA
98,dok210.txt,WA
99,dok246.txt,WA
100,dok12.txt,WA
