urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,masyarakat,WA
2,Siapa presiden pada masa orde baru?,masyarakat,WA
3,Siapa presiden pada masa orde baru?,masyarakat,WA
4,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
5,Dimana konferensi asia afrika diselenggarakan?,kolombo,WA
6,Dimana konferensi asia afrika diselenggarakan?,jenewa,WA
7,Siapa presiden pertama Indonesia?,roeslan abdul gani,WA
8,Siapa presiden pertama Indonesia?,negara negara komunis,WA
9,Siapa presiden pertama Indonesia?,negara negara blok nefo,WA
10,Kapan diponegoro wafat?,tanggal 8 januari 1855,AC
11,Kapan diponegoro wafat?,tanggal 8 januari 1855,AC
12,Kapan diponegoro wafat?,tanggal 6 november 1864,WA
13,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
14,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
15,Kapan perjanjian saragosa terjadi?,22 april 1529,AC
16,Kapan Budi Utomo didirikan?,tahun 1911,WA
17,Kapan Budi Utomo didirikan?,tahun 1911,WA
18,Kapan Budi Utomo didirikan?,NO ANSWER,WA
19,Siapa pendiri Taman Siswa?,mahasiswa,WA
20,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
21,Siapa pendiri Taman Siswa?,pawiyatan wanito,WA
22,Dimana letak kerajaan sriwijaya?,provinsi sumatera,AC
23,Dimana letak kerajaan sriwijaya?,india,WA
24,Dimana letak kerajaan sriwijaya?,india,WA
25,Kapan taman siswa didirikan?,1922,AC
26,Kapan taman siswa didirikan?,1922,AC
27,Kapan taman siswa didirikan?,1922,AC
28,dimana budi utomo didirikan?,batavia,AC
29,dimana budi utomo didirikan?,batavia,AC
30,dimana budi utomo didirikan?,batavia,AC
31,dimana taman siswa didirikan?,yogyakarta,AC
32,dimana taman siswa didirikan?,yogyakarta,AC
33,dimana taman siswa didirikan?,yogyakarta,AC
34,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,AC
35,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
36,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,AC
37,kapan hayam wuruk wafat?,1350 1389,AC
38,kapan hayam wuruk wafat?,tahun 1389,AC
39,kapan hayam wuruk wafat?,1350 1389,AC
40,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
41,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,WA
42,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,WA
43,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
44,siapa pemimpin kerajaan tidore?,sultan kaicil buko,WA
45,siapa pemimpin kerajaan tidore?,sultan mansur,AC
46,kapan belanda datang ke maluku?,tahun 1178,WA
47,kapan belanda datang ke maluku?,tahun 1178,WA
48,kapan belanda datang ke maluku?,2000,WA
