rank,document,verdict
1,dok201.txt,AC
2,dok248.txt,AC
3,dok236.txt,WA
4,dok255.txt,AC
5,dok365.txt,AC
6,dok402.txt,AC
7,dok349.txt,WA
8,dok212.txt,WA
9,dok143.txt,WA
10,dok170.txt,WA
11,dok164.txt,WA
12,dok287.txt,WA
13,dok240.txt,WA
14,dok282.txt,WA
15,dok226.txt,WA
16,dok320.txt,WA
17,dok321.txt,WA
18,dok158.txt,WA
19,dok234.txt,WA
20,dok286.txt,WA
21,dok381.txt,WA
22,dok114.txt,WA
23,dok43.txt,WA
24,dok224.txt,WA
25,dok132.txt,WA
26,dok154.txt,WA
27,dok61.txt,WA
28,dok350.txt,WA
29,dok295.txt,WA
30,dok344.txt,WA
31,dok262.txt,WA
32,dok278.txt,WA
33,dok342.txt,WA
34,dok175.txt,WA
35,dok220.txt,WA
36,dok223.txt,WA
37,dok324.txt,WA
38,dok199.txt,WA
39,dok238.txt,WA
40,dok241.txt,WA
41,dok311.txt,WA
42,dok100.txt,WA
43,dok29.txt,WA
44,dok333.txt,WA
45,dok384.txt,WA
46,dok359.txt,WA
47,dok386.txt,WA
48,dok165.txt,WA
49,dok166.txt,WA
50,dok183.txt,WA
