rank,document,verdict,Precision,Recall
1,dok161.txt,WA,0.0,0.0
2,dok307.txt,WA,0.0,0.0
3,dok128.txt,WA,0.0,0.0
4,dok57.txt,WA,0.0,0.0
5,dok288.txt,WA,0.0,0.0
6,dok283.txt,WA,0.0,0.0
7,dok143.txt,WA,0.0,0.0
8,dok158.txt,WA,0.0,0.0
9,dok286.txt,WA,0.0,0.0
10,dok218.txt,WA,0.0,0.0
11,dok15.txt,WA,0.0,0.0
12,dok86.txt,WA,0.0,0.0
13,dok215.txt,WA,0.0,0.0
14,dok125.txt,AC,0.07142857142857142,0.25
15,dok54.txt,WA,0.06666666666666667,0.25
16,dok147.txt,WA,0.0625,0.25
17,dok153.txt,WA,0.058823529411764705,0.25
18,dok289.txt,WA,0.05555555555555555,0.25
19,dok268.txt,WA,0.05263157894736842,0.25
20,dok325.txt,WA,0.05,0.25
21,dok249.txt,WA,0.047619047619047616,0.25
22,dok353.txt,WA,0.045454545454545456,0.25
23,dok19.txt,WA,0.043478260869565216,0.25
24,dok90.txt,WA,0.041666666666666664,0.25
25,dok232.txt,WA,0.04,0.25
26,dok275.txt,WA,0.038461538461538464,0.25
27,dok370.txt,WA,0.037037037037037035,0.25
28,dok369.txt,WA,0.03571428571428571,0.25
29,dok12.txt,WA,0.034482758620689655,0.25
30,dok83.txt,WA,0.03333333333333333,0.25
31,dok117.txt,AC,0.06451612903225806,0.5
32,dok46.txt,WA,0.0625,0.5
33,dok10.txt,WA,0.06060606060606061,0.5
34,dok81.txt,WA,0.058823529411764705,0.5
35,dok365.txt,WA,0.05714285714285714,0.5
36,dok206.txt,AC,0.08333333333333333,0.75
37,dok269.txt,WA,0.08108108108108109,0.75
38,dok367.txt,WA,0.07894736842105263,0.75
39,dok304.txt,WA,0.07692307692307693,0.75
40,dok179.txt,WA,0.075,0.75
41,dok186.txt,AC,0.0975609756097561,1.0
42,dok393.txt,WA,0.09523809523809523,1.0
43,dok399.txt,WA,0.09302325581395349,1.0
44,dok80.txt,WA,0.09090909090909091,1.0
45,dok9.txt,WA,0.08888888888888889,1.0
46,dok6.txt,WA,0.08695652173913043,1.0
47,dok77.txt,WA,0.0851063829787234,1.0
48,dok132.txt,WA,0.08333333333333333,1.0
49,dok61.txt,WA,0.08163265306122448,1.0
50,dok234.txt,WA,0.08,1.0
average precision,0.04792752018620633
