rank,document,verdict
1,dok171.txt,AC
2,dok346.txt,AC
3,dok200.txt,AC
4,dok111.txt,AC
5,dok40.txt,AC
6,dok393.txt,WA
7,dok5.txt,WA
8,dok76.txt,WA
9,dok330.txt,WA
10,dok208.txt,WA
11,dok384.txt,WA
12,dok268.txt,WA
13,dok325.txt,WA
14,dok102.txt,WA
15,dok12.txt,WA
16,dok31.txt,WA
17,dok83.txt,WA
18,dok20.txt,WA
19,dok91.txt,WA
20,dok331.txt,WA
21,dok142.txt,WA
22,dok221.txt,WA
23,dok391.txt,WA
24,dok71.txt,WA
25,dok139.txt,WA
26,dok343.txt,WA
27,dok68.txt,WA
28,dok13.txt,WA
29,dok84.txt,WA
30,dok394.txt,WA
31,dok342.txt,WA
32,dok333.txt,WA
33,dok113.txt,WA
34,dok42.txt,WA
35,dok389.txt,WA
36,dok375.txt,WA
37,dok180.txt,WA
38,dok371.txt,WA
39,dok382.txt,WA
40,dok27.txt,WA
41,dok98.txt,WA
42,dok385.txt,WA
43,dok239.txt,WA
44,dok240.txt,WA
45,dok246.txt,WA
46,dok80.txt,WA
47,dok9.txt,WA
48,dok140.txt,WA
49,dok69.txt,WA
50,dok237.txt,WA
51,dok263.txt,WA
52,dok313.txt,WA
53,dok137.txt,WA
54,dok254.txt,WA
55,dok355.txt,WA
56,dok387.txt,WA
57,dok66.txt,WA
58,dok295.txt,WA
59,dok344.txt,WA
60,dok233.txt,WA
61,dok10.txt,WA
62,dok220.txt,WA
63,dok270.txt,WA
64,dok81.txt,WA
65,dok235.txt,WA
66,dok271.txt,WA
67,dok273.txt,WA
68,dok304.txt,WA
69,dok315.txt,WA
70,dok327.txt,WA
71,dok364.txt,WA
72,dok25.txt,WA
73,dok96.txt,WA
74,dok141.txt,WA
75,dok230.txt,WA
76,dok376.txt,WA
77,dok379.txt,WA
78,dok70.txt,WA
79,dok117.txt,WA
80,dok132.txt,WA
81,dok152.txt,WA
82,dok282.txt,WA
83,dok340.txt,WA
84,dok358.txt,WA
85,dok361.txt,WA
86,dok392.txt,WA
87,dok46.txt,WA
88,dok61.txt,WA
89,dok11.txt,WA
90,dok82.txt,WA
91,dok115.txt,WA
92,dok213.txt,WA
93,dok400.txt,WA
94,dok44.txt,WA
95,dok397.txt,WA
96,dok120.txt,WA
97,dok157.txt,WA
98,dok166.txt,WA
99,dok191.txt,WA
100,dok192.txt,WA
