rank,document,verdict
1,dok253.txt,AC
2,dok257.txt,AC
3,dok205.txt,WA
4,dok249.txt,WA
5,dok275.txt,WA
6,dok210.txt,AC
7,dok400.txt,AC
8,dok219.txt,WA
9,dok231.txt,WA
10,dok351.txt,WA
11,dok126.txt,WA
12,dok55.txt,WA
13,dok399.txt,WA
14,dok183.txt,WA
15,dok353.txt,WA
16,dok201.txt,WA
17,dok338.txt,WA
18,dok336.txt,WA
19,dok6.txt,WA
20,dok77.txt,WA
21,dok216.txt,WA
22,dok102.txt,WA
23,dok31.txt,WA
24,dok384.txt,WA
25,dok268.txt,WA
26,dok325.txt,WA
27,dok149.txt,WA
28,dok370.txt,WA
29,dok394.txt,WA
30,dok274.txt,WA
31,dok151.txt,WA
32,dok402.txt,WA
33,dok310.txt,WA
34,dok3.txt,WA
35,dok74.txt,WA
36,dok347.txt,WA
37,dok393.txt,WA
38,dok108.txt,WA
39,dok37.txt,WA
40,dok293.txt,WA
41,dok190.txt,WA
42,dok301.txt,WA
43,dok157.txt,WA
44,dok267.txt,WA
45,dok308.txt,WA
46,dok12.txt,WA
47,dok83.txt,WA
48,dok186.txt,WA
49,dok24.txt,WA
50,dok95.txt,WA
