rank,document,verdict,Precision,Recall
1,dok386.txt,WA,0.0,0.0
2,dok11.txt,WA,0.0,0.0
3,dok82.txt,WA,0.0,0.0
4,dok248.txt,AC,0.25,0.2
5,dok402.txt,AC,0.4,0.4
6,dok204.txt,WA,0.3333333333333333,0.4
7,dok183.txt,WA,0.2857142857142857,0.4
8,dok342.txt,WA,0.25,0.4
9,dok201.txt,AC,0.3333333333333333,0.6
10,dok215.txt,WA,0.3,0.6
11,dok132.txt,WA,0.2727272727272727,0.6
12,dok61.txt,WA,0.25,0.6
13,dok142.txt,WA,0.23076923076923078,0.6
14,dok71.txt,WA,0.21428571428571427,0.6
15,dok393.txt,WA,0.2,0.6
16,dok365.txt,AC,0.25,0.8
17,dok334.txt,WA,0.23529411764705882,0.8
18,dok177.txt,WA,0.2222222222222222,0.8
19,dok363.txt,WA,0.21052631578947367,0.8
20,dok218.txt,WA,0.2,0.8
21,dok23.txt,WA,0.19047619047619047,0.8
22,dok94.txt,WA,0.18181818181818182,0.8
23,dok203.txt,WA,0.17391304347826086,0.8
24,dok103.txt,WA,0.16666666666666666,0.8
25,dok32.txt,WA,0.16,0.8
26,dok230.txt,WA,0.15384615384615385,0.8
27,dok394.txt,WA,0.14814814814814814,0.8
28,dok232.txt,WA,0.14285714285714285,0.8
29,dok383.txt,WA,0.13793103448275862,0.8
30,dok343.txt,WA,0.13333333333333333,0.8
31,dok162.txt,WA,0.12903225806451613,0.8
32,dok18.txt,WA,0.125,0.8
33,dok89.txt,WA,0.12121212121212122,0.8
34,dok155.txt,WA,0.11764705882352941,0.8
35,dok28.txt,WA,0.11428571428571428,0.8
36,dok99.txt,WA,0.1111111111111111,0.8
37,dok399.txt,WA,0.10810810810810811,0.8
38,dok113.txt,WA,0.10526315789473684,0.8
39,dok42.txt,WA,0.10256410256410256,0.8
40,dok236.txt,WA,0.1,0.8
41,dok331.txt,WA,0.0975609756097561,0.8
42,dok255.txt,AC,0.11904761904761904,1.0
43,dok263.txt,WA,0.11627906976744186,1.0
44,dok397.txt,WA,0.11363636363636363,1.0
45,dok7.txt,WA,0.1111111111111111,1.0
46,dok78.txt,WA,0.10869565217391304,1.0
47,dok387.txt,WA,0.10638297872340426,1.0
48,dok140.txt,WA,0.10416666666666667,1.0
49,dok69.txt,WA,0.10204081632653061,1.0
50,dok136.txt,WA,0.1,1.0
average precision,0.16480681212111012
