rank,document,verdict
1,dok298.txt,AC
2,dok344.txt,AC
3,dok235.txt,AC
4,dok358.txt,AC
5,dok402.txt,WA
6,dok184.txt,WA
7,dok314.txt,AC
8,dok376.txt,AC
9,dok339.txt,WA
10,dok365.txt,WA
11,dok379.txt,AC
12,dok399.txt,WA
13,dok248.txt,WA
14,dok352.txt,WA
15,dok275.txt,WA
16,dok232.txt,WA
17,dok149.txt,WA
18,dok216.txt,WA
19,dok293.txt,WA
20,dok214.txt,WA
21,dok204.txt,WA
22,dok247.txt,WA
23,dok169.txt,WA
24,dok110.txt,WA
25,dok39.txt,WA
26,dok338.txt,WA
27,dok227.txt,WA
28,dok253.txt,WA
29,dok375.txt,WA
30,dok363.txt,WA
31,dok166.txt,WA
32,dok190.txt,WA
33,dok140.txt,WA
34,dok69.txt,WA
35,dok139.txt,WA
36,dok68.txt,WA
37,dok215.txt,WA
38,dok394.txt,WA
39,dok340.txt,WA
40,dok307.txt,WA
41,dok210.txt,WA
42,dok123.txt,WA
43,dok52.txt,WA
44,dok359.txt,WA
45,dok228.txt,WA
46,dok103.txt,WA
47,dok32.txt,WA
48,dok233.txt,WA
49,dok301.txt,WA
50,dok218.txt,WA
51,dok151.txt,WA
52,dok310.txt,WA
53,dok378.txt,WA
54,dok269.txt,WA
55,dok197.txt,WA
56,dok161.txt,WA
57,dok200.txt,WA
58,dok175.txt,WA
59,dok360.txt,WA
60,dok347.txt,WA
61,dok369.txt,WA
62,dok148.txt,WA
63,dok374.txt,WA
64,dok135.txt,WA
65,dok64.txt,WA
66,dok174.txt,WA
67,dok345.txt,WA
68,dok242.txt,WA
69,dok357.txt,WA
70,dok400.txt,WA
71,dok343.txt,WA
72,dok187.txt,WA
73,dok177.txt,WA
74,dok191.txt,WA
75,dok326.txt,WA
76,dok313.txt,WA
77,dok117.txt,WA
78,dok46.txt,WA
79,dok195.txt,WA
80,dok273.txt,WA
81,dok315.txt,WA
82,dok372.txt,WA
83,dok111.txt,WA
84,dok40.txt,WA
85,dok367.txt,WA
86,dok106.txt,WA
87,dok35.txt,WA
88,dok368.txt,WA
89,dok288.txt,WA
90,dok401.txt,WA
91,dok350.txt,WA
92,dok142.txt,WA
93,dok71.txt,WA
94,dok192.txt,WA
95,dok377.txt,WA
96,dok396.txt,WA
97,dok198.txt,WA
98,dok349.txt,WA
99,dok104.txt,WA
100,dok283.txt,WA
