rank,document,verdict,Precision,Recall
1,dok113.txt,WA,0.0,0.0
2,dok42.txt,WA,0.0,0.0
3,dok331.txt,WA,0.0,0.0
4,dok387.txt,WA,0.0,0.0
5,dok23.txt,WA,0.0,0.0
6,dok94.txt,WA,0.0,0.0
7,dok383.txt,WA,0.0,0.0
8,dok142.txt,AC,0.125,0.25
9,dok71.txt,AC,0.2222222222222222,0.5
10,dok334.txt,WA,0.2,0.5
11,dok342.txt,WA,0.18181818181818182,0.5
12,dok389.txt,WA,0.16666666666666666,0.5
13,dok140.txt,WA,0.15384615384615385,0.5
14,dok69.txt,WA,0.14285714285714285,0.5
15,dok343.txt,AC,0.2,0.75
16,dok394.txt,AC,0.25,1.0
17,dok237.txt,WA,0.23529411764705882,1.0
18,dok24.txt,WA,0.2222222222222222,1.0
19,dok95.txt,WA,0.21052631578947367,1.0
20,dok20.txt,WA,0.2,1.0
21,dok91.txt,WA,0.19047619047619047,1.0
22,dok311.txt,WA,0.18181818181818182,1.0
23,dok173.txt,WA,0.17391304347826086,1.0
24,dok323.txt,WA,0.16666666666666666,1.0
25,dok390.txt,WA,0.16,1.0
26,dok80.txt,WA,0.15384615384615385,1.0
27,dok9.txt,WA,0.14814814814814814,1.0
28,dok103.txt,WA,0.14285714285714285,1.0
29,dok32.txt,WA,0.13793103448275862,1.0
30,dok148.txt,WA,0.13333333333333333,1.0
31,dok285.txt,WA,0.12903225806451613,1.0
32,dok352.txt,WA,0.125,1.0
33,dok268.txt,WA,0.12121212121212122,1.0
34,dok325.txt,WA,0.11764705882352941,1.0
35,dok355.txt,WA,0.11428571428571428,1.0
36,dok241.txt,WA,0.1111111111111111,1.0
37,dok245.txt,WA,0.10810810810810811,1.0
38,dok6.txt,WA,0.10526315789473684,1.0
39,dok77.txt,WA,0.10256410256410256,1.0
40,dok379.txt,WA,0.1,1.0
41,dok28.txt,WA,0.0975609756097561,1.0
42,dok99.txt,WA,0.09523809523809523,1.0
43,dok282.txt,WA,0.09302325581395349,1.0
44,dok265.txt,WA,0.09090909090909091,1.0
45,dok322.txt,WA,0.08888888888888889,1.0
46,dok388.txt,WA,0.08695652173913043,1.0
47,dok10.txt,WA,0.0851063829787234,1.0
48,dok81.txt,WA,0.08333333333333333,1.0
49,dok312.txt,WA,0.08163265306122448,1.0
50,dok271.txt,WA,0.08,1.0
average precision,0.12232631495624186
