rank,document,verdict
1,dok184.txt,WA
2,dok339.txt,WA
3,dok204.txt,AC
4,dok378.txt,WA
5,dok389.txt,WA
6,dok365.txt,WA
7,dok248.txt,WA
8,dok402.txt,AC
9,dok238.txt,WA
10,dok298.txt,WA
11,dok255.txt,WA
12,dok243.txt,WA
13,dok305.txt,WA
14,dok335.txt,WA
15,dok373.txt,WA
16,dok397.txt,WA
17,dok252.txt,WA
18,dok123.txt,WA
19,dok52.txt,WA
20,dok194.txt,WA
21,dok250.txt,WA
22,dok359.txt,WA
23,dok107.txt,WA
24,dok36.txt,WA
25,dok207.txt,WA
26,dok27.txt,WA
27,dok98.txt,WA
28,dok394.txt,WA
29,dok114.txt,WA
30,dok43.txt,WA
31,dok108.txt,WA
32,dok37.txt,WA
33,dok236.txt,WA
34,dok16.txt,WA
35,dok87.txt,WA
36,dok258.txt,WA
37,dok266.txt,WA
38,dok102.txt,WA
39,dok31.txt,WA
40,dok263.txt,WA
41,dok333.txt,WA
42,dok254.txt,WA
43,dok183.txt,WA
44,dok234.txt,WA
45,dok244.txt,WA
46,dok240.txt,WA
47,dok344.txt,WA
48,dok110.txt,WA
49,dok39.txt,WA
50,dok282.txt,WA
51,dok23.txt,WA
52,dok94.txt,WA
53,dok26.txt,WA
54,dok97.txt,WA
55,dok372.txt,WA
56,dok1.txt,WA
57,dok72.txt,WA
58,dok105.txt,WA
59,dok34.txt,WA
60,dok176.txt,WA
61,dok136.txt,WA
62,dok65.txt,WA
63,dok235.txt,WA
64,dok380.txt,WA
65,dok246.txt,WA
66,dok115.txt,WA
67,dok44.txt,WA
68,dok201.txt,WA
69,dok211.txt,WA
70,dok354.txt,WA
71,dok219.txt,WA
72,dok376.txt,WA
73,dok387.txt,WA
74,dok24.txt,WA
75,dok95.txt,WA
76,dok209.txt,WA
77,dok270.txt,WA
78,dok174.txt,WA
79,dok216.txt,WA
80,dok237.txt,WA
81,dok345.txt,WA
82,dok4.txt,WA
83,dok75.txt,WA
84,dok352.txt,WA
85,dok134.txt,WA
86,dok63.txt,WA
87,dok390.txt,WA
88,dok241.txt,WA
89,dok384.txt,WA
90,dok157.txt,WA
91,dok165.txt,WA
92,dok17.txt,WA
93,dok88.txt,WA
94,dok330.txt,WA
95,dok353.txt,WA
96,dok269.txt,WA
97,dok334.txt,WA
98,dok368.txt,WA
99,dok6.txt,WA
100,dok77.txt,WA
