rank,document,verdict
1,dok18.txt,AC
2,dok89.txt,AC
3,dok264.txt,WA
4,dok350.txt,WA
5,dok190.txt,WA
6,dok242.txt,WA
7,dok301.txt,WA
8,dok357.txt,WA
9,dok370.txt,WA
10,dok256.txt,WA
11,dok366.txt,WA
12,dok270.txt,WA
13,dok267.txt,WA
14,dok308.txt,WA
15,dok379.txt,WA
16,dok400.txt,WA
17,dok181.txt,WA
18,dok337.txt,WA
19,dok373.txt,WA
20,dok11.txt,WA
21,dok82.txt,WA
22,dok393.txt,WA
23,dok253.txt,WA
24,dok151.txt,WA
25,dok310.txt,WA
26,dok214.txt,WA
27,dok152.txt,WA
28,dok365.txt,WA
29,dok208.txt,WA
30,dok344.txt,WA
31,dok166.txt,WA
32,dok192.txt,WA
33,dok127.txt,WA
34,dok56.txt,WA
35,dok135.txt,WA
36,dok64.txt,WA
37,dok237.txt,WA
38,dok247.txt,WA
39,dok232.txt,WA
40,dok360.txt,WA
41,dok363.txt,WA
42,dok107.txt,WA
43,dok36.txt,WA
44,dok125.txt,WA
45,dok235.txt,WA
46,dok243.txt,WA
47,dok288.txt,WA
48,dok54.txt,WA
49,dok148.txt,WA
50,dok285.txt,WA
