rank,document,verdict
1,dok274.txt,WA
2,dok157.txt,WA
3,dok290.txt,WA
4,dok21.txt,WA
5,dok92.txt,WA
6,dok22.txt,WA
7,dok93.txt,WA
8,dok25.txt,WA
9,dok96.txt,WA
10,dok261.txt,WA
11,dok126.txt,WA
12,dok55.txt,WA
13,dok127.txt,WA
14,dok56.txt,WA
15,dok124.txt,AC
16,dok53.txt,AC
17,dok328.txt,WA
18,dok263.txt,WA
19,dok11.txt,WA
20,dok82.txt,WA
21,dok113.txt,WA
22,dok42.txt,WA
23,dok302.txt,WA
24,dok1.txt,WA
25,dok72.txt,WA
26,dok121.txt,WA
27,dok50.txt,WA
28,dok6.txt,WA
29,dok77.txt,WA
30,dok102.txt,WA
31,dok31.txt,WA
32,dok331.txt,WA
33,dok380.txt,WA
34,dok112.txt,WA
35,dok41.txt,WA
36,dok279.txt,WA
37,dok268.txt,WA
38,dok325.txt,WA
39,dok159.txt,WA
40,dok361.txt,WA
41,dok20.txt,WA
42,dok91.txt,WA
43,dok24.txt,WA
44,dok95.txt,WA
45,dok26.txt,WA
46,dok97.txt,WA
47,dok355.txt,WA
48,dok2.txt,WA
49,dok73.txt,WA
50,dok262.txt,WA
51,dok278.txt,WA
52,dok333.txt,WA
53,dok4.txt,WA
54,dok75.txt,WA
55,dok265.txt,WA
56,dok322.txt,WA
57,dok224.txt,WA
58,dok385.txt,WA
59,dok303.txt,WA
60,dok176.txt,WA
61,dok371.txt,WA
62,dok80.txt,WA
63,dok9.txt,WA
64,dok390.txt,WA
65,dok197.txt,WA
66,dok292.txt,WA
67,dok386.txt,WA
68,dok114.txt,WA
69,dok43.txt,WA
70,dok129.txt,WA
71,dok58.txt,WA
72,dok396.txt,WA
73,dok162.txt,WA
74,dok393.txt,WA
75,dok186.txt,WA
76,dok258.txt,WA
77,dok116.txt,WA
78,dok45.txt,WA
79,dok125.txt,WA
80,dok54.txt,WA
81,dok259.txt,WA
82,dok392.txt,WA
83,dok10.txt,WA
84,dok81.txt,WA
85,dok383.txt,WA
86,dok332.txt,WA
87,dok131.txt,WA
88,dok60.txt,WA
89,dok300.txt,WA
90,dok305.txt,WA
91,dok372.txt,WA
92,dok387.txt,WA
93,dok363.txt,WA
94,dok119.txt,WA
95,dok48.txt,WA
96,dok382.txt,WA
97,dok23.txt,WA
98,dok94.txt,WA
99,dok165.txt,WA
100,dok17.txt,WA
