rank,document,verdict,Precision,Recall
1,dok338.txt,WA,0.0,0.0
2,dok298.txt,AC,0.5,0.14285714285714285
3,dok399.txt,WA,0.3333333333333333,0.14285714285714285
4,dok358.txt,AC,0.5,0.2857142857142857
5,dok219.txt,WA,0.4,0.2857142857142857
6,dok314.txt,AC,0.5,0.42857142857142855
7,dok134.txt,WA,0.42857142857142855,0.42857142857142855
8,dok63.txt,WA,0.375,0.42857142857142855
9,dok222.txt,WA,0.3333333333333333,0.42857142857142855
10,dok344.txt,AC,0.4,0.5714285714285714
11,dok149.txt,WA,0.36363636363636365,0.5714285714285714
12,dok376.txt,AC,0.4166666666666667,0.7142857142857143
13,dok235.txt,AC,0.46153846153846156,0.8571428571428571
14,dok197.txt,WA,0.42857142857142855,0.8571428571428571
15,dok372.txt,WA,0.4,0.8571428571428571
16,dok360.txt,WA,0.375,0.8571428571428571
17,dok379.txt,AC,0.4117647058823529,1.0
18,dok187.txt,WA,0.3888888888888889,1.0
19,dok350.txt,WA,0.3684210526315789,1.0
20,dok352.txt,WA,0.35,1.0
21,dok340.txt,WA,0.3333333333333333,1.0
22,dok293.txt,WA,0.3181818181818182,1.0
23,dok359.txt,WA,0.30434782608695654,1.0
24,dok169.txt,WA,0.2916666666666667,1.0
25,dok233.txt,WA,0.28,1.0
26,dok107.txt,WA,0.2692307692307692,1.0
27,dok36.txt,WA,0.25925925925925924,1.0
28,dok292.txt,WA,0.25,1.0
29,dok347.txt,WA,0.2413793103448276,1.0
30,dok375.txt,WA,0.23333333333333334,1.0
31,dok216.txt,WA,0.22580645161290322,1.0
32,dok166.txt,WA,0.21875,1.0
33,dok190.txt,WA,0.21212121212121213,1.0
34,dok380.txt,WA,0.20588235294117646,1.0
35,dok116.txt,WA,0.2,1.0
36,dok45.txt,WA,0.19444444444444445,1.0
37,dok165.txt,WA,0.1891891891891892,1.0
38,dok17.txt,WA,0.18421052631578946,1.0
39,dok88.txt,WA,0.1794871794871795,1.0
40,dok302.txt,WA,0.175,1.0
41,dok123.txt,WA,0.17073170731707318,1.0
42,dok52.txt,WA,0.16666666666666666,1.0
43,dok159.txt,WA,0.16279069767441862,1.0
44,dok305.txt,WA,0.1590909090909091,1.0
45,dok373.txt,WA,0.15555555555555556,1.0
46,dok299.txt,WA,0.15217391304347827,1.0
47,dok336.txt,WA,0.14893617021276595,1.0
48,dok22.txt,WA,0.14583333333333334,1.0
49,dok93.txt,WA,0.14285714285714285,1.0
50,dok228.txt,WA,0.14,1.0
average precision,0.28089970862708075
