rank,document,verdict
1,dok267.txt,WA
2,dok308.txt,WA
3,dok264.txt,AC
4,dok166.txt,WA
5,dok400.txt,AC
6,dok364.txt,WA
7,dok363.txt,WA
8,dok253.txt,AC
9,dok232.txt,WA
10,dok262.txt,WA
11,dok278.txt,WA
12,dok256.txt,AC
13,dok366.txt,AC
14,dok258.txt,WA
15,dok201.txt,WA
16,dok370.txt,WA
17,dok399.txt,WA
18,dok127.txt,WA
19,dok56.txt,WA
20,dok402.txt,WA
21,dok135.txt,WA
22,dok64.txt,WA
23,dok381.txt,WA
24,dok384.txt,WA
25,dok269.txt,WA
26,dok360.txt,WA
27,dok350.txt,WA
28,dok190.txt,WA
29,dok242.txt,WA
30,dok270.txt,WA
31,dok301.txt,WA
32,dok357.txt,WA
33,dok213.txt,WA
34,dok132.txt,WA
35,dok61.txt,WA
36,dok224.txt,WA
37,dok386.txt,WA
38,dok197.txt,WA
39,dok107.txt,WA
40,dok36.txt,WA
41,dok226.txt,WA
42,dok320.txt,WA
43,dok321.txt,WA
44,dok341.txt,WA
45,dok368.txt,WA
46,dok109.txt,WA
47,dok38.txt,WA
48,dok203.txt,WA
49,dok183.txt,WA
50,dok101.txt,WA
51,dok30.txt,WA
52,dok186.txt,WA
53,dok385.txt,WA
54,dok376.txt,WA
55,dok151.txt,WA
56,dok11.txt,WA
57,dok217.txt,WA
58,dok82.txt,WA
59,dok318.txt,WA
60,dok187.txt,WA
61,dok383.txt,WA
62,dok310.txt,WA
63,dok397.txt,WA
64,dok184.txt,WA
65,dok220.txt,WA
66,dok339.txt,WA
67,dok214.txt,WA
68,dok210.txt,WA
69,dok100.txt,WA
70,dok181.txt,WA
71,dok29.txt,WA
72,dok337.txt,WA
73,dok200.txt,WA
74,dok274.txt,WA
75,dok136.txt,WA
76,dok65.txt,WA
77,dok204.txt,WA
78,dok150.txt,WA
79,dok169.txt,WA
80,dok393.txt,WA
81,dok373.txt,WA
82,dok178.txt,WA
83,dok198.txt,WA
84,dok7.txt,WA
85,dok78.txt,WA
86,dok329.txt,WA
87,dok192.txt,WA
88,dok16.txt,WA
89,dok266.txt,WA
90,dok377.txt,WA
91,dok87.txt,WA
92,dok18.txt,WA
93,dok89.txt,WA
94,dok401.txt,WA
95,dok365.txt,WA
96,dok275.txt,WA
97,dok12.txt,WA
98,dok124.txt,WA
99,dok138.txt,WA
100,dok53.txt,WA
