rank,document,verdict,Precision,Recall
1,dok396.txt,AC,1.0,0.16666666666666666
2,dok274.txt,WA,0.5,0.16666666666666666
3,dok2.txt,AC,0.6666666666666666,0.3333333333333333
4,dok73.txt,AC,0.75,0.5
5,dok15.txt,AC,0.8,0.6666666666666666
6,dok86.txt,AC,0.8333333333333334,0.8333333333333334
7,dok304.txt,AC,0.8571428571428571,1.0
8,dok6.txt,WA,0.75,1.0
9,dok77.txt,WA,0.6666666666666666,1.0
10,dok1.txt,WA,0.6,1.0
11,dok72.txt,WA,0.5454545454545454,1.0
12,dok80.txt,WA,0.5,1.0
13,dok9.txt,WA,0.46153846153846156,1.0
14,dok25.txt,WA,0.42857142857142855,1.0
15,dok96.txt,WA,0.4,1.0
16,dok19.txt,WA,0.375,1.0
17,dok90.txt,WA,0.35294117647058826,1.0
18,dok303.txt,WA,0.3333333333333333,1.0
19,dok365.txt,WA,0.3157894736842105,1.0
20,dok383.txt,WA,0.3,1.0
21,dok397.txt,WA,0.2857142857142857,1.0
22,dok157.txt,WA,0.2727272727272727,1.0
23,dok126.txt,WA,0.2608695652173913,1.0
24,dok55.txt,WA,0.25,1.0
25,dok127.txt,WA,0.24,1.0
26,dok56.txt,WA,0.23076923076923078,1.0
27,dok121.txt,WA,0.2222222222222222,1.0
28,dok50.txt,WA,0.21428571428571427,1.0
29,dok280.txt,WA,0.20689655172413793,1.0
30,dok309.txt,WA,0.2,1.0
31,dok260.txt,WA,0.1935483870967742,1.0
32,dok11.txt,WA,0.1875,1.0
33,dok82.txt,WA,0.18181818181818182,1.0
34,dok13.txt,WA,0.17647058823529413,1.0
35,dok84.txt,WA,0.17142857142857143,1.0
36,dok10.txt,WA,0.16666666666666666,1.0
37,dok81.txt,WA,0.16216216216216217,1.0
38,dok268.txt,WA,0.15789473684210525,1.0
39,dok325.txt,WA,0.15384615384615385,1.0
40,dok179.txt,WA,0.15,1.0
41,dok386.txt,WA,0.14634146341463414,1.0
42,dok262.txt,WA,0.14285714285714285,1.0
43,dok278.txt,WA,0.13953488372093023,1.0
44,dok176.txt,WA,0.13636363636363635,1.0
45,dok3.txt,WA,0.13333333333333333,1.0
46,dok74.txt,WA,0.13043478260869565,1.0
47,dok392.txt,WA,0.1276595744680851,1.0
48,dok79.txt,WA,0.125,1.0
49,dok8.txt,WA,0.12244897959183673,1.0
50,dok384.txt,WA,0.12,1.0
average precision,0.336904640599531
