rank,document,verdict
1,dok188.txt,AC
2,dok131.txt,AC
3,dok60.txt,AC
4,dok388.txt,WA
5,dok24.txt,WA
6,dok95.txt,WA
7,dok28.txt,WA
8,dok99.txt,AC
9,dok79.txt,WA
10,dok8.txt,WA
11,dok353.txt,WA
12,dok203.txt,WA
13,dok101.txt,WA
14,dok30.txt,WA
15,dok374.txt,WA
16,dok165.txt,WA
17,dok17.txt,WA
18,dok88.txt,WA
19,dok113.txt,WA
20,dok42.txt,WA
21,dok202.txt,WA
22,dok193.txt,WA
23,dok189.txt,WA
24,dok319.txt,WA
25,dok159.txt,WA
26,dok111.txt,WA
27,dok40.txt,WA
28,dok261.txt,WA
29,dok166.txt,WA
30,dok217.txt,WA
31,dok394.txt,WA
32,dok142.txt,WA
33,dok71.txt,WA
34,dok297.txt,WA
35,dok134.txt,WA
36,dok63.txt,WA
37,dok115.txt,WA
38,dok44.txt,WA
39,dok177.txt,WA
40,dok129.txt,WA
41,dok58.txt,WA
42,dok270.txt,WA
43,dok373.txt,WA
44,dok136.txt,WA
45,dok65.txt,WA
46,dok397.txt,WA
47,dok214.txt,WA
48,dok146.txt,WA
49,dok185.txt,WA
50,dok207.txt,WA
51,dok375.txt,WA
52,dok253.txt,WA
53,dok172.txt,WA
54,dok124.txt,WA
55,dok53.txt,WA
56,dok183.txt,WA
57,dok280.txt,WA
58,dok331.txt,WA
59,dok266.txt,WA
60,dok272.txt,WA
61,dok16.txt,WA
62,dok87.txt,WA
63,dok306.txt,WA
64,dok229.txt,WA
65,dok348.txt,WA
66,dok313.txt,WA
67,dok271.txt,WA
68,dok327.txt,WA
69,dok175.txt,WA
70,dok20.txt,WA
71,dok91.txt,WA
72,dok162.txt,WA
73,dok240.txt,WA
74,dok377.txt,WA
75,dok401.txt,WA
76,dok190.txt,WA
77,dok385.txt,WA
78,dok381.txt,WA
79,dok176.txt,WA
80,dok200.txt,WA
81,dok209.txt,WA
82,dok226.txt,WA
83,dok275.txt,WA
84,dok365.txt,WA
85,dok335.txt,WA
86,dok320.txt,WA
87,dok321.txt,WA
88,dok7.txt,WA
89,dok78.txt,WA
90,dok21.txt,WA
91,dok92.txt,WA
92,dok243.txt,WA
93,dok231.txt,WA
94,dok351.txt,WA
95,dok245.txt,WA
96,dok196.txt,WA
97,dok130.txt,WA
98,dok59.txt,WA
99,dok218.txt,WA
100,dok157.txt,WA
