rank,document,verdict
1,dok274.txt,WA
2,dok27.txt,WA
3,dok98.txt,WA
4,dok255.txt,WA
5,dok236.txt,WA
6,dok389.txt,WA
7,dok117.txt,WA
8,dok46.txt,WA
9,dok238.txt,WA
10,dok198.txt,WA
11,dok201.txt,WA
12,dok227.txt,WA
13,dok204.txt,WA
14,dok248.txt,WA
15,dok402.txt,WA
16,dok163.txt,WA
17,dok145.txt,AC
18,dok20.txt,WA
19,dok91.txt,WA
20,dok333.txt,WA
21,dok362.txt,AC
22,dok276.txt,AC
23,dok214.txt,WA
24,dok385.txt,WA
25,dok355.txt,WA
26,dok384.txt,WA
27,dok17.txt,WA
28,dok88.txt,WA
29,dok230.txt,AC
30,dok393.txt,WA
31,dok102.txt,WA
32,dok31.txt,WA
33,dok11.txt,WA
34,dok82.txt,WA
35,dok213.txt,WA
36,dok296.txt,AC
37,dok113.txt,WA
38,dok42.txt,WA
39,dok263.txt,WA
40,dok262.txt,WA
41,dok278.txt,WA
42,dok261.txt,WA
43,dok174.txt,WA
44,dok345.txt,WA
45,dok139.txt,WA
46,dok68.txt,WA
47,dok281.txt,AC
48,dok252.txt,WA
49,dok200.txt,WA
50,dok209.txt,WA
