rank,document,verdict,Precision,Recall
1,dok184.txt,WA,0.0,0.0
2,dok339.txt,WA,0.0,0.0
3,dok386.txt,WA,0.0,0.0
4,dok378.txt,WA,0.0,0.0
5,dok232.txt,WA,0.0,0.0
6,dok217.txt,WA,0.0,0.0
7,dok214.txt,WA,0.0,0.0
8,dok363.txt,WA,0.0,0.0
9,dok248.txt,WA,0.0,0.0
10,dok104.txt,WA,0.0,0.0
11,dok33.txt,WA,0.0,0.0
12,dok264.txt,AC,0.08333333333333333,0.125
13,dok402.txt,WA,0.07692307692307693,0.125
14,dok176.txt,WA,0.07142857142857142,0.125
15,dok400.txt,AC,0.13333333333333333,0.25
16,dok256.txt,AC,0.1875,0.375
17,dok366.txt,AC,0.23529411764705882,0.5
18,dok364.txt,WA,0.2222222222222222,0.5
19,dok298.txt,WA,0.21052631578947367,0.5
20,dok399.txt,WA,0.2,0.5
21,dok396.txt,WA,0.19047619047619047,0.5
22,dok204.txt,WA,0.18181818181818182,0.5
23,dok103.txt,WA,0.17391304347826086,0.5
24,dok32.txt,WA,0.16666666666666666,0.5
25,dok371.txt,WA,0.16,0.5
26,dok253.txt,AC,0.19230769230769232,0.625
27,dok359.txt,WA,0.18518518518518517,0.625
28,dok2.txt,WA,0.17857142857142858,0.625
29,dok73.txt,WA,0.1724137931034483,0.625
30,dok377.txt,WA,0.16666666666666666,0.625
31,dok262.txt,WA,0.16129032258064516,0.625
32,dok278.txt,WA,0.15625,0.625
33,dok393.txt,WA,0.15151515151515152,0.625
34,dok267.txt,AC,0.17647058823529413,0.75
35,dok308.txt,AC,0.2,0.875
36,dok269.txt,AC,0.2222222222222222,1.0
37,dok11.txt,WA,0.21621621621621623,1.0
38,dok82.txt,WA,0.21052631578947367,1.0
39,dok151.txt,WA,0.20512820512820512,1.0
40,dok211.txt,WA,0.2,1.0
41,dok354.txt,WA,0.1951219512195122,1.0
42,dok310.txt,WA,0.19047619047619047,1.0
43,dok344.txt,WA,0.18604651162790697,1.0
44,dok263.txt,WA,0.18181818181818182,1.0
45,dok373.txt,WA,0.17777777777777778,1.0
46,dok307.txt,WA,0.17391304347826086,1.0
47,dok130.txt,WA,0.1702127659574468,1.0
48,dok59.txt,WA,0.16666666666666666,1.0
49,dok265.txt,WA,0.16326530612244897,1.0
50,dok322.txt,WA,0.16,1.0
51,dok215.txt,WA,0.1568627450980392,1.0
52,dok168.txt,WA,0.15384615384615385,1.0
53,dok123.txt,WA,0.1509433962264151,1.0
54,dok52.txt,WA,0.14814814814814814,1.0
55,dok26.txt,WA,0.14545454545454545,1.0
56,dok97.txt,WA,0.14285714285714285,1.0
57,dok166.txt,WA,0.14035087719298245,1.0
58,dok190.txt,WA,0.13793103448275862,1.0
59,dok301.txt,WA,0.13559322033898305,1.0
60,dok127.txt,WA,0.13333333333333333,1.0
61,dok56.txt,WA,0.13114754098360656,1.0
62,dok270.txt,WA,0.12903225806451613,1.0
63,dok16.txt,WA,0.12698412698412698,1.0
64,dok266.txt,WA,0.125,1.0
65,dok87.txt,WA,0.12307692307692308,1.0
66,dok235.txt,WA,0.12121212121212122,1.0
67,dok213.txt,WA,0.11940298507462686,1.0
68,dok192.txt,WA,0.11764705882352941,1.0
69,dok268.txt,WA,0.11594202898550725,1.0
70,dok302.txt,WA,0.11428571428571428,1.0
71,dok325.txt,WA,0.11267605633802817,1.0
72,dok303.txt,WA,0.1111111111111111,1.0
73,dok132.txt,WA,0.1095890410958904,1.0
74,dok61.txt,WA,0.10810810810810811,1.0
75,dok242.txt,WA,0.10666666666666667,1.0
76,dok357.txt,WA,0.10526315789473684,1.0
77,dok18.txt,WA,0.1038961038961039,1.0
78,dok360.txt,WA,0.10256410256410256,1.0
79,dok89.txt,WA,0.10126582278481013,1.0
80,dok197.txt,WA,0.1,1.0
81,dok218.txt,WA,0.09876543209876543,1.0
82,dok376.txt,WA,0.0975609756097561,1.0
83,dok350.txt,WA,0.0963855421686747,1.0
84,dok117.txt,WA,0.09523809523809523,1.0
85,dok46.txt,WA,0.09411764705882353,1.0
86,dok380.txt,WA,0.09302325581395349,1.0
87,dok80.txt,WA,0.09195402298850575,1.0
88,dok9.txt,WA,0.09090909090909091,1.0
89,dok10.txt,WA,0.0898876404494382,1.0
90,dok81.txt,WA,0.08888888888888889,1.0
91,dok161.txt,WA,0.08791208791208792,1.0
92,dok186.txt,WA,0.08695652173913043,1.0
93,dok19.txt,WA,0.08602150537634409,1.0
94,dok90.txt,WA,0.0851063829787234,1.0
95,dok203.txt,WA,0.08421052631578947,1.0
96,dok122.txt,WA,0.08333333333333333,1.0
97,dok51.txt,WA,0.08247422680412371,1.0
98,dok20.txt,WA,0.08163265306122448,1.0
99,dok91.txt,WA,0.08080808080808081,1.0
100,dok138.txt,WA,0.08,1.0
average precision,0.12358874670263953
