"urutan","pertanyaan","jawaban","verdict"
"1","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"2","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"3","Siapa presiden pada masa orde baru?","presiden soekarno","WA"
"4","Siapa presiden pada masa orde baru?","letjen soeharto","AC"
"5","Siapa presiden pada masa orde baru?","letjen soeharto","AC"
"6","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"7","Dimana konferensi asia afrika diselenggarakan?","jenewa","WA"
"8","Dimana konferensi asia afrika diselenggarakan?","kolombo","WA"
"9","Dimana konferensi asia afrika diselenggarakan?","kota bogor","WA"
"10","Dimana konferensi asia afrika diselenggarakan?","asia","WA"
"11","Siapa presiden pertama Indonesia?","roeslan abdul gani","WA"
"12","Siapa presiden pertama Indonesia?","negara negara komunis","WA"
"13","Siapa presiden pertama Indonesia?","negara negara blok nefo","WA"
"14","Siapa presiden pertama Indonesia?","negara negara blok nefo","WA"
"15","Siapa presiden pertama Indonesia?","negara negara sosialis komunis","WA"
"16","Kapan diponegoro wafat?","tanggal 8 januari 1855","AC"
"17","Kapan diponegoro wafat?","tanggal 8 januari 1855","AC"
"18","Kapan diponegoro wafat?","tanggal 6 november 1864","WA"
"19","Kapan diponegoro wafat?","tanggal 6 november 1864","WA"
"20","Kapan diponegoro wafat?","1825 1830","WA"
"21","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"22","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"23","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"24","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"25","Kapan perjanjian saragosa terjadi?","22 april 1529","AC"
"26","Kapan Budi Utomo didirikan?","tahun 1911","WA"
"27","Kapan Budi Utomo didirikan?","tahun 1911","WA"
"28","Kapan Budi Utomo didirikan?","1908 1942","WA"
"29","Kapan Budi Utomo didirikan?","tahun 1906","WA"
"30","Kapan Budi Utomo didirikan?","1920 1930","WA"
"31","Siapa pendiri Taman Siswa?","mahasiswa","WA"
"32","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"33","Siapa pendiri Taman Siswa?","pawiyatan wanito","WA"
"34","Siapa pendiri Taman Siswa?","kaum pribumi","WA"
"35","Siapa pendiri Taman Siswa?","sutomo","WA"
"36","Dimana letak kerajaan sriwijaya?","provinsi sumatera","AC"
"37","Dimana letak kerajaan sriwijaya?","india","WA"
"38","Dimana letak kerajaan sriwijaya?","india","WA"
"39","Dimana letak kerajaan sriwijaya?","sebelah utara langkasuka","WA"
"40","Dimana letak kerajaan sriwijaya?","jawa","WA"
"41","Kapan taman siswa didirikan?","1922","AC"
"42","Kapan taman siswa didirikan?","1922","AC"
"43","Kapan taman siswa didirikan?","1922","AC"
"44","Kapan taman siswa didirikan?","1922","AC"
"45","Kapan taman siswa didirikan?","1919","WA"
"46","dimana budi utomo didirikan?","batavia","AC"
"47","dimana budi utomo didirikan?","batavia","AC"
"48","dimana budi utomo didirikan?","batavia","AC"
"49","dimana budi utomo didirikan?","batavia","AC"
"50","dimana budi utomo didirikan?","batavia","AC"
"51","dimana taman siswa didirikan?","yogyakarta","AC"
"52","dimana taman siswa didirikan?","yogyakarta","AC"
"53","dimana taman siswa didirikan?","yogyakarta","AC"
"54","dimana taman siswa didirikan?","yogyakarta","AC"
"55","dimana taman siswa didirikan?","yogyakarta","AC"
"56","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"57","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"58","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"59","kapan konferensi asia afrika diselenggarakan?","bulan 18 24 april 1955","AC"
"60","kapan konferensi asia afrika diselenggarakan?","tanggal 18 24 april 1955","AC"
"61","kapan hayam wuruk wafat?","tahun 1350","WA"
"62","kapan hayam wuruk wafat?","1350 1389","AC"
"63","kapan hayam wuruk wafat?","tahun 1389","AC"
"64","kapan hayam wuruk wafat?","1350 1389","AC"
"65","kapan hayam wuruk wafat?","tahun 1389","AC"
"66","siapa wali songo yang menggunakan media pertunjukan wayang?","walisongo","WA"
"67","siapa wali songo yang menggunakan media pertunjukan wayang?","mubalig keliling","WA"
"68","siapa wali songo yang menggunakan media pertunjukan wayang?","walisongo","WA"
"69","siapa wali songo yang menggunakan media pertunjukan wayang?","mubalig keliling","WA"
"70","siapa wali songo yang menggunakan media pertunjukan wayang?","walisongo","WA"
"71","siapa pemimpin kerajaan tidore?","sultan kaicil buko","WA"
"72","siapa pemimpin kerajaan tidore?","sultan kaicil buko","WA"
"73","siapa pemimpin kerajaan tidore?","sultan mansur","AC"
"74","siapa pemimpin kerajaan tidore?","sultan sarajati","WA"
"75","siapa pemimpin kerajaan tidore?","sultan kaicil buko","WA"
"76","kapan belanda datang ke maluku?","tahun 1178","WA"
"77","kapan belanda datang ke maluku?","tahun 1178","WA"
"78","kapan belanda datang ke maluku?","2000","WA"
"79","kapan belanda datang ke maluku?","tahun 671","WA"
"80","kapan belanda datang ke maluku?","tahun 671","WA"
"81","kapan portugis datang ke maluku?","1521","WA"
"82","kapan portugis datang ke maluku?","1521","WA"
"83","kapan portugis datang ke maluku?","tahun 1522","WA"
"84","kapan portugis datang ke maluku?","tahun 1522","WA"
"85","kapan portugis datang ke maluku?","1498","WA"
"86","siapa yang menandatangani perjanjian bongaya?","pemerintah belanda","WA"
"87","siapa yang menandatangani perjanjian bongaya?","pemerintah indoneia","WA"
"88","siapa yang menandatangani perjanjian bongaya?","sekutu","WA"
"89","siapa yang menandatangani perjanjian bongaya?","pedagang inggris","WA"
"90","siapa yang menandatangani perjanjian bongaya?","pedagang inggris","WA"
"91","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"92","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"93","kapan perjanjian bongaya ditandatangani?","17 januari 1947","WA"
"94","kapan perjanjian bongaya ditandatangani?","17 januari 1947","WA"
"95","kapan perjanjian bongaya ditandatangani?","tanggal 18 nopember 1667","AC"
"96","siapa penulis kitab negara kertagama?","rahwana","WA"
"97","siapa penulis kitab negara kertagama?","rahwana","WA"
"98","siapa penulis kitab negara kertagama?","sugriwa","WA"
"99","siapa penulis kitab negara kertagama?","rama","WA"
"100","siapa penulis kitab negara kertagama?","gunawan wibhisana adik rahwana","WA"
"101","kapan voc didirikan?","tahun 1602","AC"
"102","kapan voc didirikan?","tahun 1602","AC"
"103","kapan voc didirikan?","tahun 1602","AC"
"104","kapan voc didirikan?","tahun 1602","AC"
"105","kapan voc didirikan?","1743","WA"
"106","kapan voc dibubarkan?","1743","WA"
"107","kapan voc dibubarkan?","32 tahun","WA"
"108","kapan voc dibubarkan?","tahun 1719","WA"
"109","kapan voc dibubarkan?","1703","WA"
"110","kapan voc dibubarkan?","tahun 1727","WA"
"111","siapa multatuli?","nurani rakyat belanda","WA"
"112","siapa multatuli?","rakyat indonesia","WA"
"113","siapa multatuli?","pemerintah belanda","WA"
"114","siapa multatuli?","pemerintah belanda","WA"
"115","siapa multatuli?","parlemen belanda","WA"
"116","dimana pattimura dilahirkan?","kepulauan maluku","AC"
"117","dimana pattimura dilahirkan?","kepulauan maluku","AC"
"118","dimana pattimura dilahirkan?","eropa","WA"
"119","dimana pattimura dilahirkan?","eropa","WA"
"120","dimana pattimura dilahirkan?","rumahnya","WA"
"121","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"122","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"123","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"124","kapan pangeran antasari wafat?","11 oktober 1862","AC"
"125","kapan pangeran antasari wafat?","tanggal 14 maret 1862","WA"
"126","dimana pangeran antasari wafat?","kampung","WA"
"127","dimana pangeran antasari wafat?","kampung","WA"
"128","dimana pangeran antasari wafat?","jawa","WA"
"129","dimana pangeran antasari wafat?","jawa","WA"
"130","dimana pangeran antasari wafat?","martapura","WA"
"131","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"132","kapan ekspedisi pertama belanda di bali terjadi?","1846 1905","WA"
"133","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"134","kapan ekspedisi pertama belanda di bali terjadi?","1846 1905","WA"
"135","kapan ekspedisi pertama belanda di bali terjadi?","1846","AC"
"136","kapan perlawanan di aceh terjadi?","tanggal 19 september 1945","WA"
"137","kapan perlawanan di aceh terjadi?","tanggal 14 april 1873","AC"
"138","kapan perlawanan di aceh terjadi?","tahun 1879","AC"
"139","kapan perlawanan di aceh terjadi?","tanggal 14 april 1873","AC"
"140","kapan perlawanan di aceh terjadi?","tanggal 28 januari 1874","AC"
"141","siapa pendiri budi utomo?","utomo","WA"
"142","siapa pendiri budi utomo?","soetomo","AC"
"143","siapa pendiri budi utomo?","soetomo","AC"
"144","siapa pendiri budi utomo?","mahasiswa","AC"
"145","siapa pendiri budi utomo?","soetomo","AC"
"146","kapan sarekat islam didirikan?","1912","WA"
"147","kapan sarekat islam didirikan?","1912","WA"
"148","kapan sarekat islam didirikan?","tahun 1911","AC"
"149","kapan sarekat islam didirikan?","tahun 1914","WA"
"150","kapan sarekat islam didirikan?","tahun 1911","AC"
"151","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"152","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"153","siapa pendiri sarekat islam?","mahasiswa","WA"
"154","siapa pendiri sarekat islam?","indische partij muhammadiyah","WA"
"155","siapa pendiri sarekat islam?","indiche partij","WA"
"156","kapan indische partij didirikan?","tanggal 20 mei 1908","WA"
"157","kapan indische partij didirikan?","tanggal 25 desember 1912","AC"
"158","kapan indische partij didirikan?","tanggal 25 desember 1912","AC"
"159","kapan indische partij didirikan?","tanggal 22 desember 1908","WA"
"160","kapan indische partij didirikan?","tahun 1923","WA"
"161","dimana muhammadiyah didirikan?","bandung","WA"
"162","dimana muhammadiyah didirikan?","yogyakarta","AC"
"163","dimana muhammadiyah didirikan?","yogyakarta","AC"
"164","dimana muhammadiyah didirikan?","yogyakarta","AC"
"165","dimana muhammadiyah didirikan?","pulau jawa","WA"
"166","kapan muhammadiyah didirikan?","tanggal 1 januari 1925","WA"
"167","kapan muhammadiyah didirikan?","tanggal 31 januari 1926","WA"
"168","kapan muhammadiyah didirikan?","tahun 1932","WA"
"169","kapan muhammadiyah didirikan?","tahun 1920","WA"
"170","kapan muhammadiyah didirikan?","tahun 1913","WA"
"171","kapan partai komunis indonesia berdiri?","tanggal 20 oktober 1943","WA"
"172","kapan partai komunis indonesia berdiri?","tanggal 20 oktober 1943","WA"
"173","kapan partai komunis indonesia berdiri?","tanggal 23 mei 1920","WA"
"174","kapan partai komunis indonesia berdiri?","tanggal 23 mei 1920","WA"
"175","kapan partai komunis indonesia berdiri?","bulan desember 1920","WA"
"176","siapa yang membawa ajaran marxis?","soekarno","WA"
"177","siapa yang membawa ajaran marxis?","pendeta","WA"
"178","siapa yang membawa ajaran marxis?","pendeta","WA"
"179","siapa yang membawa ajaran marxis?","pendeta","WA"
"180","siapa yang membawa ajaran marxis?","presiden","WA"
"181","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 3 november 1945","WA"
"182","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 3 november 1945","WA"
"183","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 3 november 1945","WA"
"184","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tahun 1925","WA"
"185","kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?","tanggal 11 november 1945","WA"
"186","kapan sumpah pemuda terjadi?","tahun 1399","WA"
"187","kapan sumpah pemuda terjadi?","pemuda 1928","WA"
"188","kapan sumpah pemuda terjadi?","tanggal 24 28 desember 1928","AC"
"189","kapan sumpah pemuda terjadi?","tanggal 31 desember 1936","WA"
"190","kapan sumpah pemuda terjadi?","1477","WA"
"191","kapan partai nasional indonesia lahir?","tanggal 11 november 1945","WA"
"192","kapan partai nasional indonesia lahir?","1945","WA"
"193","kapan partai nasional indonesia lahir?","uud 1945","WA"
"194","kapan partai nasional indonesia lahir?","tanggal 11 november 1945","WA"
"195","kapan partai nasional indonesia lahir?","tanggal 11 november 1945","WA"
"196","kapan sistem tanam paksa diterapkan?","tahun 1850","WA"
"197","kapan sistem tanam paksa diterapkan?","tahun 1865 tembakau tahun 1866","WA"
"198","kapan sistem tanam paksa diterapkan?","tahun 1865 tembakau tahun 1866","WA"
"199","kapan sistem tanam paksa diterapkan?","1860","WA"
"200","kapan sistem tanam paksa diterapkan?","tahun 1865 tembakau tahun 1866","WA"
"201","kapan sidang kabinet dwikora diadakan?","tanggal 20 nopember 1956","WA"
"202","kapan sidang kabinet dwikora diadakan?","masa orde","WA"
"203","kapan sidang kabinet dwikora diadakan?","masa orde","WA"
"204","kapan sidang kabinet dwikora diadakan?","uud 1945","WA"
"205","kapan sidang kabinet dwikora diadakan?","21 pebruari 1957","WA"
"206","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"207","kapan supersemar dikeluarkan?","tanggal 11 maret 1966","AC"
"208","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"209","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"210","kapan supersemar dikeluarkan?","11 maret 1966","AC"
"211","siapa pemimpin APRA?","dr","WA"
"212","siapa pemimpin APRA?","kapten westerling","AC"
"213","siapa pemimpin APRA?","kolonel kawilarang","WA"
"214","siapa pemimpin APRA?","mayor achmad wiranata","WA"
"215","siapa pemimpin APRA?","letkol slamet riyadi","WA"
"216","siapa pemimpin RMS?","dr","WA"
"217","siapa pemimpin RMS?","kolonel kawilarang","WA"
"218","siapa pemimpin RMS?","mayor achmad wiranata","WA"
"219","siapa pemimpin RMS?","letkol slamet riyadi","WA"
"220","siapa pemimpin RMS?","mayor suryo subandrio","WA"
"221","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"222","kapan gerakan non blok diselenggarakan?","tanggal 5 10 oktober 1964","AC"
"223","kapan gerakan non blok diselenggarakan?","tanggal 5 10 oktober 1964","AC"
"224","kapan gerakan non blok diselenggarakan?","tahun 1961","AC"
"225","kapan gerakan non blok diselenggarakan?","tanggal 1 6 september 1961","AC"
"226","kapan rengasdengklok terjadi?","tanggal 14 agustus 1945","WA"
"227","kapan rengasdengklok terjadi?","16 agustus 1945","AC"
"228","kapan rengasdengklok terjadi?","tanggal 16 agustus 1945 pukul 04.30","AC"
"229","kapan rengasdengklok terjadi?","tanggal 16 agustus 1945 pukul 04.30","AC"
"230","kapan rengasdengklok terjadi?","tanggal 11 september","WA"
"231","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"232","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"233","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"234","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"235","kapan seinendan didirikan?","tanggal 29 april 1943","AC"
"236","kapan rakyat bali melawan belanda?","1846 1905","AC"
"237","kapan rakyat bali melawan belanda?","1846 1905","AC"
"238","kapan rakyat bali melawan belanda?","1846 1905","AC"
"239","kapan rakyat bali melawan belanda?","tahun 1858","AC"
"240","kapan rakyat bali melawan belanda?","1846 1905","AC"
"241","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"242","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"243","siapa penulis konsep naskah proklamasi?","mr ahmad subardjo","WA"
"244","siapa penulis konsep naskah proklamasi?","sukarno","AC"
"245","siapa penulis konsep naskah proklamasi?","mr ahmad subardjo","WA"
"246","dimana konferensi meja bundar dilaksanakan?","jakara","WA"
"247","dimana konferensi meja bundar dilaksanakan?","indonesia","WA"
"248","dimana konferensi meja bundar dilaksanakan?","luar jawa","WA"
"249","dimana konferensi meja bundar dilaksanakan?","luar jawa","WA"
"250","dimana konferensi meja bundar dilaksanakan?","indonesia","WA"
"251","dimana perjanjian renville dibuat?","jakarta","WA"
"252","dimana perjanjian renville dibuat?","daerah ri","WA"
"253","dimana perjanjian renville dibuat?","daerah ri","WA"
"254","dimana perjanjian renville dibuat?","wilayah indonesia","WA"
"255","dimana perjanjian renville dibuat?","wilayah indonesia","WA"
"256","kapan perjanjian renville dilakukan?","bulan juni 1948","AC"
"257","kapan perjanjian renville dilakukan?","8 desember 1947","WA"
"258","kapan perjanjian renville dilakukan?","tanggal 1 agustus 1947","WA"
"259","kapan perjanjian renville dilakukan?","8 desember 1947","WA"
"260","kapan perjanjian renville dilakukan?","tanggal 1 agustus 1947","WA"
"261","siapa pengetik naskah proklamasi?","sukarno","WA"
"262","siapa pengetik naskah proklamasi?","mr ahmad subardjo","WA"
"263","siapa pengetik naskah proklamasi?","sukarno","WA"
"264","siapa pengetik naskah proklamasi?","bangsa indonesia","WA"
"265","siapa pengetik naskah proklamasi?","bangsa indonesia","WA"
"266","kapan pancasila lahir?","uud 1945","WA"
"267","kapan pancasila lahir?","1945","WA"
"268","kapan pancasila lahir?","1945","WA"
"269","kapan pancasila lahir?","1945","WA"
"270","kapan pancasila lahir?","tanggal 29 mei s d 1 juni 1945","AC"
"271","siapa ketua ppki?","prof mr dr soepomo","WA"
"272","siapa ketua ppki?","drs moh","WA"
"273","siapa ketua ppki?","drs moh","WA"
"274","siapa ketua ppki?","mr.ahmad soerbadjo","WA"
"275","siapa ketua ppki?","prof mr dr soepomo","WA"
"276","kapan nagasaki dibom?","8 agustus 1945","WA"
"277","kapan nagasaki dibom?","10 agustus 1945","WA"
"278","kapan nagasaki dibom?","tanggal 9 agustus 1945","AC"
