rank,document,verdict
1,dok274.txt,WA
2,dok270.txt,AC
3,dok227.txt,WA
4,dok214.txt,WA
5,dok7.txt,AC
6,dok78.txt,AC
7,dok133.txt,AC
8,dok62.txt,AC
9,dok275.txt,WA
10,dok394.txt,WA
11,dok107.txt,WA
12,dok36.txt,WA
13,dok402.txt,WA
14,dok213.txt,WA
15,dok269.txt,WA
16,dok363.txt,WA
17,dok215.txt,WA
18,dok129.txt,WA
19,dok58.txt,WA
20,dok399.txt,WA
21,dok400.txt,WA
22,dok132.txt,WA
23,dok61.txt,WA
24,dok204.txt,WA
25,dok18.txt,WA
26,dok89.txt,WA
27,dok343.txt,WA
28,dok136.txt,WA
29,dok65.txt,WA
30,dok268.txt,WA
31,dok325.txt,WA
32,dok262.txt,WA
33,dok278.txt,WA
34,dok108.txt,WA
35,dok37.txt,WA
36,dok253.txt,WA
37,dok335.txt,WA
38,dok142.txt,WA
39,dok71.txt,WA
40,dok23.txt,WA
41,dok94.txt,WA
42,dok377.txt,WA
43,dok248.txt,WA
44,dok272.txt,WA
45,dok198.txt,WA
46,dok232.txt,WA
47,dok141.txt,WA
48,dok70.txt,WA
49,dok161.txt,WA
50,dok209.txt,WA
51,dok164.txt,WA
52,dok287.txt,WA
53,dok152.txt,WA
54,dok383.txt,WA
55,dok208.txt,WA
56,dok364.txt,WA
57,dok365.txt,WA
58,dok106.txt,WA
59,dok35.txt,WA
60,dok28.txt,WA
61,dok99.txt,WA
62,dok385.txt,WA
63,dok304.txt,WA
64,dok221.txt,WA
65,dok123.txt,WA
66,dok52.txt,WA
67,dok218.txt,WA
68,dok219.txt,WA
69,dok118.txt,WA
70,dok183.txt,WA
71,dok191.txt,WA
72,dok326.txt,WA
73,dok47.txt,WA
74,dok12.txt,WA
75,dok83.txt,WA
76,dok230.txt,WA
77,dok384.txt,WA
78,dok393.txt,WA
79,dok155.txt,WA
80,dok179.txt,WA
81,dok256.txt,WA
82,dok366.txt,WA
83,dok211.txt,WA
84,dok354.txt,WA
85,dok257.txt,WA
86,dok139.txt,WA
87,dok225.txt,WA
88,dok68.txt,WA
89,dok134.txt,WA
90,dok63.txt,WA
91,dok160.txt,WA
92,dok307.txt,WA
93,dok24.txt,WA
94,dok95.txt,WA
95,dok13.txt,WA
96,dok84.txt,WA
97,dok251.txt,WA
98,dok15.txt,WA
99,dok86.txt,WA
100,dok334.txt,WA
