rank,document,verdict
1,dok331.txt,WA
2,dok253.txt,WA
3,dok24.txt,WA
4,dok95.txt,WA
5,dok385.txt,WA
6,dok394.txt,WA
7,dok113.txt,WA
8,dok42.txt,WA
9,dok319.txt,WA
10,dok15.txt,WA
11,dok86.txt,WA
12,dok142.txt,WA
13,dok71.txt,WA
14,dok189.txt,WA
15,dok402.txt,WA
16,dok342.txt,WA
17,dok248.txt,WA
18,dok25.txt,WA
19,dok96.txt,WA
20,dok390.txt,WA
21,dok157.txt,WA
22,dok111.txt,WA
23,dok40.txt,WA
24,dok261.txt,WA
25,dok343.txt,WA
26,dok269.txt,WA
27,dok365.txt,WA
28,dok400.txt,WA
29,dok393.txt,WA
30,dok275.txt,WA
31,dok21.txt,WA
32,dok92.txt,WA
33,dok150.txt,WA
34,dok274.txt,WA
35,dok290.txt,WA
36,dok386.txt,WA
37,dok159.txt,WA
38,dok6.txt,WA
39,dok77.txt,WA
40,dok270.txt,WA
41,dok236.txt,WA
42,dok214.txt,WA
43,dok384.txt,WA
44,dok18.txt,WA
45,dok89.txt,WA
46,dok209.txt,WA
47,dok115.txt,WA
48,dok44.txt,WA
49,dok353.txt,WA
50,dok27.txt,WA
51,dok98.txt,WA
52,dok26.txt,WA
53,dok97.txt,WA
54,dok7.txt,AC
55,dok78.txt,AC
56,dok1.txt,WA
57,dok72.txt,WA
58,dok133.txt,WA
59,dok62.txt,WA
60,dok308.txt,WA
61,dok401.txt,WA
62,dok2.txt,WA
63,dok73.txt,WA
64,dok272.txt,WA
65,dok28.txt,WA
66,dok99.txt,WA
67,dok267.txt,WA
68,dok260.txt,WA
69,dok325.txt,WA
70,dok268.txt,WA
71,dok312.txt,WA
72,dok364.txt,WA
73,dok165.txt,WA
74,dok17.txt,WA
75,dok88.txt,WA
76,dok245.txt,WA
77,dok243.txt,WA
78,dok203.txt,WA
79,dok188.txt,WA
80,dok106.txt,WA
81,dok35.txt,WA
82,dok126.txt,WA
83,dok55.txt,WA
84,dok309.txt,WA
85,dok79.txt,WA
86,dok8.txt,WA
87,dok13.txt,WA
88,dok84.txt,WA
89,dok129.txt,AC
90,dok58.txt,AC
91,dok16.txt,WA
92,dok87.txt,WA
93,dok264.txt,WA
94,dok388.txt,WA
95,dok266.txt,WA
96,dok124.txt,WA
97,dok53.txt,WA
98,dok250.txt,WA
99,dok396.txt,WA
100,dok183.txt,WA
