rank,document,verdict,Precision,Recall
1,dok331.txt,WA,0.0,0.0
2,dok113.txt,WA,0.0,0.0
3,dok42.txt,WA,0.0,0.0
4,dok387.txt,WA,0.0,0.0
5,dok24.txt,WA,0.0,0.0
6,dok95.txt,WA,0.0,0.0
7,dok290.txt,WA,0.0,0.0
8,dok302.txt,WA,0.0,0.0
9,dok261.txt,WA,0.0,0.0
10,dok21.txt,WA,0.0,0.0
11,dok92.txt,WA,0.0,0.0
12,dok157.txt,WA,0.0,0.0
13,dok20.txt,WA,0.0,0.0
14,dok91.txt,WA,0.0,0.0
15,dok11.txt,WA,0.0,0.0
16,dok82.txt,WA,0.0,0.0
17,dok25.txt,WA,0.0,0.0
18,dok96.txt,WA,0.0,0.0
19,dok279.txt,WA,0.0,0.0
20,dok22.txt,WA,0.0,0.0
21,dok93.txt,WA,0.0,0.0
22,dok328.txt,WA,0.0,0.0
23,dok1.txt,WA,0.0,0.0
24,dok72.txt,WA,0.0,0.0
25,dok121.txt,WA,0.0,0.0
26,dok50.txt,WA,0.0,0.0
27,dok385.txt,WA,0.0,0.0
28,dok386.txt,WA,0.0,0.0
29,dok263.txt,WA,0.0,0.0
30,dok26.txt,WA,0.0,0.0
31,dok97.txt,WA,0.0,0.0
32,dok380.txt,WA,0.0,0.0
33,dok390.txt,WA,0.0,0.0
34,dok165.txt,WA,0.0,0.0
35,dok17.txt,WA,0.0,0.0
36,dok88.txt,WA,0.0,0.0
37,dok292.txt,WA,0.0,0.0
38,dok112.txt,WA,0.0,0.0
39,dok41.txt,WA,0.0,0.0
40,dok355.txt,WA,0.0,0.0
41,dok361.txt,WA,0.0,0.0
42,dok258.txt,WA,0.0,0.0
43,dok389.txt,WA,0.0,0.0
44,dok116.txt,WA,0.0,0.0
45,dok45.txt,WA,0.0,0.0
46,dok176.txt,WA,0.0,0.0
47,dok332.txt,WA,0.0,0.0
48,dok162.txt,WA,0.0,0.0
49,dok300.txt,WA,0.0,0.0
50,dok305.txt,WA,0.0,0.0
51,dok114.txt,WA,0.0,0.0
52,dok43.txt,WA,0.0,0.0
53,dok396.txt,WA,0.0,0.0
54,dok102.txt,WA,0.0,0.0
55,dok31.txt,WA,0.0,0.0
56,dok19.txt,WA,0.0,0.0
57,dok90.txt,WA,0.0,0.0
58,dok15.txt,WA,0.0,0.0
59,dok86.txt,WA,0.0,0.0
60,dok159.txt,WA,0.0,0.0
61,dok265.txt,WA,0.0,0.0
62,dok322.txt,WA,0.0,0.0
63,dok2.txt,WA,0.0,0.0
64,dok73.txt,WA,0.0,0.0
65,dok299.txt,WA,0.0,0.0
66,dok371.txt,WA,0.0,0.0
67,dok171.txt,AC,0.014925373134328358,0.3333333333333333
68,dok346.txt,AC,0.029411764705882353,0.6666666666666666
69,dok4.txt,WA,0.028985507246376812,0.6666666666666666
70,dok75.txt,WA,0.02857142857142857,0.6666666666666666
71,dok372.txt,WA,0.028169014084507043,0.6666666666666666
72,dok333.txt,WA,0.027777777777777776,0.6666666666666666
73,dok291.txt,WA,0.0273972602739726,0.6666666666666666
74,dok224.txt,WA,0.02702702702702703,0.6666666666666666
75,dok119.txt,WA,0.02666666666666667,0.6666666666666666
76,dok48.txt,WA,0.02631578947368421,0.6666666666666666
77,dok303.txt,WA,0.025974025974025976,0.6666666666666666
78,dok334.txt,WA,0.02564102564102564,0.6666666666666666
79,dok352.txt,WA,0.02531645569620253,0.6666666666666666
80,dok256.txt,WA,0.025,0.6666666666666666
81,dok366.txt,WA,0.024691358024691357,0.6666666666666666
82,dok115.txt,WA,0.024390243902439025,0.6666666666666666
83,dok44.txt,WA,0.024096385542168676,0.6666666666666666
84,dok397.txt,WA,0.023809523809523808,0.6666666666666666
85,dok268.txt,WA,0.023529411764705882,0.6666666666666666
86,dok325.txt,WA,0.023255813953488372,0.6666666666666666
87,dok197.txt,WA,0.022988505747126436,0.6666666666666666
88,dok23.txt,WA,0.022727272727272728,0.6666666666666666
89,dok94.txt,WA,0.02247191011235955,0.6666666666666666
90,dok330.txt,WA,0.022222222222222223,0.6666666666666666
91,dok200.txt,AC,0.03296703296703297,1.0
92,dok280.txt,WA,0.03260869565217391,1.0
93,dok304.txt,WA,0.03225806451612903,1.0
94,dok400.txt,WA,0.031914893617021274,1.0
95,dok3.txt,WA,0.031578947368421054,1.0
96,dok74.txt,WA,0.03125,1.0
97,dok388.txt,WA,0.030927835051546393,1.0
98,dok179.txt,WA,0.030612244897959183,1.0
99,dok329.txt,WA,0.030303030303030304,1.0
100,dok363.txt,WA,0.03,1.0
average precision,0.00915782508452218
