rank,document,verdict,Precision,Recall
1,dok253.txt,AC,1.0,0.25
2,dok385.txt,WA,0.5,0.25
3,dok24.txt,WA,0.3333333333333333,0.25
4,dok95.txt,WA,0.25,0.25
5,dok394.txt,WA,0.2,0.25
6,dok402.txt,WA,0.16666666666666666,0.25
7,dok248.txt,WA,0.14285714285714285,0.25
8,dok142.txt,WA,0.125,0.25
9,dok71.txt,WA,0.1111111111111111,0.25
10,dok372.txt,WA,0.1,0.25
11,dok390.txt,WA,0.09090909090909091,0.25
12,dok157.txt,WA,0.08333333333333333,0.25
13,dok257.txt,AC,0.15384615384615385,0.5
14,dok343.txt,WA,0.14285714285714285,0.5
15,dok298.txt,WA,0.13333333333333333,0.5
16,dok6.txt,WA,0.125,0.5
17,dok77.txt,WA,0.11764705882352941,0.5
18,dok393.txt,WA,0.1111111111111111,0.5
19,dok140.txt,WA,0.10526315789473684,0.5
20,dok69.txt,WA,0.1,0.5
21,dok3.txt,WA,0.09523809523809523,0.5
22,dok74.txt,WA,0.09090909090909091,0.5
23,dok400.txt,AC,0.13043478260869565,0.75
24,dok213.txt,WA,0.125,0.75
25,dok275.txt,WA,0.12,0.75
26,dok108.txt,WA,0.11538461538461539,0.75
27,dok37.txt,WA,0.1111111111111111,0.75
28,dok186.txt,WA,0.10714285714285714,0.75
29,dok4.txt,WA,0.10344827586206896,0.75
30,dok75.txt,WA,0.1,0.75
31,dok274.txt,WA,0.0967741935483871,0.75
32,dok21.txt,WA,0.09375,0.75
33,dok92.txt,WA,0.09090909090909091,0.75
34,dok269.txt,WA,0.08823529411764706,0.75
35,dok228.txt,WA,0.08571428571428572,0.75
36,dok384.txt,WA,0.08333333333333333,0.75
37,dok201.txt,WA,0.08108108108108109,0.75
38,dok346.txt,WA,0.07894736842105263,0.75
39,dok290.txt,WA,0.07692307692307693,0.75
40,dok171.txt,WA,0.075,0.75
41,dok357.txt,WA,0.07317073170731707,0.75
42,dok353.txt,WA,0.07142857142857142,0.75
43,dok378.txt,WA,0.06976744186046512,0.75
44,dok148.txt,WA,0.06818181818181818,0.75
45,dok285.txt,WA,0.06666666666666667,0.75
46,dok389.txt,WA,0.06521739130434782,0.75
47,dok399.txt,WA,0.06382978723404255,0.75
48,dok307.txt,WA,0.0625,0.75
49,dok149.txt,WA,0.061224489795918366,0.75
50,dok370.txt,WA,0.06,0.75
51,dok242.txt,WA,0.058823529411764705,0.75
52,dok210.txt,AC,0.07692307692307693,1.0
53,dok229.txt,WA,0.07547169811320754,1.0
54,dok348.txt,WA,0.07407407407407407,1.0
55,dok239.txt,WA,0.07272727272727272,1.0
56,dok10.txt,WA,0.07142857142857142,1.0
57,dok81.txt,WA,0.07017543859649122,1.0
58,dok374.txt,WA,0.06896551724137931,1.0
59,dok217.txt,WA,0.06779661016949153,1.0
60,dok249.txt,WA,0.06666666666666667,1.0
61,dok401.txt,WA,0.06557377049180328,1.0
62,dok280.txt,WA,0.06451612903225806,1.0
63,dok2.txt,WA,0.06349206349206349,1.0
64,dok73.txt,WA,0.0625,1.0
65,dok126.txt,WA,0.06153846153846154,1.0
66,dok55.txt,WA,0.06060606060606061,1.0
67,dok338.txt,WA,0.05970149253731343,1.0
68,dok196.txt,WA,0.058823529411764705,1.0
69,dok231.txt,WA,0.057971014492753624,1.0
70,dok351.txt,WA,0.05714285714285714,1.0
71,dok268.txt,WA,0.056338028169014086,1.0
72,dok325.txt,WA,0.05555555555555555,1.0
73,dok155.txt,WA,0.0547945205479452,1.0
74,dok205.txt,WA,0.05405405405405406,1.0
75,dok340.txt,WA,0.05333333333333334,1.0
76,dok128.txt,WA,0.05263157894736842,1.0
77,dok57.txt,WA,0.05194805194805195,1.0
78,dok219.txt,WA,0.05128205128205128,1.0
79,dok198.txt,WA,0.05063291139240506,1.0
80,dok151.txt,WA,0.05,1.0
81,dok310.txt,WA,0.04938271604938271,1.0
82,dok102.txt,WA,0.04878048780487805,1.0
83,dok31.txt,WA,0.04819277108433735,1.0
84,dok267.txt,WA,0.047619047619047616,1.0
85,dok308.txt,WA,0.047058823529411764,1.0
86,dok216.txt,WA,0.046511627906976744,1.0
87,dok375.txt,WA,0.04597701149425287,1.0
88,dok233.txt,WA,0.045454545454545456,1.0
89,dok301.txt,WA,0.0449438202247191,1.0
90,dok347.txt,WA,0.044444444444444446,1.0
91,dok79.txt,WA,0.04395604395604396,1.0
92,dok8.txt,WA,0.043478260869565216,1.0
93,dok183.txt,WA,0.043010752688172046,1.0
94,dok154.txt,WA,0.0425531914893617,1.0
95,dok190.txt,WA,0.042105263157894736,1.0
96,dok12.txt,WA,0.041666666666666664,1.0
97,dok83.txt,WA,0.041237113402061855,1.0
98,dok222.txt,WA,0.04081632653061224,1.0
99,dok293.txt,WA,0.04040404040404041,1.0
100,dok336.txt,WA,0.04,1.0
average precision,0.09436672960663837
