rank,document,verdict,Precision,Recall
1,dok360.txt,WA,0.0,0.0
2,dok187.txt,WA,0.0,0.0
3,dok359.txt,WA,0.0,0.0
4,dok190.txt,AC,0.25,0.16666666666666666
5,dok301.txt,WA,0.2,0.16666666666666666
6,dok149.txt,AC,0.3333333333333333,0.3333333333333333
7,dok378.txt,WA,0.2857142857142857,0.3333333333333333
8,dok336.txt,AC,0.375,0.5
9,dok347.txt,AC,0.4444444444444444,0.6666666666666666
10,dok340.txt,WA,0.4,0.6666666666666666
11,dok216.txt,AC,0.45454545454545453,0.8333333333333334
12,dok275.txt,WA,0.4166666666666667,0.8333333333333334
13,dok293.txt,AC,0.46153846153846156,1.0
14,dok214.txt,WA,0.42857142857142855,1.0
15,dok298.txt,WA,0.4,1.0
16,dok338.txt,WA,0.375,1.0
17,dok350.txt,WA,0.35294117647058826,1.0
18,dok151.txt,WA,0.3333333333333333,1.0
19,dok310.txt,WA,0.3157894736842105,1.0
20,dok358.txt,WA,0.3,1.0
21,dok314.txt,WA,0.2857142857142857,1.0
22,dok379.txt,WA,0.2727272727272727,1.0
23,dok169.txt,WA,0.2608695652173913,1.0
24,dok172.txt,WA,0.25,1.0
25,dok318.txt,WA,0.24,1.0
26,dok234.txt,WA,0.23076923076923078,1.0
27,dok231.txt,WA,0.2222222222222222,1.0
28,dok351.txt,WA,0.21428571428571427,1.0
29,dok205.txt,WA,0.20689655172413793,1.0
30,dok375.txt,WA,0.2,1.0
31,dok253.txt,WA,0.1935483870967742,1.0
32,dok178.txt,WA,0.1875,1.0
33,dok123.txt,WA,0.18181818181818182,1.0
34,dok52.txt,WA,0.17647058823529413,1.0
35,dok399.txt,WA,0.17142857142857143,1.0
36,dok239.txt,WA,0.16666666666666666,1.0
37,dok249.txt,WA,0.16216216216216217,1.0
38,dok202.txt,WA,0.15789473684210525,1.0
39,dok288.txt,WA,0.15384615384615385,1.0
40,dok197.txt,WA,0.15,1.0
41,dok150.txt,WA,0.14634146341463414,1.0
42,dok376.txt,WA,0.14285714285714285,1.0
43,dok352.txt,WA,0.13953488372093023,1.0
44,dok374.txt,WA,0.13636363636363635,1.0
45,dok401.txt,WA,0.13333333333333333,1.0
46,dok377.txt,WA,0.13043478260869565,1.0
47,dok269.txt,WA,0.1276595744680851,1.0
48,dok228.txt,WA,0.125,1.0
49,dok140.txt,WA,0.12244897959183673,1.0
50,dok69.txt,WA,0.12,1.0
average precision,0.2307134429083332
