rank,document,verdict
1,dok296.txt,WA
2,dok147.txt,WA
3,dok153.txt,WA
4,dok289.txt,WA
5,dok276.txt,WA
6,dok365.txt,AC
7,dok145.txt,WA
8,dok368.txt,WA
9,dok230.txt,WA
10,dok398.txt,WA
11,dok380.txt,WA
12,dok212.txt,AC
13,dok364.txt,WA
14,dok367.txt,WA
15,dok402.txt,AC
16,dok400.txt,WA
17,dok247.txt,AC
18,dok362.txt,WA
19,dok192.txt,AC
20,dok148.txt,WA
21,dok149.txt,WA
22,dok244.txt,WA
23,dok110.txt,AC
24,dok228.txt,WA
25,dok39.txt,AC
26,dok139.txt,WA
27,dok68.txt,WA
28,dok240.txt,WA
29,dok285.txt,WA
30,dok103.txt,WA
31,dok32.txt,WA
32,dok123.txt,WA
33,dok52.txt,WA
34,dok176.txt,WA
35,dok299.txt,WA
36,dok226.txt,WA
37,dok349.txt,WA
38,dok271.txt,WA
39,dok320.txt,WA
40,dok321.txt,WA
41,dok248.txt,AC
42,dok327.txt,WA
43,dok173.txt,WA
44,dok201.txt,WA
45,dok323.txt,WA
46,dok175.txt,WA
47,dok220.txt,WA
48,dok137.txt,WA
49,dok236.txt,WA
50,dok273.txt,WA
51,dok315.txt,WA
52,dok66.txt,WA
53,dok234.txt,WA
54,dok376.txt,WA
55,dok396.txt,WA
56,dok238.txt,WA
57,dok241.txt,WA
58,dok246.txt,WA
59,dok112.txt,WA
60,dok384.txt,WA
61,dok41.txt,WA
62,dok163.txt,WA
63,dok211.txt,WA
64,dok300.txt,WA
65,dok344.txt,WA
66,dok354.txt,WA
67,dok372.txt,WA
68,dok382.txt,WA
69,dok395.txt,WA
70,dok19.txt,WA
71,dok2.txt,WA
72,dok223.txt,WA
73,dok229.txt,WA
74,dok324.txt,WA
75,dok348.txt,WA
76,dok73.txt,WA
77,dok90.txt,WA
78,dok194.txt,WA
79,dok172.txt,WA
80,dok25.txt,WA
81,dok96.txt,WA
82,dok168.txt,WA
83,dok216.txt,WA
84,dok232.txt,WA
85,dok263.txt,WA
86,dok303.txt,WA
87,dok193.txt,WA
88,dok3.txt,WA
89,dok306.txt,WA
90,dok335.txt,WA
91,dok74.txt,WA
92,dok157.txt,WA
93,dok1.txt,WA
94,dok100.txt,WA
95,dok109.txt,WA
96,dok118.txt,WA
97,dok16.txt,WA
98,dok165.txt,WA
99,dok17.txt,WA
100,dok181.txt,WA
