rank,document,verdict,Precision,Recall
1,dok248.txt,WA,0.0,0.0
2,dok139.txt,AC,0.5,0.16666666666666666
3,dok68.txt,WA,0.3333333333333333,0.16666666666666666
4,dok292.txt,WA,0.25,0.16666666666666666
5,dok315.txt,AC,0.4,0.3333333333333333
6,dok273.txt,AC,0.5,0.5
7,dok402.txt,WA,0.42857142857142855,0.5
8,dok204.txt,WA,0.375,0.5
9,dok1.txt,WA,0.3333333333333333,0.5
10,dok72.txt,WA,0.3,0.5
11,dok232.txt,WA,0.2727272727272727,0.5
12,dok142.txt,AC,0.3333333333333333,0.6666666666666666
13,dok71.txt,AC,0.38461538461538464,0.8333333333333334
14,dok394.txt,AC,0.42857142857142855,1.0
15,dok244.txt,WA,0.4,1.0
16,dok261.txt,WA,0.375,1.0
17,dok254.txt,WA,0.35294117647058826,1.0
18,dok116.txt,WA,0.3333333333333333,1.0
19,dok45.txt,WA,0.3157894736842105,1.0
20,dok215.txt,WA,0.3,1.0
21,dok218.txt,WA,0.2857142857142857,1.0
22,dok243.txt,WA,0.2727272727272727,1.0
23,dok197.txt,WA,0.2608695652173913,1.0
24,dok25.txt,WA,0.25,1.0
25,dok96.txt,WA,0.24,1.0
26,dok380.txt,WA,0.23076923076923078,1.0
27,dok121.txt,WA,0.2222222222222222,1.0
28,dok50.txt,WA,0.21428571428571427,1.0
29,dok343.txt,WA,0.20689655172413793,1.0
30,dok252.txt,WA,0.2,1.0
31,dok300.txt,WA,0.1935483870967742,1.0
32,dok305.txt,WA,0.1875,1.0
33,dok198.txt,WA,0.18181818181818182,1.0
34,dok209.txt,WA,0.17647058823529413,1.0
35,dok114.txt,WA,0.17142857142857143,1.0
36,dok43.txt,WA,0.16666666666666666,1.0
37,dok157.txt,WA,0.16216216216216217,1.0
38,dok26.txt,WA,0.15789473684210525,1.0
39,dok97.txt,WA,0.15384615384615385,1.0
40,dok271.txt,WA,0.15,1.0
41,dok327.txt,WA,0.14634146341463414,1.0
42,dok21.txt,WA,0.14285714285714285,1.0
43,dok92.txt,WA,0.13953488372093023,1.0
44,dok302.txt,WA,0.13636363636363635,1.0
45,dok201.txt,WA,0.13333333333333333,1.0
46,dok263.txt,WA,0.13043478260869565,1.0
47,dok396.txt,WA,0.1276595744680851,1.0
48,dok365.txt,WA,0.125,1.0
49,dok112.txt,WA,0.12244897959183673,1.0
50,dok41.txt,WA,0.12,1.0
average precision,0.24650687170176194
