rank,document,verdict,Precision,Recall
1,dok364.txt,AC,1.0,0.3333333333333333
2,dok213.txt,AC,1.0,0.6666666666666666
3,dok400.txt,AC,1.0,1.0
4,dok399.txt,WA,0.75,1.0
5,dok369.txt,WA,0.6,1.0
6,dok349.txt,WA,0.5,1.0
7,dok168.txt,WA,0.42857142857142855,1.0
8,dok227.txt,WA,0.375,1.0
9,dok234.txt,WA,0.3333333333333333,1.0
10,dok200.txt,WA,0.3,1.0
11,dok240.txt,WA,0.2727272727272727,1.0
12,dok1.txt,WA,0.25,1.0
13,dok272.txt,WA,0.23076923076923078,1.0
14,dok275.txt,WA,0.21428571428571427,1.0
15,dok317.txt,WA,0.2,1.0
16,dok370.txt,WA,0.1875,1.0
17,dok72.txt,WA,0.17647058823529413,1.0
18,dok139.txt,WA,0.16666666666666666,1.0
19,dok206.txt,WA,0.15789473684210525,1.0
20,dok359.txt,WA,0.15,1.0
21,dok382.txt,WA,0.14285714285714285,1.0
22,dok68.txt,WA,0.13636363636363635,1.0
23,dok117.txt,WA,0.13043478260869565,1.0
24,dok178.txt,WA,0.125,1.0
25,dok46.txt,WA,0.12,1.0
26,dok142.txt,WA,0.11538461538461539,1.0
27,dok71.txt,WA,0.1111111111111111,1.0
28,dok175.txt,WA,0.10714285714285714,1.0
29,dok186.txt,WA,0.10344827586206896,1.0
30,dok166.txt,WA,0.1,1.0
31,dok177.txt,WA,0.0967741935483871,1.0
32,dok256.txt,WA,0.09375,1.0
33,dok366.txt,WA,0.09090909090909091,1.0
34,dok135.txt,WA,0.08823529411764706,1.0
35,dok230.txt,WA,0.08571428571428572,1.0
36,dok64.txt,WA,0.08333333333333333,1.0
37,dok124.txt,WA,0.08108108108108109,1.0
38,dok126.txt,WA,0.07894736842105263,1.0
39,dok129.txt,WA,0.07692307692307693,1.0
40,dok195.txt,WA,0.075,1.0
41,dok241.txt,WA,0.07317073170731707,1.0
42,dok246.txt,WA,0.07142857142857142,1.0
43,dok53.txt,WA,0.06976744186046512,1.0
44,dok55.txt,WA,0.06818181818181818,1.0
45,dok58.txt,WA,0.06666666666666667,1.0
46,dok209.txt,WA,0.06521739130434782,1.0
47,dok255.txt,WA,0.06382978723404255,1.0
48,dok114.txt,WA,0.0625,1.0
49,dok127.txt,WA,0.061224489795918366,1.0
50,dok215.txt,WA,0.06,1.0
average precision,0.2199523202997655
