rank,document,verdict
1,dok145.txt,AC
2,dok276.txt,AC
3,dok296.txt,WA
4,dok362.txt,WA
5,dok368.txt,WA
6,dok228.txt,WA
7,dok281.txt,WA
8,dok283.txt,WA
9,dok225.txt,WA
10,dok148.txt,WA
11,dok285.txt,WA
12,dok205.txt,WA
13,dok377.txt,WA
14,dok275.txt,WA
15,dok363.txt,WA
16,dok218.txt,WA
17,dok161.txt,WA
18,dok253.txt,WA
19,dok272.txt,WA
20,dok212.txt,WA
21,dok249.txt,WA
22,dok144.txt,WA
23,dok399.txt,WA
24,dok369.txt,WA
25,dok234.txt,WA
26,dok143.txt,WA
27,dok158.txt,WA
28,dok286.txt,WA
29,dok307.txt,WA
30,dok192.txt,WA
31,dok231.txt,WA
32,dok351.txt,WA
33,dok365.txt,WA
34,dok215.txt,WA
35,dok110.txt,WA
36,dok39.txt,WA
37,dok210.txt,WA
38,dok401.txt,WA
39,dok251.txt,WA
40,dok379.txt,WA
41,dok256.txt,WA
42,dok366.txt,WA
43,dok257.txt,WA
44,dok108.txt,WA
45,dok37.txt,WA
46,dok248.txt,WA
47,dok230.txt,WA
48,dok367.txt,WA
49,dok341.txt,WA
50,dok338.txt,WA
51,dok400.txt,WA
52,dok402.txt,WA
53,dok141.txt,WA
54,dok70.txt,WA
55,dok208.txt,WA
56,dok247.txt,WA
57,dok181.txt,WA
58,dok183.txt,WA
59,dok337.txt,WA
60,dok149.txt,WA
61,dok343.txt,WA
62,dok109.txt,WA
63,dok38.txt,WA
64,dok267.txt,WA
65,dok308.txt,WA
66,dok171.txt,WA
67,dok227.txt,WA
68,dok346.txt,WA
69,dok347.txt,WA
70,dok213.txt,WA
71,dok169.txt,WA
72,dok242.txt,WA
73,dok357.txt,WA
74,dok150.txt,WA
75,dok203.txt,WA
76,dok221.txt,WA
77,dok200.txt,WA
78,dok209.txt,WA
79,dok142.txt,WA
80,dok71.txt,WA
81,dok293.txt,WA
82,dok398.txt,WA
83,dok376.txt,WA
84,dok344.txt,WA
85,dok235.txt,WA
86,dok330.txt,WA
87,dok355.txt,WA
88,dok168.txt,WA
89,dok185.txt,WA
90,dok360.txt,WA
91,dok191.txt,WA
92,dok326.txt,WA
93,dok172.txt,WA
94,dok135.txt,WA
95,dok64.txt,WA
96,dok124.txt,WA
97,dok132.txt,WA
98,dok219.txt,WA
99,dok252.txt,WA
100,dok282.txt,WA
