rank,document,verdict
1,dok270.txt,WA
2,dok79.txt,WA
3,dok8.txt,WA
4,dok107.txt,WA
5,dok36.txt,WA
6,dok203.txt,WA
7,dok229.txt,WA
8,dok348.txt,WA
9,dok28.txt,WA
10,dok99.txt,AC
11,dok214.txt,WA
12,dok136.txt,WA
13,dok65.txt,WA
14,dok377.txt,WA
15,dok188.txt,AC
16,dok335.txt,WA
17,dok180.txt,WA
18,dok131.txt,AC
19,dok60.txt,AC
20,dok177.txt,WA
21,dok319.txt,WA
22,dok123.txt,WA
23,dok52.txt,WA
24,dok189.txt,WA
25,dok399.txt,WA
26,dok210.txt,WA
27,dok363.txt,WA
28,dok271.txt,WA
29,dok327.txt,WA
30,dok108.txt,WA
31,dok37.txt,WA
32,dok388.txt,WA
33,dok394.txt,WA
34,dok24.txt,WA
35,dok95.txt,WA
36,dok393.txt,WA
37,dok139.txt,WA
38,dok68.txt,WA
39,dok253.txt,WA
40,dok15.txt,WA
41,dok86.txt,WA
42,dok205.txt,WA
43,dok122.txt,WA
44,dok51.txt,WA
45,dok380.txt,WA
46,dok376.txt,WA
47,dok111.txt,WA
48,dok40.txt,WA
49,dok200.txt,WA
50,dok261.txt,WA
51,dok134.txt,WA
52,dok63.txt,WA
53,dok20.txt,WA
54,dok91.txt,WA
55,dok166.txt,WA
56,dok365.txt,WA
57,dok146.txt,WA
58,dok172.txt,WA
59,dok249.txt,WA
60,dok106.txt,WA
61,dok35.txt,WA
62,dok185.txt,WA
63,dok268.txt,WA
64,dok325.txt,WA
65,dok385.txt,WA
66,dok382.txt,WA
67,dok257.txt,WA
68,dok369.txt,WA
69,dok183.txt,WA
70,dok21.txt,WA
71,dok92.txt,WA
72,dok207.txt,WA
73,dok373.txt,WA
74,dok13.txt,WA
75,dok84.txt,WA
76,dok186.txt,WA
77,dok113.txt,WA
78,dok42.txt,WA
79,dok117.txt,WA
80,dok46.txt,WA
81,dok157.txt,WA
82,dok208.txt,WA
83,dok294.txt,WA
84,dok198.txt,WA
85,dok401.txt,WA
86,dok297.txt,WA
87,dok3.txt,WA
88,dok74.txt,WA
89,dok193.txt,WA
90,dok306.txt,WA
91,dok155.txt,WA
92,dok22.txt,WA
93,dok93.txt,WA
94,dok14.txt,WA
95,dok167.txt,WA
96,dok316.txt,WA
97,dok85.txt,WA
98,dok225.txt,WA
99,dok130.txt,WA
100,dok59.txt,WA
