rank,document,verdict,Precision,Recall
1,dok24.txt,WA,0.0,0.0
2,dok95.txt,WA,0.0,0.0
3,dok214.txt,WA,0.0,0.0
4,dok383.txt,WA,0.0,0.0
5,dok385.txt,WA,0.0,0.0
6,dok133.txt,AC,0.16666666666666666,0.2
7,dok62.txt,AC,0.2857142857142857,0.4
8,dok394.txt,WA,0.25,0.4
9,dok365.txt,WA,0.2222222222222222,0.4
10,dok7.txt,AC,0.3,0.6
11,dok78.txt,AC,0.36363636363636365,0.8
12,dok268.txt,WA,0.3333333333333333,0.8
13,dok325.txt,WA,0.3076923076923077,0.8
14,dok270.txt,AC,0.35714285714285715,1.0
15,dok402.txt,WA,0.3333333333333333,1.0
16,dok142.txt,WA,0.3125,1.0
17,dok71.txt,WA,0.29411764705882354,1.0
18,dok343.txt,WA,0.2777777777777778,1.0
19,dok80.txt,WA,0.2631578947368421,1.0
20,dok9.txt,WA,0.25,1.0
21,dok20.txt,WA,0.23809523809523808,1.0
22,dok91.txt,WA,0.22727272727272727,1.0
23,dok23.txt,WA,0.21739130434782608,1.0
24,dok94.txt,WA,0.20833333333333334,1.0
25,dok141.txt,WA,0.2,1.0
26,dok70.txt,WA,0.19230769230769232,1.0
27,dok129.txt,WA,0.18518518518518517,1.0
28,dok58.txt,WA,0.17857142857142858,1.0
29,dok140.txt,WA,0.1724137931034483,1.0
30,dok69.txt,WA,0.16666666666666666,1.0
31,dok230.txt,WA,0.16129032258064516,1.0
32,dok110.txt,WA,0.15625,1.0
33,dok39.txt,WA,0.15151515151515152,1.0
34,dok195.txt,WA,0.14705882352941177,1.0
35,dok132.txt,WA,0.14285714285714285,1.0
36,dok61.txt,WA,0.1388888888888889,1.0
37,dok15.txt,WA,0.13513513513513514,1.0
38,dok86.txt,WA,0.13157894736842105,1.0
39,dok137.txt,WA,0.1282051282051282,1.0
40,dok66.txt,WA,0.125,1.0
41,dok18.txt,WA,0.12195121951219512,1.0
42,dok89.txt,WA,0.11904761904761904,1.0
43,dok304.txt,WA,0.11627906976744186,1.0
44,dok10.txt,WA,0.11363636363636363,1.0
45,dok81.txt,WA,0.1111111111111111,1.0
46,dok165.txt,WA,0.10869565217391304,1.0
47,dok192.txt,WA,0.10638297872340426,1.0
48,dok173.txt,WA,0.10416666666666667,1.0
49,dok323.txt,WA,0.10204081632653061,1.0
50,dok179.txt,WA,0.1,1.0
average precision,0.17649246190487056
