rank,document,verdict,Precision,Recall
1,dok107.txt,WA,0.0,0.0
2,dok36.txt,WA,0.0,0.0
3,dok161.txt,WA,0.0,0.0
4,dok360.txt,WA,0.0,0.0
5,dok378.txt,WA,0.0,0.0
6,dok307.txt,WA,0.0,0.0
7,dok181.txt,WA,0.0,0.0
8,dok288.txt,WA,0.0,0.0
9,dok187.txt,WA,0.0,0.0
10,dok337.txt,WA,0.0,0.0
11,dok233.txt,WA,0.0,0.0
12,dok370.txt,WA,0.0,0.0
13,dok143.txt,WA,0.0,0.0
14,dok197.txt,WA,0.0,0.0
15,dok283.txt,WA,0.0,0.0
16,dok389.txt,WA,0.0,0.0
17,dok158.txt,WA,0.0,0.0
18,dok286.txt,WA,0.0,0.0
19,dok350.txt,WA,0.0,0.0
20,dok108.txt,WA,0.0,0.0
21,dok37.txt,WA,0.0,0.0
22,dok335.txt,WA,0.0,0.0
23,dok125.txt,AC,0.043478260869565216,0.2
24,dok54.txt,WA,0.041666666666666664,0.2
25,dok217.txt,WA,0.04,0.2
26,dok104.txt,WA,0.038461538461538464,0.2
27,dok33.txt,WA,0.037037037037037035,0.2
28,dok359.txt,WA,0.03571428571428571,0.2
29,dok172.txt,WA,0.034482758620689655,0.2
30,dok12.txt,WA,0.03333333333333333,0.2
31,dok83.txt,WA,0.03225806451612903,0.2
32,dok206.txt,AC,0.0625,0.4
33,dok367.txt,WA,0.06060606060606061,0.4
34,dok282.txt,WA,0.058823529411764705,0.4
35,dok116.txt,WA,0.05714285714285714,0.4
36,dok45.txt,WA,0.05555555555555555,0.4
37,dok186.txt,AC,0.08108108108108109,0.6
38,dok136.txt,WA,0.07894736842105263,0.6
39,dok65.txt,WA,0.07692307692307693,0.6
40,dok393.txt,WA,0.075,0.6
41,dok123.txt,WA,0.07317073170731707,0.6
42,dok52.txt,WA,0.07142857142857142,0.6
43,dok376.txt,WA,0.06976744186046512,0.6
44,dok373.txt,WA,0.06818181818181818,0.6
45,dok147.txt,WA,0.06666666666666667,0.6
46,dok153.txt,WA,0.06521739130434782,0.6
47,dok289.txt,WA,0.06382978723404255,0.6
48,dok381.txt,WA,0.0625,0.6
49,dok364.txt,WA,0.061224489795918366,0.6
50,dok270.txt,WA,0.06,0.6
51,dok134.txt,WA,0.058823529411764705,0.6
52,dok63.txt,WA,0.057692307692307696,0.6
53,dok268.txt,WA,0.05660377358490566,0.6
54,dok353.txt,WA,0.05555555555555555,0.6
55,dok219.txt,WA,0.05454545454545454,0.6
56,dok333.txt,WA,0.05357142857142857,0.6
57,dok102.txt,WA,0.05263157894736842,0.6
58,dok31.txt,WA,0.05172413793103448,0.6
59,dok139.txt,WA,0.05084745762711865,0.6
60,dok68.txt,WA,0.05,0.6
61,dok325.txt,WA,0.04918032786885246,0.6
62,dok382.txt,WA,0.04838709677419355,0.6
63,dok151.txt,WA,0.047619047619047616,0.6
64,dok310.txt,WA,0.046875,0.6
65,dok164.txt,WA,0.046153846153846156,0.6
66,dok287.txt,WA,0.045454545454545456,0.6
67,dok103.txt,WA,0.04477611940298507,0.6
68,dok32.txt,WA,0.04411764705882353,0.6
69,dok210.txt,WA,0.043478260869565216,0.6
70,dok388.txt,WA,0.04285714285714286,0.6
71,dok138.txt,WA,0.04225352112676056,0.6
72,dok67.txt,WA,0.041666666666666664,0.6
73,dok27.txt,WA,0.0410958904109589,0.6
74,dok98.txt,WA,0.04054054054054054,0.6
75,dok166.txt,WA,0.04,0.6
76,dok222.txt,WA,0.039473684210526314,0.6
77,dok117.txt,AC,0.05194805194805195,0.8
78,dok46.txt,WA,0.05128205128205128,0.8
79,dok394.txt,WA,0.05063291139240506,0.8
80,dok400.txt,WA,0.05,0.8
81,dok339.txt,WA,0.04938271604938271,0.8
82,dok178.txt,WA,0.04878048780487805,0.8
83,dok148.txt,WA,0.04819277108433735,0.8
84,dok285.txt,WA,0.047619047619047616,0.8
85,dok155.txt,AC,0.058823529411764705,1.0
86,dok245.txt,WA,0.05813953488372093,1.0
87,dok213.txt,WA,0.05747126436781609,1.0
88,dok28.txt,WA,0.056818181818181816,1.0
89,dok99.txt,WA,0.056179775280898875,1.0
90,dok129.txt,WA,0.05555555555555555,1.0
91,dok58.txt,WA,0.054945054945054944,1.0
92,dok20.txt,WA,0.05434782608695652,1.0
93,dok91.txt,WA,0.053763440860215055,1.0
94,dok312.txt,WA,0.05319148936170213,1.0
95,dok281.txt,WA,0.05263157894736842,1.0
96,dok4.txt,WA,0.052083333333333336,1.0
97,dok75.txt,WA,0.05154639175257732,1.0
98,dok240.txt,WA,0.05102040816326531,1.0
99,dok215.txt,WA,0.050505050505050504,1.0
100,dok224.txt,WA,0.05,1.0
average precision,0.04115783385874847
