rank,document,verdict,Precision,Recall
1,dok298.txt,AC,1.0,0.14285714285714285
2,dok358.txt,AC,1.0,0.2857142857142857
3,dok314.txt,AC,1.0,0.42857142857142855
4,dok344.txt,AC,1.0,0.5714285714285714
5,dok235.txt,AC,1.0,0.7142857142857143
6,dok379.txt,AC,1.0,0.8571428571428571
7,dok352.txt,WA,0.8571428571428571,0.8571428571428571
8,dok376.txt,AC,0.875,1.0
9,dok149.txt,WA,0.7777777777777778,1.0
10,dok293.txt,WA,0.7,1.0
11,dok169.txt,WA,0.6363636363636364,1.0
12,dok399.txt,WA,0.5833333333333334,1.0
13,dok338.txt,WA,0.5384615384615384,1.0
14,dok375.txt,WA,0.5,1.0
15,dok216.txt,WA,0.4666666666666667,1.0
16,dok166.txt,WA,0.4375,1.0
17,dok190.txt,WA,0.4117647058823529,1.0
18,dok340.txt,WA,0.3888888888888889,1.0
19,dok123.txt,WA,0.3684210526315789,1.0
20,dok52.txt,WA,0.35,1.0
21,dok228.txt,WA,0.3333333333333333,1.0
22,dok233.txt,WA,0.3181818181818182,1.0
23,dok301.txt,WA,0.30434782608695654,1.0
24,dok151.txt,WA,0.2916666666666667,1.0
25,dok310.txt,WA,0.28,1.0
26,dok197.txt,WA,0.2692307692307692,1.0
27,dok175.txt,WA,0.25925925925925924,1.0
28,dok394.txt,WA,0.25,1.0
29,dok360.txt,WA,0.2413793103448276,1.0
30,dok347.txt,WA,0.23333333333333334,1.0
31,dok369.txt,WA,0.22580645161290322,1.0
32,dok374.txt,WA,0.21875,1.0
33,dok135.txt,WA,0.21212121212121213,1.0
34,dok64.txt,WA,0.20588235294117646,1.0
35,dok187.txt,WA,0.2,1.0
36,dok191.txt,WA,0.19444444444444445,1.0
37,dok326.txt,WA,0.1891891891891892,1.0
38,dok313.txt,WA,0.18421052631578946,1.0
39,dok117.txt,WA,0.1794871794871795,1.0
40,dok46.txt,WA,0.175,1.0
41,dok273.txt,WA,0.17073170731707318,1.0
42,dok315.txt,WA,0.16666666666666666,1.0
43,dok372.txt,WA,0.16279069767441862,1.0
44,dok140.txt,WA,0.1590909090909091,1.0
45,dok69.txt,WA,0.15555555555555556,1.0
46,dok367.txt,WA,0.15217391304347827,1.0
47,dok210.txt,WA,0.14893617021276595,1.0
48,dok368.txt,WA,0.14583333333333334,1.0
49,dok288.txt,WA,0.14285714285714285,1.0
50,dok350.txt,WA,0.14,1.0
average precision,0.40403160450897674
