rank,document,verdict
1,dok184.txt,WA
2,dok339.txt,WA
3,dok214.txt,WA
4,dok106.txt,WA
5,dok35.txt,WA
6,dok378.txt,WA
7,dok270.txt,AC
8,dok383.txt,WA
9,dok248.txt,WA
10,dok232.txt,WA
11,dok133.txt,AC
12,dok62.txt,AC
13,dok402.txt,WA
14,dok204.txt,WA
15,dok223.txt,WA
16,dok324.txt,WA
17,dok298.txt,WA
18,dok80.txt,WA
19,dok9.txt,WA
20,dok363.txt,WA
21,dok380.txt,WA
22,dok103.txt,WA
23,dok32.txt,WA
24,dok105.txt,WA
25,dok34.txt,WA
26,dok211.txt,WA
27,dok354.txt,WA
28,dok344.txt,WA
29,dok242.txt,WA
30,dok357.txt,WA
31,dok386.txt,WA
32,dok7.txt,AC
33,dok78.txt,AC
34,dok399.txt,WA
35,dok268.txt,WA
36,dok325.txt,WA
37,dok215.txt,WA
38,dok197.txt,WA
39,dok220.txt,WA
40,dok235.txt,WA
41,dok359.txt,WA
42,dok393.txt,WA
43,dok114.txt,WA
44,dok43.txt,WA
45,dok376.txt,WA
46,dok377.txt,WA
47,dok173.txt,WA
48,dok323.txt,WA
49,dok10.txt,WA
50,dok81.txt,WA
51,dok218.txt,WA
52,dok139.txt,WA
53,dok68.txt,WA
54,dok385.txt,WA
55,dok11.txt,WA
56,dok82.txt,WA
57,dok151.txt,WA
58,dok310.txt,WA
59,dok26.txt,WA
60,dok97.txt,WA
61,dok227.txt,WA
62,dok264.txt,WA
63,dok307.txt,WA
64,dok15.txt,WA
65,dok86.txt,WA
66,dok353.txt,WA
67,dok23.txt,WA
68,dok94.txt,WA
69,dok166.txt,WA
70,dok135.txt,WA
71,dok64.txt,WA
72,dok24.txt,WA
73,dok95.txt,WA
74,dok303.txt,WA
75,dok190.txt,WA
76,dok301.txt,WA
77,dok127.txt,WA
78,dok56.txt,WA
79,dok192.txt,WA
80,dok397.txt,WA
81,dok360.txt,WA
82,dok107.txt,WA
83,dok36.txt,WA
84,dok350.txt,WA
85,dok400.txt,WA
86,dok18.txt,WA
87,dok89.txt,WA
88,dok256.txt,WA
89,dok366.txt,WA
90,dok132.txt,WA
91,dok61.txt,WA
92,dok109.txt,WA
93,dok38.txt,WA
94,dok304.txt,WA
95,dok14.txt,WA
96,dok167.txt,WA
97,dok316.txt,WA
98,dok85.txt,WA
99,dok161.txt,WA
100,dok217.txt,WA
