rank,document,verdict,Precision,Recall
1,dok111.txt,AC,1.0,0.2
2,dok40.txt,AC,1.0,0.4
3,dok171.txt,AC,1.0,0.6
4,dok346.txt,AC,1.0,0.8
5,dok353.txt,WA,0.8,0.8
6,dok393.txt,WA,0.6666666666666666,0.8
7,dok387.txt,WA,0.5714285714285714,0.8
8,dok159.txt,WA,0.5,0.8
9,dok200.txt,AC,0.5555555555555556,1.0
10,dok165.txt,WA,0.5,1.0
11,dok17.txt,WA,0.45454545454545453,1.0
12,dok88.txt,WA,0.4166666666666667,1.0
13,dok115.txt,WA,0.38461538461538464,1.0
14,dok44.txt,WA,0.35714285714285715,1.0
15,dok390.txt,WA,0.3333333333333333,1.0
16,dok101.txt,WA,0.3125,1.0
17,dok30.txt,WA,0.29411764705882354,1.0
18,dok275.txt,WA,0.2777777777777778,1.0
19,dok189.txt,WA,0.2631578947368421,1.0
20,dok319.txt,WA,0.25,1.0
21,dok240.txt,WA,0.23809523809523808,1.0
22,dok243.txt,WA,0.22727272727272727,1.0
23,dok269.txt,WA,0.21739130434782608,1.0
24,dok203.txt,WA,0.20833333333333334,1.0
25,dok266.txt,WA,0.2,1.0
26,dok129.txt,WA,0.19230769230769232,1.0
27,dok58.txt,WA,0.18518518518518517,1.0
28,dok16.txt,WA,0.17857142857142858,1.0
29,dok87.txt,WA,0.1724137931034483,1.0
30,dok252.txt,WA,0.16666666666666666,1.0
31,dok392.txt,WA,0.16129032258064516,1.0
32,dok365.txt,WA,0.15625,1.0
33,dok209.txt,WA,0.15151515151515152,1.0
34,dok202.txt,WA,0.14705882352941177,1.0
35,dok279.txt,WA,0.14285714285714285,1.0
36,dok176.txt,WA,0.1388888888888889,1.0
37,dok385.txt,WA,0.13513513513513514,1.0
38,dok371.txt,WA,0.13157894736842105,1.0
39,dok331.txt,WA,0.1282051282051282,1.0
40,dok248.txt,WA,0.125,1.0
41,dok24.txt,WA,0.12195121951219512,1.0
42,dok95.txt,WA,0.11904761904761904,1.0
43,dok261.txt,WA,0.11627906976744186,1.0
44,dok272.txt,WA,0.11363636363636363,1.0
45,dok185.txt,WA,0.1111111111111111,1.0
46,dok401.txt,WA,0.10869565217391304,1.0
47,dok227.txt,WA,0.10638297872340426,1.0
48,dok340.txt,WA,0.10416666666666667,1.0
49,dok253.txt,WA,0.10204081632653061,1.0
50,dok374.txt,WA,0.1,1.0
average precision,0.30889672430913295
