rank,document,verdict,Precision,Recall
1,dok124.txt,AC,1.0,0.5
2,dok53.txt,AC,1.0,1.0
3,dok133.txt,WA,0.6666666666666666,1.0
4,dok62.txt,WA,0.5,1.0
5,dok22.txt,WA,0.4,1.0
6,dok93.txt,WA,0.3333333333333333,1.0
7,dok333.txt,WA,0.2857142857142857,1.0
8,dok389.txt,WA,0.25,1.0
9,dok328.txt,WA,0.2222222222222222,1.0
10,dok125.txt,WA,0.2,1.0
11,dok54.txt,WA,0.18181818181818182,1.0
12,dok4.txt,WA,0.16666666666666666,1.0
13,dok75.txt,WA,0.15384615384615385,1.0
14,dok259.txt,WA,0.14285714285714285,1.0
15,dok268.txt,WA,0.13333333333333333,1.0
16,dok325.txt,WA,0.125,1.0
17,dok230.txt,WA,0.11764705882352941,1.0
18,dok263.txt,WA,0.1111111111111111,1.0
19,dok24.txt,WA,0.10526315789473684,1.0
20,dok95.txt,WA,0.1,1.0
21,dok270.txt,WA,0.09523809523809523,1.0
22,dok332.txt,WA,0.09090909090909091,1.0
23,dok390.txt,WA,0.08695652173913043,1.0
24,dok394.txt,WA,0.08333333333333333,1.0
25,dok385.txt,WA,0.08,1.0
26,dok353.txt,WA,0.07692307692307693,1.0
27,dok142.txt,WA,0.07407407407407407,1.0
28,dok71.txt,WA,0.07142857142857142,1.0
29,dok186.txt,WA,0.06896551724137931,1.0
30,dok21.txt,WA,0.06666666666666667,1.0
31,dok92.txt,WA,0.06451612903225806,1.0
32,dok127.txt,WA,0.0625,1.0
33,dok56.txt,WA,0.06060606060606061,1.0
34,dok131.txt,WA,0.058823529411764705,1.0
35,dok60.txt,WA,0.05714285714285714,1.0
36,dok213.txt,WA,0.05555555555555555,1.0
37,dok234.txt,WA,0.05405405405405406,1.0
38,dok231.txt,WA,0.05263157894736842,1.0
39,dok351.txt,WA,0.05128205128205128,1.0
40,dok393.txt,WA,0.05,1.0
41,dok244.txt,WA,0.04878048780487805,1.0
42,dok157.txt,WA,0.047619047619047616,1.0
43,dok132.txt,WA,0.046511627906976744,1.0
44,dok61.txt,WA,0.045454545454545456,1.0
45,dok180.txt,WA,0.044444444444444446,1.0
46,dok232.txt,WA,0.043478260869565216,1.0
47,dok136.txt,WA,0.0425531914893617,1.0
48,dok65.txt,WA,0.041666666666666664,1.0
49,dok188.txt,WA,0.04081632653061224,1.0
50,dok27.txt,WA,0.04,1.0
average precision,0.159968213533177
